factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha6,wq101,conditional,1h,LONG_SHORT,Long-Short,-2.685e-05,,,17798,DIRECTION_UNKNOWN,-3.34e-06,2.351e-05,-2.685e-05,-0.8987,0.4997,0.00018078,-0.37039382,0.00062624,-0.0010539,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha6,wq101,conditional,4h,LONG_SHORT,Long-Short,-7.044e-05,,,17795,DIRECTION_UNKNOWN,-2.651e-05,4.393e-05,-7.044e-05,-1.19,0.5035,0.00073521,-0.30120029,0.00254685,-0.00341032,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha6,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00044046,,,17775,DIRECTION_UNKNOWN,-6.999e-05,0.00037046,-0.00044046,-2.8797,0.5042,0.00216864,-0.22314539,0.00751238,-0.01627304,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha6,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00100174,,,17727,DIRECTION_UNKNOWN,-2.045e-05,0.00098129,-0.00100174,-3.2275,0.5106,0.00646311,-0.16659163,0.02238888,-0.04437257,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha9,wq101,conditional,1h,LONG_SHORT,Long-Short,5.837e-05,,,17802,DIRECTION_UNKNOWN,3.437e-05,-2.401e-05,5.837e-05,1.9632,0.5119,0.00019626,0.55660394,0.00067986,-0.00049117,0.6,25,per_bar_mean_x_bars_per_year
wq101_alpha9,wq101,conditional,4h,LONG_SHORT,Long-Short,8.688e-05,,,17799,DIRECTION_UNKNOWN,2.407e-05,-6.281e-05,8.688e-05,1.4463,0.5089,0.00030108,0.21642816,0.00104296,-0.0009917,0.64,25,per_bar_mean_x_bars_per_year
wq101_alpha9,wq101,conditional,24h,LONG_SHORT,Long-Short,-6.344e-05,,,17779,DIRECTION_UNKNOWN,9.171e-05,0.00015514,-6.344e-05,-0.4131,0.4999,0.00086468,-0.04738774,0.00299535,-0.00735502,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha9,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00039444,,,17731,DIRECTION_UNKNOWN,3.558e-05,0.00043002,-0.00039444,-1.3547,0.4951,0.00178541,-0.06428165,0.00618484,-0.01628614,0.28,25,per_bar_mean_x_bars_per_year
wq101_alpha21,wq101,conditional,1h,LONG_SHORT,Long-Short,2.695e-05,,,17788,DIRECTION_UNKNOWN,2.805e-05,1.1e-06,2.695e-05,1.1062,0.5011,0.00016742,0.2323212,0.00057998,-0.00048386,0.64,25,per_bar_mean_x_bars_per_year
wq101_alpha21,wq101,conditional,4h,LONG_SHORT,Long-Short,4.91e-05,,,17785,DIRECTION_UNKNOWN,-4.7e-06,-5.38e-05,4.91e-05,0.9861,0.5055,0.00033895,0.13487976,0.00117415,-0.00134428,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha21,wq101,conditional,24h,LONG_SHORT,Long-Short,-0.00016296,,,17765,DIRECTION_UNKNOWN,-0.00025965,-9.669e-05,-0.00016296,-1.2587,0.4973,0.00120514,-0.08456461,0.00417473,-0.01004073,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha21,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00026199,,,17717,DIRECTION_UNKNOWN,-0.00060746,-0.00034547,-0.00026199,-1.0319,0.5005,0.00255288,-0.04533641,0.00884343,-0.01270597,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha41,wq101,conditional,1h,LONG_SHORT,Long-Short,1.084e-05,,,17806,DIRECTION_UNKNOWN,5.09e-06,-5.76e-06,1.084e-05,0.3908,0.502,0.00019967,0.17059197,0.00069167,-0.00076257,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha41,wq101,conditional,4h,LONG_SHORT,Long-Short,-1.473e-05,,,17803,DIRECTION_UNKNOWN,-1.185e-05,2.87e-06,-1.473e-05,-0.2675,0.5012,0.00036805,0.01380542,0.00127498,-0.00216291,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha41,wq101,conditional,24h,LONG_SHORT,Long-Short,-7.14e-05,,,17783,DIRECTION_UNKNOWN,-0.00010394,-3.254e-05,-7.14e-05,-0.5098,0.5009,0.00097171,-0.0282802,0.00336611,-0.00822768,0.4,25,per_bar_mean_x_bars_per_year
wq101_alpha41,wq101,conditional,72h,LONG_SHORT,Long-Short,-0.00047758,,,17735,DIRECTION_UNKNOWN,-0.00019982,0.00027776,-0.00047758,-1.7136,0.5018,0.00173398,-0.04627259,0.00600668,-0.01307969,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha54,wq101,conditional,1h,LONG_SHORT,Long-Short,0.00026366,,,17806,DIRECTION_UNKNOWN,0.00013413,-0.00012953,0.00026366,8.5187,0.5398,0.00024236,2.31439455,0.00083955,-0.00022148,0.88,25,per_bar_mean_x_bars_per_year
