month,ls_return_sum,ls_return_mean,long_return_mean,short_return_mean,n_timestamps,positive_ls,turnover_mean,factor_id,family,horizon,expected_direction
2026-02,0.11269754,0.0001677047,3.09841e-05,-0.0001367205,672,True,0.0798,mom_vol_adjusted_20h,momentum,1h,positive
2026-03,0.07321663,9.84094e-05,4.98916e-05,-4.85178e-05,744,True,0.0775,mom_vol_adjusted_20h,momentum,1h,positive
2026-04,0.07078743,9.83159e-05,0.000521175,0.0004228591,720,True,0.0804,mom_vol_adjusted_20h,momentum,1h,positive
2026-05,-0.11878348,-0.0001596552,5.19586e-05,0.0002116138,744,False,0.0803,mom_vol_adjusted_20h,momentum,1h,positive
2026-06,0.18933497,0.0006574131,0.0001683615,-0.0004890516,288,True,0.0809,mom_vol_adjusted_20h,momentum,1h,positive
2024-06,-0.08670335,-0.0001944021,5.97077e-05,-0.0005025213,446,False,0.5378,range_breakout_vol_confirm_20h,breakout,1h,positive
2024-07,0.3373666,0.0006815487,0.0006136543,-3.09584e-05,495,True,0.5429,range_breakout_vol_confirm_20h,breakout,1h,positive
2024-08,-0.08812534,-0.0002098222,-0.0004141963,6.75429e-05,420,False,0.534,range_breakout_vol_confirm_20h,breakout,1h,positive
2024-09,0.0120636,2.5185e-05,0.0002026351,-8.29859e-05,479,True,0.5464,range_breakout_vol_confirm_20h,breakout,1h,positive
2024-10,-0.23564588,-0.0005013742,-0.0009008939,0.0001944873,470,False,0.5892,range_breakout_vol_confirm_20h,breakout,1h,positive
2024-11,-0.31427973,-0.0006273048,0.0001840206,0.0016686323,501,False,0.5679,range_breakout_vol_confirm_20h,breakout,1h,positive
2024-12,0.17728791,0.0003939731,-0.0008485646,-0.0006836061,450,True,0.5116,range_breakout_vol_confirm_20h,breakout,1h,positive
2025-01,0.56132752,0.0011694323,-0.00026168,-0.0011257094,480,True,0.5479,range_breakout_vol_confirm_20h,breakout,1h,positive
2025-02,-0.06082975,-0.0001689715,0.0002331045,9.62185e-05,360,False,0.5592,range_breakout_vol_confirm_20h,breakout,1h,positive
2025-03,1.31183684,0.002537402,0.0015282405,-0.0014081389,517,True,0.56,range_breakout_vol_confirm_20h,breakout,1h,positive
2025-04,-0.43850964,-0.0007679678,-0.0005502422,-1.06683e-05,571,False,0.5656,range_breakout_vol_confirm_20h,breakout,1h,positive
2025-05,0.40916718,0.0007691112,0.0006848132,-7.40109e-05,532,True,0.5369,range_breakout_vol_confirm_20h,breakout,1h,positive
2025-06,0.32014381,0.0005972832,0.0002095225,-0.0001422775,536,True,0.5577,range_breakout_vol_confirm_20h,breakout,1h,positive
2025-07,-0.28745093,-0.000487205,-0.0003693747,-0.0006599062,590,False,0.5645,range_breakout_vol_confirm_20h,breakout,1h,positive
2025-08,-0.28644688,-0.0004921768,0.000584495,0.0010186918,582,False,0.5687,range_breakout_vol_confirm_20h,breakout,1h,positive
2025-09,-0.11119891,-0.0001917223,0.0006976356,-7.21692e-05,580,False,0.5437,range_breakout_vol_confirm_20h,breakout,1h,positive
2025-10,0.48718052,0.000805257,0.001325316,0.0008224391,605,True,0.52,range_breakout_vol_confirm_20h,breakout,1h,positive
2025-11,-0.72028938,-0.001134314,-0.0003110259,0.0015813792,635,False,0.5137,range_breakout_vol_confirm_20h,breakout,1h,positive
2025-12,-0.21628546,-0.0003067879,-0.0003357018,9.24689e-05,705,False,0.5411,range_breakout_vol_confirm_20h,breakout,1h,positive
2026-01,-0.33273149,-0.0004753307,-0.0003992902,0.0007707636,700,False,0.512,range_breakout_vol_confirm_20h,breakout,1h,positive
2026-02,-0.64314198,-0.0010526055,-0.0006719519,0.0002267842,611,False,0.4969,range_breakout_vol_confirm_20h,breakout,1h,positive
2026-03,0.67544502,0.0009177242,0.0003766747,-0.0004917749,736,True,0.5204,range_breakout_vol_confirm_20h,breakout,1h,positive
2026-04,0.46987757,0.0006674397,0.0012172648,0.0005541937,704,True,0.4967,range_breakout_vol_confirm_20h,breakout,1h,positive
2026-05,0.67267337,0.0009381776,0.0008553319,-0.0002409761,717,True,0.4761,range_breakout_vol_confirm_20h,breakout,1h,positive
2026-06,0.05339116,0.0001906827,0.0003337026,0.0002682774,280,True,0.4742,range_breakout_vol_confirm_20h,breakout,1h,positive
2024-06,0.18978908,0.0002715151,-0.0002200651,-0.0004915802,699,True,0.1335,volume_pressure_20h,volume_price,1h,positive
2024-07,-0.03008693,-4.04394e-05,-2.94983e-05,1.09411e-05,744,False,0.1293,volume_pressure_20h,volume_price,1h,positive
2024-08,-0.01720863,-2.31299e-05,-0.0001793963,-0.0001562664,744,False,0.1412,volume_pressure_20h,volume_price,1h,positive
2024-09,0.11640462,0.0001616731,0.0003827438,0.0002210707,720,True,0.1509,volume_pressure_20h,volume_price,1h,positive
2024-10,-0.03473794,-4.66908e-05,-9.03732e-05,-4.36824e-05,744,False,0.1673,volume_pressure_20h,volume_price,1h,positive
2024-11,0.11253508,0.0001562987,0.0008754028,0.0007191041,720,True,0.1534,volume_pressure_20h,volume_price,1h,positive
2024-12,-0.0625074,-8.40153e-05,-0.0001840403,-0.0001000249,744,False,0.1429,volume_pressure_20h,volume_price,1h,positive
2025-01,0.15488992,0.0002081854,-0.0002184667,-0.0004266521,744,True,0.1422,volume_pressure_20h,volume_price,1h,positive
2025-02,-0.1730727,-0.0002575487,-0.0005657709,-0.0003082222,672,False,0.1343,volume_pressure_20h,volume_price,1h,positive
2025-03,-0.16756268,-0.0002252187,-0.0004340692,-0.0002088505,744,False,0.1337,volume_pressure_20h,volume_price,1h,positive
2025-04,0.01271275,1.76566e-05,0.0002993016,0.000281645,720,True,0.1452,volume_pressure_20h,volume_price,1h,positive
2025-05,-0.01261793,-1.69596e-05,0.0001223151,0.0001392747,744,False,0.1332,volume_pressure_20h,volume_price,1h,positive
2025-06,0.00458523,6.3684e-06,-0.000140787,-0.0001471554,720,True,0.1396,volume_pressure_20h,volume_price,1h,positive
2025-07,0.24911503,0.000334832,0.0004168338,8.20018e-05,744,True,0.1323,volume_pressure_20h,volume_price,1h,positive
2025-08,0.18750477,0.0002520225,0.0002687951,1.67725e-05,744,True,0.1352,volume_pressure_20h,volume_price,1h,positive
2025-09,0.18505364,0.0002570189,0.0003269296,6.99107e-05,720,True,0.1349,volume_pressure_20h,volume_price,1h,positive
2025-10,0.27518759,0.0003698758,0.0001130309,-0.0002568449,744,True,0.133,volume_pressure_20h,volume_price,1h,positive
2025-11,0.2226326,0.0003092119,-6.75603e-05,-0.0003767722,720,True,0.1387,volume_pressure_20h,volume_price,1h,positive
2025-12,-0.05894291,-7.92243e-05,-0.0001112829,-3.20585e-05,744,False,0.1337,volume_pressure_20h,volume_price,1h,positive
2026-01,0.02059212,2.76776e-05,-0.0001040588,-0.0001317364,744,True,0.1324,volume_pressure_20h,volume_price,1h,positive
2026-02,0.05463446,8.13013e-05,-6.95396e-05,-0.0001508409,672,True,0.1197,volume_pressure_20h,volume_price,1h,positive
2026-03,-0.01113448,-1.49657e-05,-3.5496e-06,1.14161e-05,744,False,0.1267,volume_pressure_20h,volume_price,1h,positive
2026-04,0.15063496,0.0002092152,0.0005819242,0.000372709,720,True,0.1289,volume_pressure_20h,volume_price,1h,positive
2026-05,-0.16137926,-0.0002169076,-7.7216e-06,0.000209186,744,False,0.1278,volume_pressure_20h,volume_price,1h,positive
2026-06,0.0737633,0.0002561226,-0.0001825047,-0.0004386273,288,True,0.1454,volume_pressure_20h,volume_price,1h,positive
2024-06,-0.02540573,-3.66077e-05,-0.0004270161,-0.0003904084,694,False,0.2549,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
2024-07,0.02488215,3.34437e-05,-3.41517e-05,-6.75955e-05,744,True,0.2522,xs_rank_mom_accel,cross_sectional_normalized,1h,positive
