asset,symbol,bucket_start,live_preview_ts,live_preview_dir,live_signal_price,live_fast_slope,live_slow_slope,live_prev15_close,live_prev15_fast,offline_preview_ts,offline_preview_dir,offline_signal_price,preview_atr14,preview_slope_strength,offline_fast_slope,offline_slow_slope,status
BEAT-USD,BEATUSDT,2026-03-22T17:00:00Z,2026-03-22T17:11:00Z,long,0.738,0.0007413043054174118,0.00030524294928957474,0.7323,0.7323,2026-03-22T17:11:00Z,long,0.738,,0.0010465472547069865,0.0007413043054174118,0.00030524294928957474,match
BEAT-USD,BEATUSDT,2026-03-22T17:15:00Z,2026-03-22T17:29:00Z,short,0.7219,-0.001352555223919416,-0.0005569345039667661,0.7411,0.7331380952380953,2026-03-22T17:29:00Z,short,0.7219,,0.0019094897278861822,-0.001352555223919416,-0.0005569345039667661,match
BEAT-USD,BEATUSDT,2026-03-22T17:30:00Z,2026-03-22T17:33:00Z,long,0.7375,0.0006762776119597635,0.0002784672519835496,0.7223,0.731347619047619,2026-03-22T17:33:00Z,long,0.7375,,0.0009547448639433131,0.0006762776119597635,0.0002784672519835496,match
BEAT-USD,BEATUSDT,2026-03-22T17:45:00Z,2026-03-22T17:58:00Z,short,0.7289,-0.00044218151551211893,-0.00018207474168141502,0.7403,0.7330619047619047,2026-03-22T17:58:00Z,short,0.7289,,0.000624256257193534,-0.00044218151551211893,-0.00018207474168141502,match
BEAT-USD,BEATUSDT,2026-03-23T05:00:00Z,2026-03-23T05:14:00Z,short,0.7048,-0.0006146742739233657,-0.00082978573155712,0.7115,0.7095804433521786,2026-03-23T05:14:00Z,short,0.7048,0.013692857142857133,0.0014444600054804857,-0.0006146742739233657,-0.00082978573155712,match
BEAT-USD,BEATUSDT,2026-03-23T08:45:00Z,2026-03-23T08:47:00Z,short,0.6984,-0.0008687642894689152,-0.0010096281750091585,0.7066,0.7049980937983887,2026-03-23T08:47:00Z,short,0.6984,0.01447857142857142,0.0018783924644780736,-0.0008687642894689152,-0.0010096281750091585,match
BEAT-USD,BEATUSDT,2026-03-23T10:15:00Z,2026-03-23T10:21:00Z,short,0.7018,-0.000688966700881144,-0.0008203861228537335,0.7172,0.7078935481141977,2026-03-23T10:21:00Z,short,0.7018,0.01734285714285713,0.0015093528237348774,-0.000688966700881144,-0.0008203861228537335,match
BEAT-USD,BEATUSDT,2026-03-23T10:45:00Z,2026-03-23T10:47:00Z,short,0.7009,-0.0008102180768908562,-0.0008696248947781537,0.7073,0.7069506909713406,2026-03-23T10:47:00Z,short,0.7009,0.016121428571428564,0.00167984297166901,-0.0008102180768908562,-0.0008696248947781537,match
BEAT-USD,BEATUSDT,2026-03-23T12:30:00Z,2026-03-23T12:42:00Z,short,0.6981,-0.001100806685488398,-0.0009668694538962352,0.7104,0.7066572927603642,2026-03-23T12:42:00Z,short,0.6981,0.015307142857142837,0.0020676761393846332,-0.001100806685488398,-0.0009668694538962352,match
BEAT-USD,BEATUSDT,2026-03-23T14:00:00Z,2026-03-23T14:15:00Z,short,0.704,-0.00042719015666714544,-0.0006247543162990477,0.7136,0.7077842065021402,2026-03-23T14:15:00Z,short,0.704,0.012207142857142852,0.001051944472966193,-0.00042719015666714544,-0.0006247543162990477,match
BEAT-USD,BEATUSDT,2026-03-23T15:15:00Z,2026-03-23T15:30:00Z,short,0.7042,-0.0004121061777725421,-0.0005983438150171105,0.7083,0.7073594067899183,2026-03-23T15:30:00Z,short,0.7042,0.009914285714285709,0.0010104499927896526,-0.0004121061777725421,-0.0005983438150171105,match
BEAT-USD,BEATUSDT,2026-03-23T17:00:00Z,2026-03-23T17:12:00Z,short,0.7054,-0.00042396225789220754,-0.000528943390131098,0.719,0.7095490403708422,2026-03-23T17:12:00Z,short,0.7054,0.010799999999999985,0.0009529056480233056,-0.00042396225789220754,-0.000528943390131098,match
BEAT-USD,BEATUSDT,2026-03-25T02:45:00Z,2026-03-25T02:56:00Z,short,0.6254,-0.0006625795364487708,-0.0024190098771582624,0.638,0.630564162818108,2026-03-25T02:56:00Z,short,0.6254,0.01972857142857143,0.003081589413607033,-0.0006625795364487708,-0.0024190098771582624,match
BEAT-USD,BEATUSDT,2026-03-25T04:45:00Z,2026-03-25T04:56:00Z,short,0.6264,-0.0004227596498089792,-0.0021884125944091615,0.6341,0.6296603086409758,2026-03-25T04:56:00Z,short,0.6264,0.018207142857142873,0.0026111722442181406,-0.0004227596498089792,-0.0021884125944091615,match
BEAT-USD,BEATUSDT,2026-03-25T05:30:00Z,2026-03-25T05:37:00Z,short,0.6245,-0.0005685907787466027,-0.0022041941706424373,0.6297,0.6283888053236946,2026-03-25T05:37:00Z,short,0.6245,0.017050000000000027,0.00277278494938904,-0.0005685907787466027,-0.0022041941706424373,match
BEAT-USD,BEATUSDT,2026-03-25T10:00:00Z,2026-03-25T10:02:00Z,short,0.6228,-0.0007092906777868002,-0.00194053282160489,0.6316,0.6278661732939641,2026-03-25T10:02:00Z,short,0.6228,0.01022857142857142,0.0026498234993916903,-0.0007092906777868002,-0.00194053282160489,match
BEAT-USD,BEATUSDT,2026-03-25T12:45:00Z,2026-03-25T12:59:00Z,short,0.6223,-0.0006530183818949098,-0.0018279182756384404,0.631,0.627015771487047,2026-03-25T12:59:00Z,short,0.6223,0.0097357142857143,0.0024809366575333502,-0.0006530183818949098,-0.0018279182756384404,match
BEAT-USD,BEATUSDT,2026-03-25T15:15:00Z,2026-03-25T15:16:00Z,short,0.6213,-0.0007497126040214575,-0.0017093599876507604,0.6274,0.6263411290008936,2026-03-25T15:16:00Z,short,0.6213,0.00921428571428573,0.002459072591672218,-0.0007497126040214575,-0.0017093599876507604,match
BEAT-USD,BEATUSDT,2026-03-25T16:00:00Z,2026-03-25T16:10:00Z,short,0.623,-0.000495068768107565,-0.0015541805311298784,0.6265,0.6262787085518288,2026-03-25T16:10:00Z,short,0.623,0.008342857142857152,0.0020492492992374434,-0.000495068768107565,-0.0015541805311298784,match
BEAT-USD,BEATUSDT,2026-03-25T18:00:00Z,2026-03-25T18:05:00Z,short,0.6229,-0.0005156839449951267,-0.001460345198840085,0.6284,0.6264920083718188,2026-03-25T18:05:00Z,short,0.6229,0.008628571428571446,0.0019760291438352118,-0.0005156839449951267,-0.001460345198840085,match
BEAT-USD,BEATUSDT,2026-03-26T04:00:00Z,2026-03-26T04:05:00Z,short,0.6255,-0.0005907604423562862,-0.0009229223067023229,0.632,0.6296514050163354,2026-03-26T04:05:00Z,short,0.6255,0.01710000000000001,0.0015136827490586091,-0.0005907604423562862,-0.0009229223067023229,match
BEAT-USD,BEATUSDT,2026-03-26T06:00:00Z,2026-03-26T06:14:00Z,short,0.63,-0.0004731292122051034,-0.0006925921691486314,0.6401,0.6338077207028225,2026-03-26T06:14:00Z,short,0.63,0.019914285714285718,0.0011657213813537348,-0.0004731292122051034,-0.0006925921691486314,match
BEAT-USD,BEATUSDT,2026-03-26T14:30:00Z,2026-03-26T14:39:00Z,short,0.598,-0.0005315298279838787,-0.001592657745806636,0.6055,0.6017508539462576,2026-03-26T14:39:00Z,short,0.598,0.021078571428571443,0.0021241875737905147,-0.0005315298279838787,-0.001592657745806636,match
BEAT-USD,BEATUSDT,2026-03-27T12:15:00Z,2026-03-27T12:17:00Z,short,0.5366,-0.0004277078031085235,-0.002661934084942863,0.5406,0.5391711143170351,2026-03-27T12:17:00Z,short,0.5366,0.016278571428571458,0.0030896418880513865,-0.0004277078031085235,-0.002661934084942863,match
