mode,market_cost_bps,mean_total_return,median_total_return,positive_asset_ratio,mean_trades,mean_win_rate
clean_baseline_fixed_hold,6.0,0.22039672039988767,0.13256204435178875,1.0,74.33333333333333,0.5629805545125746
official_close,6.0,-0.0515572933005413,-0.0454688184596613,0.1666666666666666,44.05555555555556,0.4296543214099176
preview_unclosed15m,6.0,-0.0545761019299724,-0.0489692208240594,0.1666666666666666,68.61111111111111,0.4477789959394495
clean_baseline_fixed_hold,10.0,0.1492320221325255,0.07693745739367075,0.9444444444444444,74.33333333333333,0.534410077796641
official_close,10.0,-0.078117108131602,-0.0688686826128463,0.0555555555555555,44.05555555555556,0.4164494986405507
preview_unclosed15m,10.0,-0.0950277161796248,-0.0921826206783406,0.1111111111111111,68.61111111111111,0.436801911235979
clean_baseline_fixed_hold,15.0,0.06632111635778315,0.02439573874261891,0.6111111111111112,74.33333333333333,0.492747254036446
official_close,15.0,-0.1101894072615312,-0.0973252967192916,0.0,44.05555555555556,0.4052729357469111
preview_unclosed15m,15.0,-0.1429669366701734,-0.1487412514314464,0.0,68.61111111111111,0.4296867359749294
clean_baseline_fixed_hold,20.0,-0.010361657651750764,-0.03722279730147926,0.2222222222222222,74.33333333333333,0.45114237816482955
official_close,20.0,-0.1410556560589959,-0.1249249650658209,0.0,44.05555555555556,0.3964718702379732
preview_unclosed15m,20.0,-0.1881547642054793,-0.1955302425560082,0.0,68.61111111111111,0.4225587787470445
