mode,market_cost_bps,asset_count,positive_asset_ratio,mean_total_return,median_total_return,mean_trades,mean_win_rate,mean_avg_net_ret,mean_tp_hit_rate,mean_sl_hit_rate,mean_timeout_rate,mean_confirmed_at_close_ratio,mean_preview_only_ratio,mean_lead_minutes,mean_entry_improve_bps
official_close,6.0,18,0.1666666666666666,-0.0515572933005413,-0.0454688184596613,44.05555555555556,0.4296543214099176,-0.0013100706229779,0.3762449202912724,0.5006313581940313,0.1231237215146963,1.0,0.0,,
official_close,10.0,18,0.0555555555555555,-0.078117108131602,-0.0688686826128463,44.05555555555556,0.4164494986405507,-0.0019576976039194,0.3762449202912724,0.5006313581940313,0.1231237215146963,1.0,0.0,,
official_close,15.0,18,0.0,-0.1101894072615312,-0.0973252967192916,44.05555555555556,0.4052729357469111,-0.0027669521508399,0.3762449202912724,0.5006313581940313,0.1231237215146963,1.0,0.0,,
official_close,20.0,18,0.0,-0.1410556560589959,-0.1249249650658209,44.05555555555556,0.3964718702379732,-0.0035758964985867,0.3762449202912724,0.5006313581940313,0.1231237215146963,1.0,0.0,,
preview_unclosed15m,6.0,18,0.1666666666666666,-0.0545761019299724,-0.0489692208240594,68.61111111111111,0.4477789959394495,-0.0009553946074995,0.400758873347888,0.5095715731031524,0.0896695535489596,0.6354569462318418,0.3645430537681581,5.784550934440648,17.59325296516976
preview_unclosed15m,10.0,18,0.1111111111111111,-0.0950277161796248,-0.0921826206783406,68.61111111111111,0.436801911235979,-0.0015934082346796,0.400758873347888,0.5095715731031524,0.0896695535489596,0.6354569462318418,0.3645430537681581,5.784550934440648,17.59325296516976
preview_unclosed15m,15.0,18,0.0,-0.1429669366701734,-0.1487412514314464,68.61111111111111,0.4296867359749294,-0.0023906570751071,0.400758873347888,0.5095715731031524,0.0896695535489596,0.6354569462318418,0.3645430537681581,5.784550934440648,17.59325296516976
preview_unclosed15m,20.0,18,0.0,-0.1881547642054793,-0.1955302425560082,68.61111111111111,0.4225587787470445,-0.0031876079227039,0.400758873347888,0.5095715731031524,0.0896695535489596,0.6354569462318418,0.3645430537681581,5.784550934440648,17.59325296516976
