asset,mode,market_cost_bps,asset_return,trades,win_rate,active
ZEC-USD,clean_baseline_fixed_hold,20.0,0.22266939137148078,99,0.5555555555555556,1
AAVE-USD,clean_baseline_fixed_hold,6.0,0.5057992615003943,80,0.5875,1
AAVE-USD,clean_baseline_fixed_hold,10.0,0.412374861024573,80,0.5875,1
AAVE-USD,clean_baseline_fixed_hold,15.0,0.3036557839820544,80,0.575,1
AAVE-USD,clean_baseline_fixed_hold,20.0,0.20325719908249362,80,0.5125,1
SUI-USD,clean_baseline_fixed_hold,6.0,0.24329181505630348,91,0.5384615384615384,1
SUI-USD,clean_baseline_fixed_hold,10.0,0.15592890109039814,91,0.5164835164835165,1
SUI-USD,clean_baseline_fixed_hold,15.0,0.055263363942397836,91,0.4835164835164835,1
SUI-USD,clean_baseline_fixed_hold,20.0,-0.036679550869894384,91,0.43956043956043955,1
WLD-USD,clean_baseline_fixed_hold,6.0,0.30958789282919796,101,0.5544554455445545,1
WLD-USD,clean_baseline_fixed_hold,10.0,0.20785711382690852,101,0.5148514851485149,1
WLD-USD,clean_baseline_fixed_hold,15.0,0.0916839355720982,101,0.46534653465346537,1
WLD-USD,clean_baseline_fixed_hold,20.0,-0.013365540073564386,101,0.4158415841584158,1
