asset,mode,market_cost_bps,trades,total_return,win_rate,avg_net_ret,avg_hold_minutes,tp_hit_rate,sl_hit_rate,timeout_rate,same_bar_conflict_rate,confirmed_at_close_ratio,preview_only_ratio,avg_lead_minutes,avg_entry_improve_bps
BTC-USD,official_close,6.0,25,-0.0362191512357168,0.36,-0.0014628499964437,34.36,0.28,0.56,0.16,0.0,1.0,0.0,,
BTC-USD,official_close,10.0,25,-0.052667479266527,0.36,-0.0021494331312582,34.36,0.28,0.56,0.16,0.0,1.0,0.0,,
BTC-USD,official_close,15.0,25,-0.0728426862840048,0.32,-0.0030073389321163,34.36,0.28,0.56,0.16,0.0,1.0,0.0,,
BTC-USD,official_close,20.0,25,-0.0925980087195965,0.32,-0.0038648857133524,34.36,0.28,0.56,0.16,0.0,1.0,0.0,,
BTC-USD,preview_unclosed15m,6.0,36,-0.0513042132644661,0.4166666666666667,-0.0014484088405208,39.36111111111112,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,0.6944444444444444,0.3055555555555556,5.64,10.391547350179575
BTC-USD,preview_unclosed15m,10.0,36,-0.073819657870732,0.3888888888888889,-0.0021135709881032,39.36111111111112,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,0.6944444444444444,0.3055555555555556,5.64,10.391547350179575
BTC-USD,preview_unclosed15m,15.0,36,-0.1012261711189617,0.3888888888888889,-0.0029447246841636,39.36111111111112,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,0.6944444444444444,0.3055555555555556,5.64,10.391547350179575
BTC-USD,preview_unclosed15m,20.0,36,-0.1278348227887575,0.3888888888888889,-0.0037755461708713,39.36111111111112,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,0.6944444444444444,0.3055555555555556,5.64,10.391547350179575
ETH-USD,official_close,6.0,36,-0.0460144978186631,0.3888888888888889,-0.0012805745857212,45.638888888888886,0.3333333333333333,0.5,0.1666666666666666,0.0,1.0,0.0,,
ETH-USD,official_close,10.0,36,-0.0686554835064522,0.3888888888888889,-0.0019455944066324,45.638888888888886,0.3333333333333333,0.5,0.1666666666666666,0.0,1.0,0.0,,
ETH-USD,official_close,15.0,36,-0.0962148093406251,0.3611111111111111,-0.002776570430278,45.638888888888886,0.3333333333333333,0.5,0.1666666666666666,0.0,1.0,0.0,,
ETH-USD,official_close,20.0,36,-0.1229718248987158,0.3611111111111111,-0.0036072145067088,45.638888888888886,0.3333333333333333,0.5,0.1666666666666666,0.0,1.0,0.0,,
ETH-USD,preview_unclosed15m,6.0,56,-0.072834442903073,0.4285714285714285,-0.0013229228349011,38.07142857142857,0.3392857142857143,0.5357142857142857,0.125,0.0,0.6607142857142857,0.3392857142857143,5.405405405405405,11.915731614341718
ETH-USD,preview_unclosed15m,10.0,56,-0.1067179649017054,0.4107142857142857,-0.0019854454998833,38.07142857142857,0.3392857142857143,0.5357142857142857,0.125,0.0,0.6607142857142857,0.3392857142857143,5.405405405405405,11.915731614341718
ETH-USD,preview_unclosed15m,15.0,56,-0.1473542510362081,0.375,-0.0028133028716429,38.07142857142857,0.3392857142857143,0.5357142857142857,0.125,0.0,0.6607142857142857,0.3392857142857143,5.405405405405405,11.915731614341718
ETH-USD,preview_unclosed15m,20.0,56,-0.1861609310684374,0.3392857142857143,-0.0036408313995491,38.07142857142857,0.3392857142857143,0.5357142857142857,0.125,0.0,0.6607142857142857,0.3392857142857143,5.405405405405405,11.915731614341718
SOL-USD,official_close,6.0,37,-0.0189154214828289,0.4864864864864865,-0.0004899978736414,39.648648648648646,0.4594594594594595,0.3783783783783784,0.1621621621621621,0.0,1.0,0.0,,
SOL-USD,official_close,10.0,37,-0.0410485791295713,0.4864864864864865,-0.0011048835390438,39.648648648648646,0.4594594594594595,0.3783783783783784,0.1621621621621621,0.0,1.0,0.0,,
SOL-USD,official_close,15.0,37,-0.0680261583516923,0.4864864864864865,-0.0018732486820152,39.648648648648646,0.4594594594594595,0.3783783783783784,0.1621621621621621,0.0,1.0,0.0,,
SOL-USD,official_close,20.0,37,-0.0942577399770886,0.4864864864864865,-0.0026413450041182,39.648648648648646,0.4594594594594595,0.3783783783783784,0.1621621621621621,0.0,1.0,0.0,,
SOL-USD,preview_unclosed15m,6.0,59,-0.0766831202512964,0.4576271186440678,-0.0013212441161142,37.23728813559322,0.4406779661016949,0.5084745762711864,0.0508474576271186,0.0,0.576271186440678,0.423728813559322,5.264705882352941,12.942445661726154
SOL-USD,preview_unclosed15m,10.0,59,-0.1100698054813315,0.4576271186440678,-0.0019430156934995,37.23728813559322,0.4406779661016949,0.5084745762711864,0.0508474576271186,0.0,0.576271186440678,0.423728813559322,5.264705882352941,12.942445661726154
SOL-USD,preview_unclosed15m,15.0,59,-0.1501282518266846,0.4576271186440678,-0.0027199800973839,37.23728813559322,0.4406779661016949,0.5084745762711864,0.0508474576271186,0.0,0.576271186440678,0.423728813559322,5.264705882352941,12.942445661726154
SOL-USD,preview_unclosed15m,20.0,59,-0.1884022695865913,0.4576271186440678,-0.003496666648105,37.23728813559322,0.4406779661016949,0.5084745762711864,0.0508474576271186,0.0,0.576271186440678,0.423728813559322,5.264705882352941,12.942445661726154
LTC-USD,official_close,6.0,27,-0.0474146278865199,0.3703703703703703,-0.0017707866525511,46.07407407407408,0.2962962962962963,0.5555555555555556,0.1481481481481481,0.0,1.0,0.0,,
LTC-USD,official_close,10.0,27,-0.0647957071316486,0.3333333333333333,-0.0024501789155494,46.07407407407408,0.2962962962962963,0.5555555555555556,0.1481481481481481,0.0,1.0,0.0,,
LTC-USD,official_close,15.0,27,-0.0860862386397913,0.3333333333333333,-0.0032991040856725,46.07407407407408,0.2962962962962963,0.5555555555555556,0.1481481481481481,0.0,1.0,0.0,,
LTC-USD,official_close,20.0,27,-0.1069023789718383,0.2962962962962963,-0.004147679079546,46.07407407407408,0.2962962962962963,0.5555555555555556,0.1481481481481481,0.0,1.0,0.0,,
LTC-USD,preview_unclosed15m,6.0,42,-0.021371914813548,0.4761904761904761,-0.0004878341472123,37.0,0.4285714285714285,0.4761904761904761,0.0952380952380952,0.0,0.6190476190476191,0.3809523809523809,6.115384615384615,24.16880297173113
LTC-USD,preview_unclosed15m,10.0,42,-0.0468897916821443,0.4523809523809524,-0.0011150840417026,37.0,0.4285714285714285,0.4761904761904761,0.0952380952380952,0.0,0.6190476190476191,0.3809523809523809,6.115384615384615,24.16880297173113
LTC-USD,preview_unclosed15m,15.0,42,-0.0778672089220344,0.4285714285714285,-0.0018988905483275,37.0,0.4285714285714285,0.4761904761904761,0.0952380952380952,0.0,0.6190476190476191,0.3809523809523809,6.115384615384615,24.16880297173113
LTC-USD,preview_unclosed15m,20.0,42,-0.1078525815142931,0.4285714285714285,-0.0026824127644105,37.0,0.4285714285714285,0.4761904761904761,0.0952380952380952,0.0,0.6190476190476191,0.3809523809523809,6.115384615384615,24.16880297173113
NEAR-USD,official_close,6.0,64,-0.0816926158601842,0.46875,-0.0012895634757339,43.90625,0.421875,0.46875,0.109375,0.0,1.0,0.0,,
NEAR-USD,official_close,10.0,64,-0.1180813402327128,0.4375,-0.0019186716424356,43.90625,0.421875,0.46875,0.109375,0.0,1.0,0.0,,
NEAR-USD,official_close,15.0,64,-0.1615653644438937,0.4375,-0.0027047985353199,43.90625,0.421875,0.46875,0.109375,0.0,1.0,0.0,,
NEAR-USD,official_close,20.0,64,-0.2029255452204059,0.4375,-0.0034906384109901,43.90625,0.421875,0.46875,0.109375,0.0,1.0,0.0,,
NEAR-USD,preview_unclosed15m,6.0,102,-0.0688305184299941,0.4803921568627451,-0.0006616726555004,44.57843137254902,0.4215686274509804,0.4705882352941176,0.1078431372549019,0.0,0.6274509803921569,0.3725490196078431,6.234375,22.676236015800374
NEAR-USD,preview_unclosed15m,10.0,102,-0.1269526949840507,0.4705882352941176,-0.0012913820051677,44.57843137254902,0.4215686274509804,0.4705882352941176,0.1078431372549019,0.0,0.6274509803921569,0.3725490196078431,6.234375,22.676236015800374
NEAR-USD,preview_unclosed15m,15.0,102,-0.1945597772689835,0.4607843137254901,-0.0020782599827545,44.57843137254902,0.4215686274509804,0.4705882352941176,0.1078431372549019,0.0,0.6274509803921569,0.3725490196078431,6.234375,22.676236015800374
NEAR-USD,preview_unclosed15m,20.0,102,-0.2569614966583252,0.4215686274509804,-0.0028648505053446,44.57843137254902,0.4215686274509804,0.4705882352941176,0.1078431372549019,0.0,0.6274509803921569,0.3725490196078431,6.234375,22.676236015800374
UNI-USD,official_close,6.0,47,-0.1172829640805618,0.3829787234042553,-0.0026206861054256,34.38297872340426,0.3191489361702128,0.574468085106383,0.1063829787234042,0.0,1.0,0.0,,
UNI-USD,official_close,10.0,47,-0.1447623436453845,0.3829787234042553,-0.00329032387177,34.38297872340426,0.3191489361702128,0.574468085106383,0.1063829787234042,0.0,1.0,0.0,,
UNI-USD,official_close,15.0,47,-0.1779263797944867,0.3404255319148936,-0.0041270665228019,34.38297872340426,0.3191489361702128,0.574468085106383,0.1063829787234042,0.0,1.0,0.0,,
UNI-USD,official_close,20.0,47,-0.2098200484202068,0.3404255319148936,-0.0049634707772798,34.38297872340426,0.3191489361702128,0.574468085106383,0.1063829787234042,0.0,1.0,0.0,,
UNI-USD,preview_unclosed15m,6.0,82,-0.1042360061438774,0.4268292682926829,-0.0013081328478863,42.707317073170735,0.3780487804878049,0.5,0.1219512195121951,0.0,0.5487804878048781,0.4512195121951219,6.066666666666666,20.08048165696675
UNI-USD,preview_unclosed15m,10.0,82,-0.1506813975845529,0.4146341463414634,-0.0019549644503555,42.707317073170735,0.3780487804878049,0.5,0.1219512195121951,0.0,0.5487804878048781,0.4512195121951219,6.066666666666666,20.08048165696675
UNI-USD,preview_unclosed15m,15.0,82,-0.2053902184366154,0.3902439024390244,-0.0027632256707553,42.707317073170735,0.3780487804878049,0.5,0.1219512195121951,0.0,0.5487804878048781,0.4512195121951219,6.066666666666666,20.08048165696675
UNI-USD,preview_unclosed15m,20.0,82,-0.2565997657675359,0.3902439024390244,-0.0035711776881703,42.707317073170735,0.3780487804878049,0.5,0.1219512195121951,0.0,0.5487804878048781,0.4512195121951219,6.066666666666666,20.08048165696675
XRP-USD,official_close,6.0,35,-0.074502465226141,0.3714285714285714,-0.0021825122355754,52.42857142857143,0.3428571428571428,0.4857142857142857,0.1714285714285714,0.0,1.0,0.0,,
XRP-USD,official_close,10.0,35,-0.0957436500282827,0.3714285714285714,-0.0028429602381232,52.42857142857143,0.3428571428571428,0.4857142857142857,0.1714285714285714,0.0,1.0,0.0,,
XRP-USD,official_close,15.0,35,-0.1216223756904509,0.3714285714285714,-0.0036682262307365,52.42857142857143,0.3428571428571428,0.4857142857142857,0.1714285714285714,0.0,1.0,0.0,,
XRP-USD,official_close,20.0,35,-0.1467728925333021,0.3428571428571428,-0.0044931655449372,52.42857142857143,0.3428571428571428,0.4857142857142857,0.1714285714285714,0.0,1.0,0.0,,
XRP-USD,preview_unclosed15m,6.0,58,-0.1278420593172761,0.396551724137931,-0.0023266747344395,43.86206896551724,0.3448275862068966,0.5344827586206896,0.1206896551724138,0.0,0.603448275862069,0.396551724137931,6.0285714285714285,13.864091505410968
XRP-USD,preview_unclosed15m,10.0,58,-0.1607238559691782,0.3620689655172414,-0.0029862128977648,43.86206896551724,0.3448275862068966,0.5344827586206896,0.1206896551724138,0.0,0.603448275862069,0.396551724137931,6.0285714285714285,13.864091505410968
XRP-USD,preview_unclosed15m,15.0,58,-0.2001056064132661,0.3620689655172414,-0.0038103425509665,43.86206896551724,0.3448275862068966,0.5344827586206896,0.1206896551724138,0.0,0.603448275862069,0.396551724137931,6.0285714285714285,13.864091505410968
