factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_notes
q158_open_close_4h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,open|close,5,1h,0.03234357,1h,0.2007,72h,-0.00286027,-7.7335,0.5879,3315195,0.000321,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
q158_high_close_4h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,high|close,5,1h,0.02341446,1h,0.139331,72h,-0.0010956,-2.9133,0.5621,3315195,0.000321,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
q158_low_close_4h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,low|close,5,4h,0.04222499,4h,0.267156,72h,-0.0037911,-10.0868,0.6152,3315195,0.000321,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
q158_close_close_4h,alpha158_price,conditional,DIRECTION_UNKNOWN,False,close,5,1h,0.03239467,4h,0.20158,72h,-0.00248796,-6.7828,0.5889,3315195,0.000321,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
