factor_name,label,flag,severity,detail
mom_24h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
mom_24h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
mom_24h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
mom_24h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
reversal_24h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
reversal_24h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
reversal_24h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
reversal_24h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
reversal_24h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
reversal_24h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
reversal_24h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
reversal_24h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
volatility_24h,ret_fwd_1h,DIRECTION_CONFLICT,LOW,
volatility_24h,ret_fwd_4h,DIRECTION_CONFLICT,LOW,
volatility_24h,ret_fwd_24h,DIRECTION_CONFLICT,LOW,
volatility_24h,ret_fwd_72h,DIRECTION_CONFLICT,LOW,
mom_12h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
mom_12h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
mom_12h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
mom_12h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
mom_12h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
mom_12h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
mom_12h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
mom_12h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
reversal_12h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
reversal_12h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
reversal_12h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
reversal_12h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
reversal_12h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
reversal_12h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
reversal_12h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
reversal_12h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
volatility_6h,ret_fwd_1h,DIRECTION_CONFLICT,LOW,
volatility_6h,ret_fwd_4h,DIRECTION_CONFLICT,LOW,
volatility_6h,ret_fwd_24h,DIRECTION_CONFLICT,LOW,
volatility_6h,ret_fwd_72h,DIRECTION_CONFLICT,LOW,
close_to_high_20h,ret_fwd_1h,DIRECTION_CONFLICT,LOW,
close_to_high_20h,ret_fwd_4h,DIRECTION_CONFLICT,LOW,
close_to_high_20h,ret_fwd_24h,DIRECTION_CONFLICT,LOW,
close_to_high_20h,ret_fwd_72h,DIRECTION_CONFLICT,LOW,
volume_ratio_20h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
volume_ratio_20h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
volume_ratio_20h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
volume_ratio_20h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
volume_ratio_20h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
volume_ratio_20h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
volume_ratio_20h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
volume_ratio_20h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
quote_volume_zscore_20h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
quote_volume_zscore_20h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
quote_volume_zscore_20h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
quote_volume_zscore_20h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
quote_volume_zscore_20h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
quote_volume_zscore_20h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
quote_volume_zscore_20h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
quote_volume_zscore_20h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
volume_zscore_20h,ret_fwd_1h,DIRECTION_CONFLICT,MEDIUM,
volume_zscore_20h,ret_fwd_1h,WEAK_SIGNAL,MEDIUM,
volume_zscore_20h,ret_fwd_4h,DIRECTION_CONFLICT,MEDIUM,
volume_zscore_20h,ret_fwd_4h,WEAK_SIGNAL,MEDIUM,
volume_zscore_20h,ret_fwd_24h,DIRECTION_CONFLICT,MEDIUM,
volume_zscore_20h,ret_fwd_24h,WEAK_SIGNAL,MEDIUM,
volume_zscore_20h,ret_fwd_72h,DIRECTION_CONFLICT,MEDIUM,
volume_zscore_20h,ret_fwd_72h,WEAK_SIGNAL,MEDIUM,
