factor_id,family,expected_direction,required_columns,lookback_window,formula_proxy,fv_exists
taker_buy_ratio_20h,taker_imbalance,positive,taker_buy_quote_volume|quote_volume,20,"rolling_mean(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",False
taker_buy_zscore_20h,taker_imbalance,positive,taker_buy_quote_volume|quote_volume,20,"zscore(taker_buy_quote_volume / quote_volume, 20); Requires Phase 7L-R canonical crypto-native cache.",False
taker_buy_delta_5h,taker_imbalance,positive,taker_buy_quote_volume|quote_volume,6,"ratio - delay(ratio, 5); lookback=6 for ratio(1)+delay(5); Requires Phase 7L-R canonical crypto-native cache.",False
