factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate
taker_buy_ratio_20h,taker_imbalance,positive,1h,LONG_SHORT,Long-Short,6.356e-05,,,16737,COMPUTED,4.596e-05,-1.76e-05,6.356e-05,2.483,0.5054
taker_buy_ratio_20h,taker_imbalance,positive,4h,LONG_SHORT,Long-Short,0.00029753,,,16737,COMPUTED,0.0001886,-0.00010893,0.00029753,5.7071,0.5148
taker_buy_ratio_20h,taker_imbalance,positive,24h,LONG_SHORT,Long-Short,0.00160775,,,16737,COMPUTED,0.00111043,-0.00049732,0.00160775,11.5411,0.5245
taker_buy_ratio_20h,taker_imbalance,positive,72h,LONG_SHORT,Long-Short,0.00380067,,,16737,COMPUTED,0.00233438,-0.00146629,0.00380067,14.3423,0.5431
taker_buy_zscore_20h,taker_imbalance,positive,1h,LONG_SHORT,Long-Short,-2.877e-05,,,16737,COMPUTED,-2.754e-05,1.23e-06,-2.877e-05,-1.1563,0.4869
taker_buy_zscore_20h,taker_imbalance,positive,4h,LONG_SHORT,Long-Short,-8.21e-06,,,16737,COMPUTED,-5.371e-05,-4.55e-05,-8.21e-06,-0.1619,0.496
taker_buy_zscore_20h,taker_imbalance,positive,24h,LONG_SHORT,Long-Short,3.578e-05,,,16737,COMPUTED,-7.626e-05,-0.00011205,3.578e-05,0.2692,0.4966
taker_buy_zscore_20h,taker_imbalance,positive,72h,LONG_SHORT,Long-Short,0.00038477,,,16737,COMPUTED,-8.54e-05,-0.00047017,0.00038477,1.5197,0.4974
taker_buy_delta_5h,taker_imbalance,positive,1h,LONG_SHORT,Long-Short,-2.413e-05,,,16769,COMPUTED,-2.936e-05,-5.24e-06,-2.413e-05,-1.0986,0.4857
taker_buy_delta_5h,taker_imbalance,positive,4h,LONG_SHORT,Long-Short,4.592e-05,,,16769,COMPUTED,-2.692e-05,-7.284e-05,4.592e-05,1.0529,0.4957
taker_buy_delta_5h,taker_imbalance,positive,24h,LONG_SHORT,Long-Short,7.299e-05,,,16769,COMPUTED,-0.00016328,-0.00023628,7.299e-05,0.6443,0.4944
taker_buy_delta_5h,taker_imbalance,positive,72h,LONG_SHORT,Long-Short,0.00035491,,,16769,COMPUTED,-0.00012554,-0.00048045,0.00035491,1.534,0.5018
