bucket,n,price_1d_mean,price_1d_median,price_1d_winrate,long_total_1d_mean,short_total_1d_mean,funding_1d_mean,price_3d_mean,price_3d_median,price_3d_winrate,long_total_3d_mean,short_total_3d_mean,funding_3d_mean,price_5d_mean,price_5d_median,price_5d_winrate,long_total_5d_mean,short_total_5d_mean,funding_5d_mean,price_10d_mean,price_10d_median,price_10d_winrate,long_total_10d_mean,short_total_10d_mean,funding_10d_mean,mae_5d_median,mae_5d_p10,mfe_5d_median,mfe_5d_p90,mae_10d_median,mae_10d_p10,mfe_10d_median,mfe_10d_p90
G_immediate_reversal,18106,-0.04549698844817988,-0.0336742251247136,0.0,-0.044976391318499113,0.044976391318499113,-0.0005205971296807675,-0.04635766206863225,-0.041198842765121896,0.26537610619469026,-0.04534043435237118,0.04534043435237118,-0.0010158550535733983,-0.04742627997959964,-0.045289689119193746,0.30005540166204986,-0.046021684556884955,0.046021684556884955,-0.0014028586347067252,-0.05198480349384386,-0.0578987730061348,0.3216133518776078,-0.049719911852119235,0.049719911852119235,-0.002254793820280568,-0.0824750232682489,-0.21273525811022556,-0.00372499757176885,0.11118061338894039,-0.1165550390679041,-0.28744764945496293,0.01588445687614565,0.19953931118818446
G_stall_t2,8085,0.0544398029229532,0.031971870342772,1.0,0.05510705982214923,-0.05510705982214923,-0.0006672568991960403,0.005165626167043065,-0.00033378955733255004,0.4970311726867887,0.0064751662152865075,-0.0064751662152865075,-0.0013107043351886186,0.00457553425964431,-0.00580520425556875,0.4720089175130047,0.006270158727070616,-0.006270158727070616,-0.001695771209647494,-0.0009380614517396006,-0.0167164977912078,0.4499130002485707,0.001534208770731191,-0.001534208770731191,-0.002470757901051327,-0.0355207706201083,-0.14608470822196973,0.0509427609427608,0.18424202633782466,-0.0702422821414615,-0.23550944048707437,0.0727088265133582,0.2731964380527617
G_stall_t3,3758,0.05258685689849966,0.030317032333573447,1.0,0.05322403452223569,-0.05322403452223569,-0.000637177623736028,0.056449753322572,0.03340070061977895,0.7727514635444386,0.057803282673290476,-0.057803282673290476,-0.001353529350718465,0.053909910842225656,0.033585409252669,0.6654245408570668,0.055752025896790465,-0.055752025896790465,-0.0018414086295902065,0.056801265270929976,0.022680106729914,0.5768100454181138,0.059386564803390565,-0.059386564803390565,-0.0025664028259712586,0.0044830904899394,-0.08217854720868022,0.0876340129559266,0.2549406515862856,-0.0264213307697977,-0.17819458918504352,0.11728133911480906,0.34616466381310046
G_continuation,2873,0.04825683224607168,0.0272399819900945,1.0,0.04866830535432091,-0.04866830535432091,-0.0004114731082492147,0.161110944800397,0.1076182597578401,1.0,0.16202530737610182,-0.16202530737610182,-0.0009143625757048354,0.15360483426576818,0.10269804193692615,0.8873779637377964,0.15487531054540554,-0.15487531054540554,-0.0013417881830838838,0.15139235795293357,0.0929675233451781,0.7506103941402162,0.15334606797386136,-0.15334606797386136,-0.002018374232509572,0.0227439471753483,-0.009678425128259205,0.141232053575524,0.4070945552309402,0.0118298034726196,-0.1009282210634391,0.1831491796791768,0.5487181876405501
G_no_data,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G_unknown,15,0.0830108266208675,0.0395522388059701,1.0,0.0858810026208675,-0.0858810026208675,-0.002870176000000007,,,,,,-0.003296904000000014,,,,,,-0.003296904000000014,,,,,,-0.003296904000000014,0.0395522388059701,0.004856687298055101,0.0431560071727437,0.3121504807065196,0.0395522388059701,0.004856687298055101,0.0431560071727437,0.3121504807065196
G_neg_extreme_immediate_reversal,983,-0.07055948563740538,-0.0542398777692895,0.0,-0.06041529041868716,0.06041529041868716,-0.0101441952187182,-0.061976742021050774,-0.073170731707317,0.23139653414882771,-0.04273392594561755,0.04273392594561755,-0.01920879249237028,-0.05367428536009553,-0.07995381062355661,0.24180327868852458,-0.027664556620341448,0.027664556620341448,-0.02587559537131229,-0.07557139320918171,-0.09964832436905244,0.2717842323651452,-0.034893801456069684,0.034893801456069684,-0.04012992366225838,-0.1196958077709611,-0.2613713655898535,-0.0216306156405989,0.16193826176888662,-0.1578947368421053,-0.33576201471258477,-0.0086663456909003,0.26349755241566036
G_neg_extreme_stall_t2,388,0.10077215196775804,0.0465458314926532,1.0,0.11294673967394361,-0.11294673967394361,-0.012174587706185559,0.006825745343279492,-0.0087338513291905,0.45103092783505155,0.03185885317833104,-0.03185885317833104,-0.025033107835051527,0.028558482144924936,-0.0171884591774094,0.43410852713178294,0.060004131886526986,-0.060004131886526986,-0.031396822371134,0.021082859746375828,-0.02992081347575365,0.4088541666666667,0.0669902028192925,-0.0669902028192925,-0.045569106134020605,-0.0503930202558447,-0.1711403320681382,0.0663836441745798,0.3335376931682933,-0.0920031148811887,-0.25773131621808676,0.09340011861396386,0.4658401166959183
G_neg_extreme_stall_t3,144,0.10871433222039312,0.04989624492311135,1.0,0.1240780882620598,-0.1240780882620598,-0.015363756041666652,0.10647538024505454,0.06056045928815155,0.7638888888888888,0.14242937093949898,-0.14242937093949898,-0.035953990694444424,0.10149900069540041,0.0406911527966743,0.6597222222222222,0.1504463497926226,-0.1504463497926226,-0.048947349097222204,0.21259969206240414,0.01224593560524205,0.5138888888888888,0.2794380825485152,-0.2794380825485152,-0.06683839048611108,0.00792989351285075,-0.12302963317321963,0.1461183421803397,0.5273835543381524,-0.05570386582487955,-0.22820535708818293,0.16640816154943133,0.6878235131243357
G_neg_extreme_continuation,124,0.07071262917984891,0.03426796327713705,1.0,0.08181507869597791,-0.08181507869597791,-0.011102449516129018,0.2189412711422962,0.13975962906914735,1.0,0.24519223227132844,-0.24519223227132844,-0.02625096112903224,0.1944751157005537,0.1346840540547731,0.9016393442622951,0.22924669676612744,-0.22924669676612744,-0.036116472822580625,0.15501719193287467,0.1157258000539451,0.7786885245901639,0.20199176127713697,-0.20199176127713697,-0.0481226387096774,0.024812323006642552,-0.014218712587179428,0.17452997663882824,0.5795759664380105,0.014950987715730401,-0.09616149373129201,0.22750751886250742,0.8544903170120244
