event_date,symbol,tags,carry_raw,funding_bucket,structure,structure_relaxed,vol_structure,funding_traj,ret_1d,fwd_ret_t1,fwd_ret_t2_only,fwd_ret_t3_only,vol_ratio_t1,vol_ratio_t2,range_2d_pct,funding_rate_sum,funding_rate_sum_t1,funding_rate_sum_t2,fwd_ret_1d,fwd_ret_3d,fwd_ret_5d,fwd_ret_10d,long_total_ret_1d,long_total_ret_5d,short_total_ret_5d,mae_long_5d,mfe_long_5d
2021-10-29,CHRUSDT,top_gainer_1d,0.0001,pos_moderate,stall_t2,stall_relaxed,vol_expansion,pos_stays_pos,0.1543026706231454,0.1969151670951157,-0.058204467353951905,0.7010262257696693,1.4359414857375459,1.585182028869341,0.19691516709511567,0.0003,0.00049923,0.00098408,0.1969151670951157,0.9174807197943444,0.9287917737789202,0.990745501285347,0.1964159370951157,0.9227098837789202,-0.9227098837789202,0.1272493573264781,0.9287917737789202
2021-10-29,SFPUSDT,funding_extreme_negative+top_gainer_1d,0.0001,pos_moderate,continuation,continuation,vol_contraction,pos_stays_pos,0.0649005764622059,0.008211179368651678,0.02569980694980689,0.0826961533937185,0.6008879320270935,0.8844428090555786,0.008211179368651584,0.0003,0.00035412,0.00088434,0.0082111793686516,0.1196399245787969,0.0168481235934554,0.0345477768992155,0.0078570593686516,0.0111215635934554,-0.0111215635934554,0.0082111793686516,0.1196399245787969
2021-10-29,DODOUSDT,top_gainer_1d,0.0001,pos_moderate,continuation,stall_relaxed,vol_expansion,pos_stays_pos,0.0835102618542107,0.12802090137165267,0.002895193977996424,0.050808314087759765,2.1551542827026835,3.341974853983689,0.12802090137165265,0.0003,0.0007440600000000001,0.00107161,0.1280209013716526,0.1887655127367735,0.1247550620509472,0.1371652514696277,0.1272768413716526,0.1182492520509472,-0.1182492520509472,0.1247550620509472,0.1972566949706073
2021-10-29,THETAUSDT,funding_extreme_negative+top_gainer_1d,0.0001,pos_moderate,stall_t2,stall_relaxed,vol_expansion,pos_stays_pos,0.0853469640644359,0.17296988725560158,-0.12057427910938068,0.055063641394576646,2.4157058407540797,1.5697590630799043,0.1729698872556015,0.0003,0.0007380900000000001,0.0009792099999999999,0.1729698872556015,0.0883402311973742,0.101898101898102,0.1302982731554161,0.1722317972556016,0.096660411898102,-0.096660411898102,0.0315398886827458,0.1729698872556015
2021-10-29,BNBUSDT,funding_extreme_negative+top_gainer_1d,0.0,mid,immediate_reversal,immediate_reversal,vol_contraction,pos_stays_pos,0.0785238172654854,-0.0033350919505577004,-0.008564136496833519,0.05753022386636686,0.6985558906865451,0.5833808020776069,0.0033350919505576986,0.0,0.0007105600000000001,0.0,-0.0033350919505577,0.0449766355140186,0.0530223093156465,0.1968646367199276,-0.0040456519505577,0.0523293093156465,-0.0523293093156465,-0.0118706662646971,0.0711486282785649
2021-10-29,CHZUSDT,funding_extreme_positive+top_gainer_1d,0.00025583,pos_extreme,stall_t2,stall_relaxed,vol_expansion,pos_stays_pos,0.1001917842118287,0.4777743413838671,-0.20610730593607307,0.19057205166918312,4.567781854871845,5.3371172153747635,0.477774341383867,0.00045583,0.00088904,0.00110461,0.4777743413838671,0.3967722889195042,0.2335873140832793,0.3267916889251272,0.4768853013838671,0.2263740340832793,-0.2263740340832793,0.1731942530997834,0.4777743413838671
2021-10-29,ANKRUSDT,top_gainer_1d,0.0001,pos_moderate,continuation,continuation,vol_expansion,pos_stays_pos,0.0772804532577904,0.05196171242242564,0.19898010198980098,0.1635393211575349,2.620058438542777,30.24637781043264,0.05196171242242558,0.0003,0.00067164,0.0010891199999999998,0.0519617124224256,0.4675502261491533,0.3071421058167667,0.3525823077732197,0.0512900724224256,0.3021131058167667,-0.3021131058167667,0.0519617124224256,0.4675502261491533
2021-10-29,SNXUSDT,funding_extreme_positive+top_gainer_1d,0.00026604,pos_extreme,immediate_reversal,immediate_reversal,vol_contraction,pos_stays_pos,0.0677651905252316,-0.0478395061728395,0.028059157212317665,0.030544881269090496,0.6775745122555605,0.97006134210248,0.047839506172839545,0.00046604,0.00095926,0.00104283,-0.0478395061728395,0.0087770061728393,0.0277777777777779,0.0308641975308643,-0.0487987661728395,0.0210671677777779,-0.0210671677777779,-0.0478395061728395,0.0869984567901234
2021-10-29,OGNUSDT,top_gainer_1d,0.0001,pos_moderate,stall_t2,stall_relaxed,vol_expansion,pos_stays_pos,0.1190148768596073,0.2522623170595464,-0.09768935676688373,0.12131698635554677,3.134499309373345,2.3834974425481597,0.25226231705954644,0.0003,0.0006730099999999999,0.00094896,0.2522623170595464,0.2670092727069602,0.1791978549882695,0.1657915316724389,0.2515893070595464,0.1727413949882695,-0.1727413949882695,0.129929616802592,0.2670092727069602
2021-10-29,BELUSDT,top_gainer_1d,0.0001,pos_moderate,continuation,continuation,vol_stable,pos_stays_pos,0.0637188736327671,0.013083048919226403,0.10439251932794869,0.054947203754399654,1.1985528631027604,2.676557146807487,0.01308304891922641,0.0004676299999999,0.00135644,0.00100153,0.0130830489192264,0.1803185437997723,0.1878008226131091,0.1278988360899624,0.0117266089192264,0.1806712526131091,-0.1806712526131091,0.0130830489192264,0.209766342872145
2021-10-29,BTTUSDT,top_gainer_1d,0.0001035,pos_moderate,stall_t3,continuation,vol_expansion,pos_stays_pos,0.0851305334846765,0.012029288702928964,0.06976744186046502,-0.013043478260869379,3.9747419928983554,3.6136289719375707,0.012029288702928879,0.0003035,0.0012087500000000002,0.00153904,0.0120292887029289,0.0685146443514643,0.0287656903765689,0.0774058577405858,0.0108205387029289,0.0205294203765689,-0.0205294203765689,0.0120292887029289,0.0826359832635981
2021-10-29,MANAUSDT,top_gainer_1d,0.0001263,pos_moderate,stall_t2,stall_relaxed,vol_expansion,pos_flips_neg,0.5079930870598401,1.5697299620371035,-0.1955903668190434,0.07262898922346572,4.213793683966658,3.0850803366657944,1.5697299620371037,0.00047044,-0.00471771,0.00016612000000000007,1.5697299620371037,1.217248048134088,0.7956450111023565,0.8285223121552898,1.5744476720371037,0.7928072711023565,-0.7928072711023565,0.7956450111023565,1.5697299620371037
2021-10-29,XTZUSDT,funding_extreme_negative+top_gainer_1d,0.0001,pos_moderate,immediate_reversal,immediate_reversal,vol_stable,pos_stays_pos,0.0698924731182795,-0.039287345820009145,0.0077666825170390474,-0.014312676942434654,1.1415408021026705,0.8575656000278938,0.03928734582000914,0.0003,0.00084833,0.00077213,-0.0392873458200091,-0.0456829602558245,-0.0330440079183798,-0.0397441754225673,-0.0401356758200091,-0.0397176379183798,0.0397176379183798,-0.0456829602558245,-0.0318257956448911
2021-10-29,BZRXUSDT,top_gainer_1d,0.0001,pos_moderate,immediate_reversal,immediate_reversal,vol_contraction,pos_stays_pos,0.0818543046357616,-0.011753183153770719,0.006194251734390477,0.10366904703275037,0.7470922336713718,0.6573584052609571,0.011753183153770743,0.00031356,0.0005131000000000001,0.00106997,-0.0117531831537707,0.0974534769833497,0.0864348677766895,-0.056562193927522,-0.0122662831537707,0.0801658177766895,-0.0801658177766895,-0.0117531831537707,0.1133692458374142
2021-10-29,ALICEUSDT,funding_extreme_negative+top_gainer_1d,0.0001,pos_moderate,stall_t2,stall_relaxed,vol_expansion,pos_stays_pos,0.1783676057613914,0.2596863468634687,-0.15745148297326983,0.06576850644647259,1.6919065195390004,0.9329511380274895,0.25968634686346864,0.0004362,0.00055778,0.00159944,0.2596863468634687,0.1311500615006151,0.1730473554735547,0.1507533825338254,0.2591285668634687,0.1660580854735547,-0.1660580854735547,0.0613468634686347,0.2596863468634687
2021-10-29,BATUSDT,top_gainer_1d,0.0001,pos_moderate,stall_t2,stall_relaxed,vol_expansion,pos_stays_pos,0.2290856731461483,0.45770852858481725,-0.1989070159929277,0.038422953451043185,2.7497985961125897,1.6823302432121927,0.45770852858481714,0.000382,0.0006059,0.0006766,0.4577085285848172,0.2126288659793813,0.1451499531396438,0.3724226804123711,0.4571026285848172,0.1405576431396438,-0.1405576431396438,0.1371836925960636,0.4577085285848172
2021-10-29,REEFUSDT,top_gainer_1d,0.0001,pos_moderate,immediate_reversal,immediate_reversal,vol_collapse,pos_stays_pos,0.1386718077598374,-0.05968253968253967,-0.018263078357609097,0.21697835129204446,0.436420626482483,0.4534730666815407,0.059682539682539684,0.0003,0.00069128,0.00090012,-0.0596825396825396,0.1234467120181403,0.0379743008314437,0.0148450491307634,-0.0603738196825396,0.0317579708314437,-0.0317579708314437,-0.0768556311413454,0.1234467120181403
2021-10-29,LUNAUSDT,top_gainer_1d,0.00016232,pos_moderate,immediate_reversal,immediate_reversal,vol_contraction,pos_stays_pos,0.0643644994647927,-0.05207695671184964,-0.010055814382582184,0.044359535902334546,0.5969322392520292,0.5973869702371561,0.05207695671184969,0.00036232,0.00123862,0.00096789,-0.0520769567118496,-0.019982509838216,0.1358548316571928,0.0990380411018803,-0.0533155767118496,0.1282330016571928,-0.1282330016571928,-0.0616090948841278,0.1358548316571928
2021-10-29,SANDUSDT,funding_extreme_positive+top_gainer_1d,0.00043152,pos_extreme,stall_t2,stall_relaxed,vol_expansion,pos_stays_pos,0.2381953960716827,0.5471945778997942,-0.12863408764507234,0.9500582272197933,3.409979013228008,3.521005097126837,0.5471945778997941,0.00089357,0.00087992,0.0018083399999999999,0.5471945778997942,1.629015099519561,1.3183682223747426,1.0470144131777626,0.5463146578997942,1.3100814123747426,-1.3100814123747426,0.3481726149622512,1.7557137954701445
2021-10-29,AXSUSDT,funding_extreme_negative+top_gainer_1d,-0.00078259,neg_extreme,stall_t2,stall_relaxed,vol_contraction,neg_stays_neg,0.1301873369694093,0.023709609735627524,-0.05759376921500314,0.017616354936929257,0.5767822269215171,0.2636542010059428,0.023709609735627465,-0.00194199,-0.00107248,-0.00284417,0.0237096097356275,-0.0182543013008811,0.0132186319765004,0.0486081969506226,0.0247820897356275,0.0227276919765004,-0.0227276919765004,-0.0352496852706671,0.0237096097356275
