asset,symbol,signal_timestamp,baseline_entry_ts,delayed_entry_ts,delay_penalty_bps,tp175_bps_from_delay,delay_pct_of_tp175,confirmed_at_close,preview_only,lead_minutes
BTC-USD,BTCUSDT,2025-12-26T07:30:00Z,2025-12-26T07:37:00Z,2025-12-26T07:38:00Z,5.485414193733273,39.579567731376486,13.85920692960156,1,0,8.0
BTC-USD,BTCUSDT,2025-12-26T14:30:00Z,2025-12-26T14:37:00Z,2025-12-26T14:38:00Z,-4.0230202401858595,30.685389675149686,-13.11053984575555,1,0,8.0
BTC-USD,BTCUSDT,2026-01-02T14:30:00Z,2026-01-02T14:39:00Z,2026-01-02T14:40:00Z,4.941382845988773,47.56678516386654,10.388305261677486,1,0,6.0
BTC-USD,BTCUSDT,2026-01-12T00:45:00Z,2026-01-12T00:48:00Z,2026-01-12T00:49:00Z,2.1353480452224183,46.93048725062239,4.550023173249921,1,0,12.0
BTC-USD,BTCUSDT,2026-01-12T15:15:00Z,2026-01-12T15:19:00Z,2026-01-12T15:20:00Z,8.781558726673744,53.80565913577583,16.320883096170107,1,0,11.0
BTC-USD,BTCUSDT,2026-01-16T15:15:00Z,2026-01-16T15:17:00Z,2026-01-16T15:18:00Z,5.638591442127527,43.4318270189144,12.982625482625776,1,0,13.0
BTC-USD,BTCUSDT,2026-01-18T23:00:00Z,2026-01-18T23:05:00Z,2026-01-18T23:06:00Z,3.475842891902392,22.4902834391887,15.454864769938077,1,0,10.0
BTC-USD,BTCUSDT,2026-01-21T16:15:00Z,2026-01-21T16:24:00Z,2026-01-21T16:25:00Z,-21.59626723451491,99.78627412384716,-21.642522906217803,0,1,6.0
BTC-USD,BTCUSDT,2026-01-21T16:30:00Z,2026-01-21T16:33:00Z,2026-01-21T16:34:00Z,2.195404436062809,98.94721396456458,2.2187632658854213,1,0,12.0
BTC-USD,BTCUSDT,2026-01-23T14:30:00Z,2026-01-23T14:33:00Z,2026-01-23T14:34:00Z,-1.6247062923191447,33.478753883888444,-4.8529473287864215,1,0,12.0
BTC-USD,BTCUSDT,2026-01-27T14:30:00Z,2026-01-27T14:37:00Z,2026-01-27T14:38:00Z,10.28698877989953,36.03290926056616,28.54887099321022,1,0,8.0
BTC-USD,BTCUSDT,2026-01-27T17:00:00Z,2026-01-27T17:14:00Z,2026-01-27T17:15:00Z,6.126970377975383,82.48959608601416,7.4275674372155045,1,0,1.0
BTC-USD,BTCUSDT,2026-01-28T09:15:00Z,2026-01-28T09:16:00Z,2026-01-28T09:17:00Z,4.1606646268155245,30.159298421516258,13.795628030416058,1,0,14.0
