asset,symbol,entry_mode,exit_config,market_cost_bps,net_ret,gross_ret,exit_reason,confirmed_at_close,preview_only,lead_minutes,delay_penalty_bps,delay_pct_of_tp175
BTC-USD,BTCUSDT,official_close,fixed_hold_120m,10.0,0.0020364085860098413,0.004043491525569376,fixed_hold,1,0,0.0,0.0,0.0
BTC-USD,BTCUSDT,official_close,fixed_hold_120m,10.0,-0.001905237494999934,9.395031167303003e-05,fixed_hold,1,0,0.0,0.0,0.0
BTC-USD,BTCUSDT,official_close,fixed_hold_120m,10.0,-0.0007971597886795578,0.0012042475020770382,fixed_hold,1,0,0.0,0.0,0.0
BTC-USD,BTCUSDT,official_close,fixed_hold_120m,10.0,0.0008041524364863495,0.0028087671620433685,fixed_hold,1,0,0.0,0.0,0.0
BTC-USD,BTCUSDT,official_close,fixed_hold_120m,10.0,-0.003422046781016763,-0.0014258971494185424,fixed_hold,1,0,0.0,0.0,0.0
BTC-USD,BTCUSDT,official_close,fixed_hold_120m,10.0,0.0039001733932921834,0.005910989461225036,fixed_hold,1,0,0.0,0.0,0.0
BTC-USD,BTCUSDT,official_close,fixed_hold_120m,10.0,-0.012647873503582652,-0.010670203239859122,fixed_hold,1,0,0.0,0.0,0.0
BTC-USD,BTCUSDT,official_close,fixed_hold_120m,10.0,-0.009538954921490261,-0.007555057481395622,fixed_hold,1,0,0.0,0.0,0.0
BTC-USD,BTCUSDT,official_close,fixed_hold_120m,10.0,0.0016062258166735788,0.0036124470984233437,fixed_hold,1,0,0.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.0011179311778186651,0.003123174403451223,fixed_hold,1,0,8.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.013715221257085686,0.015745696905199003,fixed_hold,1,0,8.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.01431979843537845,0.016351485054001413,fixed_hold,1,0,6.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.011095055389167108,0.013120282834553354,fixed_hold,1,0,12.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.007422304720087869,0.009440175631174608,fixed_hold,1,0,11.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.005052093453597584,0.007065216822024656,fixed_hold,1,0,13.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.02311442672626174,0.025163729020573955,fixed_hold,1,0,10.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.013744987172230605,0.015775522441591305,fixed_hold,0,1,6.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.005409089887753793,-0.0034169203114564617,fixed_hold,1,0,12.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.008214922398270263,-0.006228372915728864,fixed_hold,1,0,8.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.0036508915599551273,-0.0016552003053655895,fixed_hold,1,0,1.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.002588782813306434,0.004596972160655577,fixed_hold,1,0,14.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.0007308464162347761,0.0027353143095396604,fixed_hold,1,0,13.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,-0.010823954423489712,-0.008842630842543997,fixed_hold,1,0,12.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.011016626196086454,0.013041696547484771,fixed_hold,0,1,12.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.0034125440449279676,0.005422383389323215,fixed_hold,1,0,11.0,0.0,0.0
BTC-USD,BTCUSDT,preview_unclosed15m,fixed_hold_120m,10.0,0.01719689318685491,0.019234342637788004,fixed_hold,1,0,2.0,0.0,0.0
