entry_mode,asset,trades,win_rate,total_return,mean_net_ret,mean_delay_penalty_bps,mean_delay_pct_of_tp175
official_close,BTC-USD,45,0.4666666666666667,-0.013796530363152204,-0.000287913714951392,0.0,0.0
preview_unclosed15m,BTC-USD,46,0.8043478260869565,0.1588849170916138,0.003224827198134842,0.0,0.0
preview_unclosed15m_delay1m,BTC-USD,45,0.7333333333333333,0.10793373337110079,0.002297413880411714,2.2149451307365005,4.694425107691828
official_close,ETH-USD,67,0.5373134328358209,0.08636235893060462,0.0012685005885597822,0.0,0.0
preview_unclosed15m,ETH-USD,67,0.7164179104477612,0.27533973216396723,0.003661398490939245,0.0,0.0
preview_unclosed15m_delay1m,ETH-USD,67,0.7014925373134329,0.24753595330209688,0.0033308139139179003,3.940239833131552,3.6224868499943157
official_close,SOL-USD,67,0.6417910447761194,0.18697955050589665,0.0025912374740171902,0.0,0.0
preview_unclosed15m,SOL-USD,70,0.8142857142857143,0.3932454136135475,0.004769940826166295,0.0,0.0
preview_unclosed15m_delay1m,SOL-USD,68,0.8382352941176471,0.45557591546094556,0.005552570382121199,3.9064975653164726,6.17999101460505
official_close,LTC-USD,70,0.6142857142857143,0.15510499020351998,0.002088607904233505,0.0,0.0
preview_unclosed15m,LTC-USD,71,0.8309859154929577,0.3548447322819437,0.0043029690126267055,0.0,0.0
preview_unclosed15m_delay1m,LTC-USD,71,0.8169014084507042,0.3817801773236966,0.004581677708630816,2.6021964197766403,4.620761078049546
official_close,NEAR-USD,93,0.6021505376344086,0.26544064752489405,0.002582847027870952,0.0,0.0
preview_unclosed15m,NEAR-USD,97,0.8041237113402062,0.8338903410166565,0.006302878256693654,0.0,0.0
preview_unclosed15m_delay1m,NEAR-USD,97,0.7628865979381443,0.7760882787535421,0.005971957535509913,4.779822916308214,3.5832112431286527
official_close,UNI-USD,106,0.4811320754716981,-0.025522011275419088,-0.00020875789527092413,0.0,0.0
preview_unclosed15m,UNI-USD,103,0.6601941747572816,0.32010512575100725,0.0027290072094849852,0.0,0.0
preview_unclosed15m_delay1m,UNI-USD,102,0.6470588235294118,0.25577581888012646,0.0022646516391359455,4.761950895867199,4.583568412213774
official_close,XRP-USD,63,0.5079365079365079,0.05018868794870479,0.000815292859942145,0.0,0.0
preview_unclosed15m,XRP-USD,67,0.7611940298507462,0.30675613701626414,0.0040255338874528096,0.0,0.0
preview_unclosed15m_delay1m,XRP-USD,67,0.746268656716418,0.3125483458000713,0.004091284579710943,1.663889207016649,3.5763292340866824
official_close,DOGE-USD,73,0.6301369863013698,0.2289230770161228,0.0028670829762361574,0.0,0.0
preview_unclosed15m,DOGE-USD,74,0.8108108108108109,0.5534266837884239,0.00599855957987457,0.0,0.0
preview_unclosed15m_delay1m,DOGE-USD,74,0.8108108108108109,0.5605717020299621,0.006058247964735683,2.714406804715632,2.8761641000131086
official_close,BNB-USD,46,0.7391304347826086,0.13599078515420837,0.002788913347770466,0.0,0.0
preview_unclosed15m,BNB-USD,48,0.9166666666666666,0.2419519194139872,0.004529743294270042,0.0,0.0
preview_unclosed15m_delay1m,BNB-USD,48,0.875,0.2092970349446619,0.003973966798160727,3.754256393885917,7.051966173572757
official_close,ADA-USD,77,0.5454545454545454,0.06542203625651744,0.0008591293229039406,0.0,0.0
