timestamp,ls_return,long_return,short_return,n_symbols,cum_ls_return,drawdown,rolling_sharpe
2024-06-01 20:00:00+00:00,-0.03102125956050491,0.025980137641939405,0.057001397202444314,27,-0.03102125956050491,0.0,
2024-06-01 21:00:00+00:00,0.02040121726689323,0.04072072027415443,0.0203195030072612,32,-0.01062004229361168,0.0,
2024-06-01 22:00:00+00:00,0.00134721873917178,0.02888990984312887,0.02754269110395709,28,-0.0092728235544399,0.0,
2024-06-01 23:00:00+00:00,-0.08844161137622164,-0.01868422497413804,0.06975738640208361,27,-0.09771443493066154,-0.08844161137622164,
2024-06-02 00:00:00+00:00,0.013305126722294447,0.014128191505863419,0.000823064783568972,10,-0.08440930820836709,-0.0751364846539272,
2024-06-02 01:00:00+00:00,-0.11758451519165658,0.006238061404730488,0.12382257659638707,38,-0.20199382340002367,-0.19272099984558377,
2024-06-02 02:00:00+00:00,-0.0034616183449376198,0.0778653050828273,0.08132692342776492,30,-0.20545544174496128,-0.19618261819052138,
2024-06-02 03:00:00+00:00,0.024702008698097057,0.014605375255454392,-0.010096633442642666,15,-0.18075343304686423,-0.17148060949242433,
2024-06-02 04:00:00+00:00,0.04849150337337612,0.050901089159407775,0.002409585786031654,22,-0.1322619296734881,-0.1229891061190482,
2024-06-02 05:00:00+00:00,-0.05620550625197357,0.013180595720781951,0.06938610197275552,31,-0.18846743592546167,-0.17919461237102177,
2024-06-02 06:00:00+00:00,0.018261610904924813,0.035727386484579515,0.017465775579654702,18,-0.17020582502053686,-0.16093300146609696,
2024-06-02 07:00:00+00:00,-0.07292586015234542,-0.0002075588300246567,0.07271830132232077,20,-0.24313168517288228,-0.23385886161844238,
2024-06-02 08:00:00+00:00,-0.09423421961178868,-0.06324110671936767,0.030993112892421015,7,-0.337365904784671,-0.32809308123023107,
2024-06-02 09:00:00+00:00,0.01006269160597667,0.056397541309133103,0.04633484970315643,18,-0.3273032131786943,-0.3180303896242544,
2024-06-02 10:00:00+00:00,-0.11555809832305886,0.012368916375369743,0.1279270146984286,5,-0.4428613115017532,-0.43358848794731325,
2024-06-02 11:00:00+00:00,-0.13645528257388295,-0.03567170111287754,0.10078358146100541,8,-0.5793165940756362,-0.5700437705211963,
2024-06-02 12:00:00+00:00,-0.06363530540579983,0.007712654283262103,0.07134795968906193,16,-0.642951899481436,-0.6336790759269961,
2024-06-02 13:00:00+00:00,-0.13466432645897342,-0.06750471401634195,0.06715961244263147,5,-0.7776162259404095,-0.7683434023859695,
2024-06-02 14:00:00+00:00,-0.04745817996781682,-0.012536993584156867,0.03492118638365996,16,-0.8250744059082263,-0.8158015823537864,
2024-06-02 15:00:00+00:00,-0.035769770465888334,0.008190032037163352,0.04395980250305168,28,-0.8608441763741147,-0.8515713528196748,
2024-06-02 16:00:00+00:00,-0.039716500266950006,0.0024895201837179803,0.042206020450667986,20,-0.9005606766410648,-0.8912878530866248,
2024-06-02 17:00:00+00:00,-0.04837879776897969,-0.02244477771281872,0.025934020056160967,8,-0.9489394744100444,-0.9396666508556045,
2024-06-02 18:00:00+00:00,,,0.13359177430834235,2,-0.9489394744100444,-0.9396666508556045,
2024-06-02 19:00:00+00:00,-0.11450876211046207,-0.09105309627270053,0.02345566583776154,9,-1.0634482365205065,-1.0541754129660665,
2024-06-02 20:00:00+00:00,-0.04744436526573237,-0.10030059347943376,-0.052856228213701395,5,-1.1108926017862388,-1.101619778231799,
2024-06-02 21:00:00+00:00,,,0.08561699367601738,2,-1.1108926017862388,-1.101619778231799,
2024-06-02 22:00:00+00:00,,,-0.05746879035729646,4,-1.1108926017862388,-1.101619778231799,
2024-06-02 23:00:00+00:00,,,-0.005733646077664911,2,-1.1108926017862388,-1.101619778231799,
2024-06-03 00:00:00+00:00,,,0.06849135673127305,4,-1.1108926017862388,-1.101619778231799,
2024-06-03 01:00:00+00:00,,,0.07021569527306104,4,-1.1108926017862388,-1.101619778231799,
2024-06-03 02:00:00+00:00,-0.04590648922245874,-0.00029580579819854513,0.045610683424260196,17,-1.1567990910086976,-1.1475262674542577,
2024-06-03 03:00:00+00:00,0.04864483545758169,0.06035893792042868,0.011714102462846987,34,-1.108154255551116,-1.098881431996676,
2024-06-03 04:00:00+00:00,0.05631097767387584,0.06642753376717611,0.010116556093300266,21,-1.05184327787724,-1.0425704543228,
2024-06-03 05:00:00+00:00,-0.020079824195924422,0.007643081320855301,0.027722905516779722,18,-1.0719231020731643,-1.0626502785187244,
2024-06-03 06:00:00+00:00,-0.02370028916056015,-0.0017802954140608174,0.021919993746499333,25,-1.0956233912337245,-1.0863505676792846,
2024-06-03 07:00:00+00:00,-0.00859353426829593,0.011569384163447317,0.020162918431743247,51,-1.1042169255020204,-1.0949441019475805,
2024-06-03 08:00:00+00:00,-0.03453876922061345,0.003992722464955253,0.0385314916855687,36,-1.1387556947226338,-1.129482871168194,
2024-06-03 09:00:00+00:00,-0.010801116638820555,0.020615261318049662,0.03141637795687022,37,-1.1495568113614545,-1.1402839878070146,
2024-06-03 10:00:00+00:00,0.011813310232649237,0.037819008676956284,0.026005698444307047,24,-1.1377435011288053,-1.1284706775743654,
2024-06-03 11:00:00+00:00,-0.002428083136289616,0.05803726016019184,0.060465343296481455,21,-1.140171584265095,-1.130898760710655,
2024-06-03 12:00:00+00:00,-0.08291896857949435,-0.0038558076830335908,0.07906316089646076,20,-1.2230905528445895,-1.2138177292901495,
