signal_variant,component_count,family_count,factors,mean_rankic_1h,t_stat_1h,spread_1h,mean_rankic_4h,t_stat_4h,spread_4h,mean_rankic_24h,t_stat_24h,spread_24h,mean_rankic_72h,t_stat_72h,spread_72h,consistency,cost_status,conclusion
signal_v0_core_only,6,2,"vol_5h, vol_40h, downside_vol_20h, vol_of_vol_20h, rsi_7h, rsi_28h",0.032482,17.5713,-0.000306,0.038507,20.8,-0.001232,0.041628,22.5955,-0.006742,0.033778,18.0589,-0.016623,INCONSISTENT: RankIC positive but spread negative (bucket 0 tail non-linearity),COST_SENSITIVE (1h no_guard only); FAILS_COST_DIAGNOSTIC (most variants),RankIC positive and significant; spread negative due to bucket 0 tail effect; continue paper diagnostic
signal_v0_pm_full_structured,10,5,all 10 (core + liquidity gate + pos overlay),0.03144,17.4316,-0.000316,0.036529,20.1974,-0.001182,0.037849,21.0688,-0.006594,0.026726,14.6823,-0.016746,INCONSISTENT: RankIC positive but spread negative (bucket 0 tail non-linearity),COST_SENSITIVE (1h no_guard only); FAILS_COST_DIAGNOSTIC (most variants),RankIC positive and significant; spread negative due to bucket 0 tail effect; continue paper diagnostic
signal_v0_family_balanced_diagnostic,10,5,all 10 (equal-weight 4-way),0.030252,17.1335,-0.000318,0.035212,19.9152,-0.001161,0.033955,19.4889,-0.006617,0.024628,14.0194,-0.016461,INCONSISTENT: RankIC positive but spread negative (bucket 0 tail non-linearity),COST_SENSITIVE (1h no_guard only); FAILS_COST_DIAGNOSTIC (most variants),RankIC positive and significant; spread negative due to bucket 0 tail effect; continue paper diagnostic
