factor_name,category,expected_direction,horizon,bucket,bucket_label,mean_forward_return,median_forward_return,n_obs,n_periods,status
q158_kup_range,alpha158_kbar,negative,4h,3,Q4,-0.00011631,0.00047171,3315183,17804,COMPUTED
q158_kup_range,alpha158_kbar,negative,4h,4,Q5,-0.00012606,0.00047186,3315183,17804,COMPUTED
q158_kup_range,alpha158_kbar,negative,24h,0,Q1,0.00020069,0.00109617,3309840,17784,COMPUTED
q158_kup_range,alpha158_kbar,negative,24h,1,Q2,-0.00048847,0.00100853,3309840,17784,COMPUTED
q158_kup_range,alpha158_kbar,negative,24h,2,Q3,-0.00043743,0.00110625,3309840,17784,COMPUTED
q158_kup_range,alpha158_kbar,negative,24h,3,Q4,-0.00045465,0.00115304,3309840,17784,COMPUTED
q158_kup_range,alpha158_kbar,negative,24h,4,Q5,5.083e-05,0.00091938,3309840,17784,COMPUTED
q158_kup_range,alpha158_kbar,negative,72h,0,Q1,0.00067898,0.00102455,3297072,17736,COMPUTED
q158_kup_range,alpha158_kbar,negative,72h,1,Q2,-0.00154016,-0.000637,3297072,17736,COMPUTED
q158_kup_range,alpha158_kbar,negative,72h,2,Q3,-0.00182393,-0.00100426,3297072,17736,COMPUTED
q158_kup_range,alpha158_kbar,negative,72h,3,Q4,-0.0014845,-0.00087988,3297072,17736,COMPUTED
q158_kup_range,alpha158_kbar,negative,72h,4,Q5,0.00026078,0.00129614,3297072,17736,COMPUTED
q158_klow_range,alpha158_kbar,positive,1h,0,Q1,7.54e-05,0.00031468,3315990,17807,COMPUTED
q158_klow_range,alpha158_kbar,positive,1h,1,Q2,9.9e-06,0.00018131,3315990,17807,COMPUTED
q158_klow_range,alpha158_kbar,positive,1h,2,Q3,-3.499e-05,0.00019773,3315990,17807,COMPUTED
q158_klow_range,alpha158_kbar,positive,1h,3,Q4,-5.483e-05,0.00016332,3315990,17807,COMPUTED
q158_klow_range,alpha158_kbar,positive,1h,4,Q5,-4.442e-05,0.00013582,3315990,17807,COMPUTED
q158_klow_range,alpha158_kbar,positive,4h,0,Q1,0.00014895,0.00075814,3315183,17804,COMPUTED
