check_id,check_name,status,evidence,notes
QC-01,all factor IDs exist in registry,PASS,5 factors validated,
QC-02,registry integrity check passed,PASS,exit_code=0,
QC-03,evaluation manifest generated,PASS,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_intake/public_alpha158_batch06_20260627/evaluation_manifest.json,
QC-04,metric panel generated,PASS,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_intake/public_alpha158_batch06_20260627/factor_metric_panel.csv,
QC-05,candidate review generated,PASS,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_intake/public_alpha158_batch06_20260627/factor_candidate_review.csv,
QC-06,no signal panel modification,PASS,run_factor_intake.py does not modify build_phase9b_signal_panel.py,Forbidden by phase rules. This phase does not execute signal panel promotion.
QC-07,no production claim,PASS,all outputs contain diagnostic-only disclaimer,
QC-08,all critical steps succeeded,PASS,all critical steps passed,
