factor_id,family,expected_direction,formula_proxy,required_columns,lookback_window,data_availability,coverage,missing_rate,best_horizon,best_adj_ic,best_adj_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,ic_win_rate,monthly_stability_summary,quantile_monotonicity_summary,rankic_longshort_consistency,redundancy_level,nearest_existing_factors,decision_bucket,recommended_action,caveats
vwap_dev_20h,alpha158_ohlcv,conditional,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)",close|volume,20,EXISTS,3302338,0.004198,4h,-0.02727757,-0.167271,72h,0.00425839,11.2876,0.4944,UNSTABLE (0/25 months positive),NEARLY_MONOTONIC,DIVERGENT,HIGH_REDUNDANCY,"breakout_dist_20h (|ρ|=0.918, HIGH_REDUNDANCY); bb_zscore_20h (|ρ|=0.917, HIGH_REDUNDANCY); mom_10h (|ρ|=0.879, HIGH_REDUNDANCY)",REDUNDANT_WITH_EXISTING,Do not promote. Resolve redundancy first.,Redundancy level: HIGH_REDUNDANCY. Consider dropping one factor.
wvma_20h,alpha158_ohlcv,negative,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility",close|volume,21,EXISTS,3302072,0.004278,72h,0.07627881,0.443653,72h,-0.00518251,-13.3039,0.6932,STABLE (24/25 months positive),NEARLY_MONOTONIC,DIVERGENT,HIGH_REDUNDANCY,"volatility_20h (|ρ|=0.892, HIGH_REDUNDANCY); vol_of_vol_20h (|ρ|=0.847, MODERATE_REDUNDANCY); downside_vol_20h (|ρ|=0.812, MODERATE_REDUNDANCY)",REVIEW_REQUIRED,Do not promote. Investigate direction semantics.,RankIC-longshort divergence. Direction semantics need review.
vol_ret_corr_20h,alpha158_ohlcv,conditional,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation",close|volume,21,EXISTS,3302072,0.004278,24h,-0.03767071,-0.32549,72h,0.00215926,7.1073,0.4227,UNSTABLE (2/25 months positive),NEARLY_MONOTONIC,DIVERGENT,HIGH_REDUNDANCY,"price_volume_corr_20h (|ρ|=0.940, HIGH_REDUNDANCY); mom_20h (|ρ|=0.574, LOW_REDUNDANCY); realized_skew_20h (|ρ|=0.570, LOW_REDUNDANCY)",REDUNDANT_WITH_EXISTING,Do not promote. Resolve redundancy first.,Redundancy level: HIGH_REDUNDANCY. Consider dropping one factor.
intraday_ret,alpha158_ohlcv,conditional,(close - open) / open; 1h bar open-to-close return,open|close,1,EXISTS,3316259,0.0,1h,-0.03655527,-0.230325,72h,0.00139889,3.8874,0.4865,UNSTABLE (0/25 months positive),NEARLY_MONOTONIC,DIVERGENT,HIGH_REDUNDANCY,"candle_body (|ρ|=0.949, HIGH_REDUNDANCY); wq101_alpha101 (|ρ|=0.911, HIGH_REDUNDANCY); mom_5h (|ρ|=0.391, LOW_REDUNDANCY)",REDUNDANT_WITH_EXISTING,Do not promote. Resolve redundancy first.,Redundancy level: HIGH_REDUNDANCY. Consider dropping one factor.
klow_close,alpha158_ohlcv,positive,"(min(open,close) - low) / close; lower wick as fraction of close",open|low|close,1,EXISTS,3316259,0.0,72h,-0.05476646,-0.371644,72h,0.00290741,7.7675,0.4233,UNSTABLE (2/25 months positive),NEARLY_MONOTONIC,DIVERGENT,MODERATE_REDUNDANCY,"candle_wick_lower (|ρ|=0.767, MODERATE_REDUNDANCY); vol_of_vol_20h (|ρ|=0.470, LOW_REDUNDANCY); range_1h (|ρ|=0.470, LOW_REDUNDANCY)",REVIEW_REQUIRED,Do not promote. Investigate direction semantics.,RankIC-longshort divergence. Direction semantics need review.
ksft_5h,alpha158_ohlcv,conditional,"rolling_skewness(ret_1h, 5); short-window return skewness",close,6,EXISTS,3314929,0.000401,24h,-0.00740877,-0.070872,72h,0.00029119,1.0517,0.4791,UNSTABLE (6/25 months positive),NON_MONOTONIC (3 sign changes),DIVERGENT,LOW_REDUNDANCY,"qvol_ma_ratio_5_20 (|ρ|=0.381, LOW_REDUNDANCY); realized_skew_20h (|ρ|=0.279, LOW_REDUNDANCY); qvol_zscore_20h (|ρ|=0.203, LOW_REDUNDANCY)",CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
