factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
vwap_dev_20h,alpha158_ohlcv,conditional,factor_registry,1h,-0.02642235,-0.02642235,-21.8666,17787,185.6,3302338,0.004198,False,DIRECTION_UNKNOWN,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)"
vwap_dev_20h,alpha158_ohlcv,conditional,factor_registry,4h,-0.02727757,-0.02727757,-22.3073,17785,185.6,3302338,0.004198,False,DIRECTION_UNKNOWN,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)"
vwap_dev_20h,alpha158_ohlcv,conditional,factor_registry,24h,-0.01748158,-0.01748158,-14.0224,17765,185.6,3302338,0.004198,False,DIRECTION_UNKNOWN,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)"
vwap_dev_20h,alpha158_ohlcv,conditional,factor_registry,72h,-0.00385486,-0.00385486,-3.2895,17717,185.6,3302338,0.004198,False,DIRECTION_UNKNOWN,"(close - vwap_20h) / vwap_20h; vwap_20h = sum(close*vol,20)/sum(vol,20)"
wvma_20h,alpha158_ohlcv,negative,factor_registry,1h,-0.02999489,0.02999489,-22.4941,17786,185.6,3302072,0.004278,False,COMPUTED,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility"
wvma_20h,alpha158_ohlcv,negative,factor_registry,4h,-0.04432525,0.04432525,-33.4948,17784,185.6,3302072,0.004278,False,COMPUTED,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility"
wvma_20h,alpha158_ohlcv,negative,factor_registry,24h,-0.06852856,0.06852856,-52.8308,17764,185.6,3302072,0.004278,False,COMPUTED,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility"
wvma_20h,alpha158_ohlcv,negative,factor_registry,72h,-0.07627881,0.07627881,-59.0509,17716,185.6,3302072,0.004278,False,COMPUTED,"rolling_std(ret*vol,20) / rolling_mean(vol,20); volume-weighted volatility"
vol_ret_corr_20h,alpha158_ohlcv,conditional,factor_registry,1h,-0.02108158,-0.02108158,-24.7626,17786,185.6,3302072,0.004278,False,DIRECTION_UNKNOWN,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation"
vol_ret_corr_20h,alpha158_ohlcv,conditional,factor_registry,4h,-0.03051721,-0.03051721,-35.0732,17784,185.6,3302072,0.004278,False,DIRECTION_UNKNOWN,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation"
vol_ret_corr_20h,alpha158_ohlcv,conditional,factor_registry,24h,-0.03767071,-0.03767071,-43.3818,17764,185.6,3302072,0.004278,False,DIRECTION_UNKNOWN,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation"
vol_ret_corr_20h,alpha158_ohlcv,conditional,factor_registry,72h,-0.03396542,-0.03396542,-40.2149,17716,185.6,3302072,0.004278,False,DIRECTION_UNKNOWN,"rolling_corr(ret_1h, delta(volume,1), 20); return-volume correlation"
intraday_ret,alpha158_ohlcv,conditional,factor_registry,1h,-0.03655527,-0.03655527,-30.7335,17805,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,(close - open) / open; 1h bar open-to-close return
intraday_ret,alpha158_ohlcv,conditional,factor_registry,4h,-0.02817553,-0.02817553,-23.9429,17803,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,(close - open) / open; 1h bar open-to-close return
intraday_ret,alpha158_ohlcv,conditional,factor_registry,24h,-0.01195088,-0.01195088,-10.3927,17783,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,(close - open) / open; 1h bar open-to-close return
intraday_ret,alpha158_ohlcv,conditional,factor_registry,72h,-0.00454884,-0.00454884,-4.1354,17735,186.2,3316259,0.0,False,DIRECTION_UNKNOWN,(close - open) / open; 1h bar open-to-close return
klow_close,alpha158_ohlcv,positive,factor_registry,1h,-0.02724868,-0.02724868,-23.8876,17805,186.2,3316259,0.0,False,COMPUTED,"(min(open,close) - low) / close; lower wick as fraction of close"
klow_close,alpha158_ohlcv,positive,factor_registry,4h,-0.03244043,-0.03244043,-28.889,17803,186.2,3316259,0.0,False,COMPUTED,"(min(open,close) - low) / close; lower wick as fraction of close"
klow_close,alpha158_ohlcv,positive,factor_registry,24h,-0.0467766,-0.0467766,-41.5457,17783,186.2,3316259,0.0,False,COMPUTED,"(min(open,close) - low) / close; lower wick as fraction of close"
klow_close,alpha158_ohlcv,positive,factor_registry,72h,-0.05476646,-0.05476646,-49.4928,17735,186.2,3316259,0.0,False,COMPUTED,"(min(open,close) - low) / close; lower wick as fraction of close"
