factor_id,family,expected_direction,best_horizon,rankic_mean,rankic_t_stat,ls_mean_1h,ls_mean_72h,ls_sharpe_1h,ls_ann_ret_1h,ls_maxdd_1h,ls_win_1h,profile_score,profile_class,standalone_quality_class,paper_portfolio_class,cost_risk_class,regime_dependency_class,shape_quality_class,decile_shape_class,cluster_member_role,marginal_information_class,direction_status,research_decision,primary_mechanism_zh,formula_notes
rev_2h,reversal,positive,1h,0.03607475,29.8245,7.136e-05,-0.00199394,1.7316,0.00094328,-0.00058708,0.56,49.85,BROAD_WATCHLIST,REVIEW_REQUIRED,PAPER_MIXED,COST_COLLAPSED,REGIME_ROBUST,NO_CLEAR_SHAPE,NONLINEAR_MIXED,DISTINCT_SINGLETON,DISTINCT_SINGLETON,DIRECTION_ALIGNED,LOWER_PRIORITY_REVIEW,短期价格反转信号,-(close/close_2h_ago-1); sign-inverted reversal
mom_vol_adjusted_20h,momentum,positive,4h,-0.02642087,-25.0203,9.532e-05,0.00527704,,,,,44.64,BROAD_WATCHLIST,REVIEW_REQUIRED,PAPER_MIXED,COST_COLLAPSED,REGIME_ROBUST,NO_CLEAR_SHAPE,BOTH_TAILS_U_SHAPED,REDUNDANT_HIGH_QUALITY_ALTERNATIVE,LOW_MARGINAL_INFO,EXPECTED_DIRECTION_CONFLICT,DIRECTION_SEMANTICS_REVIEW_REQUIRED,波动率调整动量,mom_20h/rolling_std(pct_change,20)
range_breakout_vol_confirm_20h,breakout,positive,24h,-0.04057083,-18.8459,0.0001216,0.00068065,,,,,37.53,PROMISING_BUT_REGIME_DEPENDENT,REVIEW_REQUIRED,PAPER_MIXED,COST_COLLAPSED,BTC_BETA_SENSITIVE,NO_CLEAR_SHAPE,NONLINEAR_MIXED,REDUNDANT_HIGH_QUALITY_ALTERNATIVE,LOW_MARGINAL_INFO,EXPECTED_DIRECTION_CONFLICT,DIRECTION_SEMANTICS_REVIEW_REQUIRED,放量突破信号,breakout_dist*zscore(vol,20) when breakout>0
volume_pressure_20h,volume_price,positive,24h,-0.01636181,-16.275,7.201e-05,0.00357792,,,,,47.69,BROAD_WATCHLIST,REVIEW_REQUIRED,PAPER_MIXED,COST_COLLAPSED,VOL_DEPENDENT,WEAK_MONOTONIC,NONLINEAR_MIXED,DISTINCT_SINGLETON,DISTINCT_SINGLETON,EXPECTED_DIRECTION_CONFLICT,DIRECTION_SEMANTICS_REVIEW_REQUIRED,方向性成交量压力,rolling_mean(sign(delta(close))*volume,20)
xs_rank_mom_accel,cross_sectional_normalized,positive,4h,-0.02441933,-21.0051,4.45e-06,0.00102717,,,,,47.99,BROAD_WATCHLIST,REVIEW_REQUIRED,PAPER_REVIEW_REQUIRED,INSUFFICIENT_DATA,REGIME_ROBUST,NO_CLEAR_SHAPE,NONLINEAR_MIXED,DISTINCT_SINGLETON,DISTINCT_SINGLETON,EXPECTED_DIRECTION_CONFLICT,DIRECTION_SEMANTICS_REVIEW_REQUIRED,截面动量加速度,xs_rank(mom_20h-delay(mom_20h,5))
up_down_vol_ratio_20h,alpha158_ohlcv,positive,4h,-0.01977073,-23.0518,7.718e-05,0.0041093,,,,,44.64,PROMISING_BUT_REGIME_DEPENDENT,PROMISING_BUT_INCONSISTENT,PAPER_MIXED,COST_COLLAPSED,BEAR_DEPENDENT,WEAK_MONOTONIC,BOTH_TAILS_U_SHAPED,LOWER_MARGINAL_INFORMATION_MEMBER,LOW_MARGINAL_INFO,EXPECTED_DIRECTION_CONFLICT,DIRECTION_SEMANTICS_REVIEW_REQUIRED,上涨成交量占比,sum(vol*(ret>0),20)/sum(vol,20)
clv_20h,alpha158_ohlc_range,positive,72h,0.0177344,18.4506,-4.575e-05,0.00185694,,,,,51.9,UNIQUE_BUT_WEAK,PROMISING_BUT_INCONSISTENT,PAPER_REVIEW_REQUIRED,INSUFFICIENT_DATA,BEAR_DEPENDENT,NO_CLEAR_SHAPE,NONLINEAR_MIXED,DISTINCT_SINGLETON,DISTINCT_SINGLETON,SHORT_HORIZON_REVERSAL,CANDIDATE_POOL_WATCHLIST,Close Location Value,mean(((close-low)-(high-close))/(high-low+eps),20)
