factor_id,horizon,n_months,rolling_ic_3m_mean_latest,rolling_ic_3m_min,rolling_ic_3m_max,rolling_ls_3m_mean_latest,rolling_ic_6m_mean_latest,rolling_ic_6m_min,rolling_ic_6m_max,rolling_ls_6m_mean_latest,ic_positive_month_rate,ls_positive_month_rate,recent_6m_ic_mean,full_period_ic_mean,recent_vs_full_ic_delta,recent_6m_ls_mean,full_period_ls_mean,recent_vs_full_ls_delta,stability_score,stability_class,main_stability_note_zh,main_stability_note_en
qvol_ma_ratio_20_80,4h,25,0.002659,-0.017566,0.002968,0.00117869,0.001269,-0.015128,0.001269,0.0008084,0.32,0.6,0.001269,-0.006393,0.007662,0.0008084,0.00010685,0.00070156,71.6,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
qvol_ma_ratio_20_80,72h,25,-0.008878,-0.026306,0.009184,0.00693618,0.000153,-0.013918,0.002942,0.00471754,0.44,0.48,0.000153,-0.005476,0.005629,0.00471754,0.00106785,0.00364969,72.8,REGIME_OR_PERIOD_DEPENDENT,因子表现依赖市场环境，建议结合市场状态使用,Factor performance is regime-dependent — use with market state overlay
qvol_ma_ratio_5_20,1h,25,-0.002937,-0.011028,0.000333,0.00014038,-0.003319,-0.009701,-0.003319,0.00013448,0.16,0.64,-0.003319,-0.005279,0.00196,0.00013448,7.077e-05,6.372e-05,67.6,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
qvol_ma_ratio_5_20,24h,25,0.003607,-0.019445,0.014438,0.00332882,0.001973,-0.012764,0.004328,0.00171928,0.32,0.48,0.001973,-0.004585,0.006558,0.00171928,0.00020347,0.00151581,69.2,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
qvol_ma_ratio_5_20,4h,25,-0.00602,-0.012722,0.003592,0.00035587,-0.00566,-0.009819,-0.000433,0.00037109,0.32,0.68,-0.00566,-0.004459,-0.001201,0.00037109,0.00023414,0.00013694,72.6,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
qvol_ma_ratio_5_20,72h,25,0.004956,-0.013943,0.007037,0.00308978,0.003488,-0.00851,0.003823,0.00187634,0.48,0.48,0.003488,-0.002009,0.005497,0.00187634,0.00085842,0.00101792,74.0,REGIME_OR_PERIOD_DEPENDENT,因子表现依赖市场环境，建议结合市场状态使用,Factor performance is regime-dependent — use with market state overlay
qvol_zscore_20h,1h,25,-0.007056,-0.014518,0.000877,0.00010634,-0.004439,-0.012608,-0.004439,0.00016229,0.12,0.64,-0.004439,-0.006947,0.002508,0.00016229,7.691e-05,8.538e-05,66.4,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
qvol_zscore_20h,24h,25,-0.000986,-0.011944,0.009172,0.00253092,-0.002404,-0.006674,0.003989,0.00158685,0.36,0.68,-0.002404,-0.001819,-0.000585,0.00158685,0.0005184,0.00106846,74.1,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
qvol_zscore_20h,4h,25,-0.008073,-0.014018,-0.003702,0.00021785,-0.007214,-0.010942,-0.0063,0.00041967,0.08,0.56,-0.007214,-0.007877,0.000663,0.00041967,0.00016906,0.0002506,63.6,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
qvol_zscore_20h,72h,25,0.000139,-0.006603,0.004907,0.00379569,-6e-06,-0.003388,0.003591,0.00217985,0.52,0.56,-6e-06,0.000137,-0.000143,0.00217985,0.00119641,0.00098343,76.7,STABLE_WEAK,因子表现基本稳定但信号偏弱，可作为辅助因子,Factor is stable but weak — consider as auxiliary signal
