factor_id,regime_dependency_class,main_regime_note_zh,main_regime_note_en,paper_return_btc_corr,paper_return_btc_beta,long_short_btc_corr,long_short_btc_beta,ic_btc_return_corr,bull_minus_bear_paper_return,highvol_minus_lowvol_paper_return,drawdown_minus_normal_paper_return
q158_vsumd_20h,REGIME_ROBUST,跨市场稳健,Regime-robust,0.09449167468327224,0.07581135481150207,0.12731412764367855,0.0030411567241669527,0.06203947060104312,-0.012020344766312141,-0.022877824497549437,0.07475777976621073
q158_vsumn_20h,VOL_DEPENDENT,波动率依赖,Volatility-dependent,-0.3056712048299367,-0.22372954791013402,-0.13061346553419592,-0.00302758401873978,-0.03734228463799894,-0.040267383129263534,0.05378472363464204,-0.0009073965697511954
q158_vsump_20h,REGIME_ROBUST,跨市场稳健,Regime-robust,0.11082115022202833,0.08807066205607275,0.11607008768909993,0.003043313442488341,0.08325143619246383,-0.008239572133899586,-0.025142680528881356,0.07607011618280346
q158_wvma_20h,REGIME_ROBUST,跨市场稳健,Regime-robust,0.05715033962958396,0.04408649367597202,0.29547460184782426,0.007970323204900128,-0.4082147207164019,0.03233457248329791,-0.023330251240681166,0.047394444479248954
qvol_ma_ratio_20_80,BULL_DEPENDENT,牛市依赖,Bull-dependent,0.2175365272288889,0.23163169368981684,0.15827231547819554,0.006235665640131047,0.20166850212687526,0.05848237257944927,-0.08479190977292983,0.04652375449013482
qvol_ma_ratio_5_20,VOL_DEPENDENT,波动率依赖,Volatility-dependent,0.23829634814738274,0.2527854179602762,0.19603713502732564,0.0046357715254172,0.1161039931371807,0.04477320242095065,-0.09675431412588759,0.028463738935395957
qvol_zscore_20h,REGIME_ROBUST,跨市场稳健,Regime-robust,-0.053989052226205016,-0.04265652873159887,0.09300981818850852,0.0018821060279983093,0.04226228284703266,-0.03517864164316209,-0.010117544618339969,0.06218693670421904
qvol_zscore_48h,REGIME_ROBUST,跨市场稳健,Regime-robust,0.10817110925965101,0.09573609339387606,0.14175232633113846,0.004421509289803885,0.05586909801865607,0.015799194104949343,-0.007997825605821351,0.06756904741684688
range_1h,BULL_DEPENDENT,牛市依赖,Bull-dependent,0.12212898110131185,0.17709873720674724,0.07832842843901304,0.006164855641325138,0.08852995056487806,0.08461092667300615,-0.14102600077935537,0.10108449736849401
range_24h,BULL_DEPENDENT,牛市依赖,Bull-dependent,0.1733154184044695,0.2862215251059658,0.08080426113928897,0.006705603701901507,0.11919181415650194,0.13087211526715214,-0.17951533323629393,0.08106399203090683
range_4h,VOL_DEPENDENT,波动率依赖,Volatility-dependent,0.06486042700095901,0.09542660099237985,0.07522747803432579,0.006044658061966536,0.08452551278112977,0.04622007459125334,-0.1400398287685954,0.06858658479806988
range_breakout_vol_confirm_20h,BTC_BETA_SENSITIVE,BTC高Beta敏感,High BTC beta sensitivity,-0.277319807306009,-0.7593119465392977,0.15518788714347198,0.00849636962020235,0.22811933374986307,-0.083146127422384,0.04541932076622583,-0.0887690304978336
realized_kurt_20h,VOL_DEPENDENT,波动率依赖,Volatility-dependent,0.16076453481756453,0.10943062807397301,-0.2005580062719488,-0.00565601244854591,-0.3263316260032429,0.04977377426420494,-0.06147470959976277,0.019323617048180905
