,a101_vol_xs_z_product_112h,a101_volume_cap_alpha_min_56_84,a101_volume_cap_alpha_min_80_80,a101_volume_high_alpha_min_84_84,a101_volume_low_alpha_min_84_120,a101_volume_xs_z_mean_neg_112h,amihud_illiquidity_20h,bb_zscore_20h,breakout_dist_20h,breakout_dist_48h,candle_body,candle_wick_lower,candle_wick_upper,clv_20h,downside_vol_20h,ema_12_26_gap,funding_rate_change_24h,funding_rate_level_20h,funding_rate_zscore_80h,intraday_ret,klow_close,ksft_5h,ma_gap_10_40,ma_gap_20_80,ma_gap_5_20,mom_10h,mom_120h,mom_20h,mom_40h,mom_5h,mom_72h,mom_accel_20h,mom_vol_adjusted_20h,price_pos_120h,price_pos_24h,price_pos_72h,price_volume_corr_20h,q158_beta_20h,q158_close_close_4h,q158_cntd_20h,q158_cntn_20h,q158_cntp_20h,q158_cord_20h,q158_corr_20h,q158_high_close_0h,q158_high_close_1h,q158_high_close_2h,q158_high_close_3h,q158_high_close_4h,q158_high_low_range,q158_imax_20h,q158_imin_20h,q158_imxd_20h,q158_klen_open,q158_klow_open,q158_klow_range,q158_kmid_open,q158_kmid_range,q158_ksft_open,q158_ksft_range,q158_kup_open,q158_kup_range,q158_low_close_0h,q158_low_close_1h,q158_low_close_2h,q158_low_close_3h,q158_low_close_4h,q158_ma_10h,q158_ma_20h,q158_ma_30h,q158_ma_5h,q158_ma_60h,q158_max_10h,q158_max_20h,q158_max_30h,q158_max_5h,q158_max_60h,q158_min_10h,q158_min_20h,q158_min_30h,q158_min_5h,q158_min_60h,q158_open_close_0h,q158_open_close_1h,q158_open_close_2h,q158_open_close_3h,q158_open_close_4h,q158_qtld_20h,q158_qtld_30h,q158_qtlu_20h,q158_qtlu_30h,q158_rank_close_20h,q158_rank_close_30h,q158_resi_20h,q158_roc_20h,q158_rsqr_20h,q158_rsv_20h,q158_rsv_30h,q158_std_10h,q158_std_20h,q158_std_30h,q158_std_5h,q158_std_60h,q158_sumd_20h,q158_sumn_20h,q158_sump_20h,q158_vma_20h,q158_volume_ratio_1h,q158_volume_ratio_2h,q158_volume_ratio_3h,q158_volume_ratio_4h,q158_vstd_20h,q158_vsumd_20h,q158_vsumn_20h,q158_vsump_20h,q158_wvma_20h,qvol_ma_ratio_20_80,qvol_ma_ratio_5_20,qvol_zscore_20h,qvol_zscore_48h,range_1h,range_24h,range_4h,range_breakout_vol_confirm_20h,realized_kurt_20h,realized_skew_20h,rev_10h,rev_1h,rev_24h,rev_2h,rev_3h,rev_72h,reversal_5h,rsi_14h,rsi_28h,rsi_7h,taker_buy_delta_5h,taker_buy_ratio_20h,taker_buy_zscore_20h,tech_atr,tech_macd,trend_efficiency_24h,up_down_vol_ratio_20h,vol_40h,vol_5h,vol_of_vol_20h,vol_ratio_20_80,vol_ratio_5_20,vol_ret_corr_20h,vol_zscore_20h,vol_zscore_48h,volatility_20h,volume_pressure_20h,vwap_dev_20h,williams_r_14h,wq101_alpha101,wq101_alpha12,wq101_alpha53,wvma_20h,xs_rank_mom_accel,xs_rank_ret_1h,xs_rank_vol
a101_vol_xs_z_product_112h,1.0,,,,,0.845181,,,,,,,,,,,,,,,,,-0.110449,,,,,,-0.098175,,,0.012413,,,-0.009592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13483,,,,,0.191631,,,,,-0.141245,,,,,,,,,0.070489,,0.142926,,-0.054566,,,,,-0.018629,,,0.168039,,,,,,,,,,,,,,,,,,,,,0.224318,,,,,,,0.141482,,,,,,-0.079148,,,,,,,0.046913,,0.191064,,0.158684,,,,,,,,,,,,,,0.019479,,
candle_body,,,-0.016675,0.007493,,,0.004372,0.382546,0.372181,,1.0,-0.075596,0.113796,0.167425,-0.055757,0.050907,,0.009243,0.002025,0.952965,-0.085669,-0.03415,,0.001336,0.059078,0.256249,,0.173262,,0.358098,0.083537,,0.187714,,,0.207168,0.043702,0.049544,-0.401778,0.185672,-0.178394,0.17804,0.043947,0.040767,-0.624554,-0.739579,-0.533133,-0.437674,-0.381413,0.000415,-0.058247,0.0584,-0.058687,0.013526,-0.077061,-0.075452,0.952965,0.999975,0.802999,0.816447,0.125465,0.113729,-0.635272,-0.750139,-0.542162,-0.435558,-0.37752,-0.439536,-0.306852,,-0.629879,,-0.37651,-0.281594,,-0.480755,,-0.394214,-0.300248,,-0.505875,,-0.952965,-0.610271,-0.476646,-0.401902,-0.358077,-0.329041,,-0.316659,,0.424527,,0.456504,-0.173261,0.002151,0.372194,,-0.002952,-0.005855,,0.00188,,0.186834,-0.186833,0.186834,0.013669,0.039264,0.029157,0.00893,0.001572,0.013668,0.001364,-0.001364,0.001364,0.007154,0.009373,0.012722,-0.008109,,0.000415,,0.00382,0.260484,0.004798,0.018903,-0.256249,-0.947612,,-0.609624,-0.476226,-0.083537,-0.358098,0.31254,,0.438305,0.363281,0.076198,0.527824,-0.005047,0.121923,,0.144989,,0.016512,,0.006527,0.018308,0.048436,-0.013269,,0.004067,0.11304,0.325413,-0.433131,0.87077,-0.040896,-0.47995,0.003531,,0.594323,0.001201
candle_wick_lower,,,0.005155,-0.009548,,,-0.010321,-0.076912,-0.044665,,-0.075596,1.0,-0.201965,0.103449,-0.031971,-0.017394,,-0.014944,0.006302,-0.085278,0.792435,-0.015983,,0.007494,-0.040524,-0.063669,,-0.042112,,-0.080204,-0.012834,,-0.045613,,,-0.035475,-0.028422,-0.031126,0.06985,-0.032376,0.034711,-0.031315,-0.027992,-0.021034,-0.291496,0.095979,0.078439,0.064752,0.069296,-0.139032,0.062667,-0.043552,0.057906,-0.140118,0.792353,0.999943,-0.085278,-0.075482,0.305663,0.372067,-0.241336,-0.201878,-0.267587,0.061539,0.06887,0.069315,0.074951,0.079653,0.068975,,0.086256,,0.026974,0.034363,,-0.000883,,0.021212,0.037892,,-0.011841,,0.085279,0.08828,0.072399,0.069854,0.079938,0.071877,,0.067588,,-0.080053,,-0.070159,0.042112,0.024756,-0.044569,,-0.054474,-0.021207,,-0.133442,,-0.046021,0.046019,-0.046016,0.057351,0.073145,0.06182,0.052176,0.052151,0.047395,-0.05386,0.05386,-0.05386,-0.004181,-0.009678,-0.019148,-0.064442,,-0.139032,,-0.07161,-0.205338,0.019755,-0.024807,0.063669,0.081216,,0.088809,0.072915,0.012834,0.080204,-0.064767,,-0.08557,-0.062161,-0.027508,-0.075495,-0.006616,-0.055508,,-0.035223,,-0.145358,,-0.049249,-0.139388,-0.027617,-0.060534,,-0.059068,-0.023902,-0.070655,0.044005,-0.080396,0.045219,-0.200518,-0.055252,,-0.051274,-0.00273
candle_wick_upper,,,0.028401,0.018281,,,-0.031244,0.090398,0.055291,,0.113796,-0.201965,1.0,-0.09523,-0.010238,0.030105,,-0.008617,0.013108,0.118007,-0.223541,0.005103,,0.009109,0.039984,0.06712,,0.04862,,0.091224,0.022991,,0.049339,,,0.045355,0.031368,0.032127,-0.089011,0.035901,-0.035042,0.036905,0.032811,0.038347,0.265448,-0.064051,-0.078368,-0.075329,-0.075024,-0.104521,-0.035856,0.079488,-0.06161,-0.103174,-0.222472,-0.201903,0.118007,0.11369,-0.281451,-0.343378,0.810132,0.999943,0.259167,-0.136434,-0.113881,-0.100689,-0.094495,-0.094872,-0.076844,,-0.109552,,-0.003794,-0.013968,,0.021253,,-0.057213,-0.072837,,-0.033108,,-0.118007,-0.105867,-0.094973,-0.088682,-0.091117,-0.092098,,-0.066839,,0.094066,,0.085289,-0.04862,0.013403,0.055329,,-0.01614,0.022774,,-0.093722,,0.048773,-0.048769,0.048776,0.086478,0.103053,0.08322,0.075417,0.068895,0.066911,-0.062507,0.062507,-0.062507,0.003257,0.001903,-0.023461,-0.086343,,-0.104521,,-0.027808,-0.042726,0.027502,0.022563,-0.06712,-0.113844,,-0.10571,-0.095139,-0.022991,-0.091224,0.072576,,0.090078,0.077285,0.033178,0.107371,0.015773,0.047596,,0.049497,,-0.090546,,-0.038627,-0.13894,0.034113,-0.090879,,0.00958,0.033219,0.077053,-0.050816,0.105382,-0.083447,0.164267,-0.001044,,0.049965,0.003907
clv_20h,,,-0.007648,-0.049777,,,-0.003066,0.472872,0.537462,,0.167425,0.103449,-0.09523,1.0,-0.202258,0.461947,,0.093438,0.138136,0.160217,0.073962,-0.012542,,0.185895,0.490925,0.415466,,0.555403,,0.303495,0.238354,,0.579898,,,0.415306,0.25534,0.508565,-0.276337,0.569332,-0.544876,0.548247,0.262603,0.190326,-0.181726,-0.218833,-0.252487,-0.283824,-0.311679,-0.024819,-0.42756,0.428291,-0.496801,-0.022639,0.075527,0.103563,0.160217,0.16744,0.206089,0.225551,-0.085457,-0.095301,-0.161187,-0.200824,-0.239763,-0.271939,-0.298671,-0.364779,-0.497448,,-0.262359,,-0.33281,-0.455359,,-0.254124,,-0.296339,-0.393039,,-0.227126,,-0.160216,-0.208967,-0.245963,-0.277606,-0.304625,-0.455877,,-0.485244,,0.469678,,0.028608,-0.555403,-0.037535,0.537419,,-0.054905,-0.092131,,-0.029442,,0.573479,-0.573481,0.573475,-0.047452,-0.003988,-0.00365,-0.010769,-0.019936,-0.023605,0.057418,-0.057418,0.057418,0.012619,0.074664,0.077975,0.069907,,-0.024819,,-0.030853,0.027564,0.017271,0.029294,-0.415466,-0.157473,,-0.206917,-0.244299,-0.238354,-0.303495,0.517381,,0.477094,0.010203,0.139526,0.014575,-0.038146,0.307687,,0.473397,,-0.017694,,0.053701,0.032137,0.240732,0.050609,,-0.051731,0.386453,0.4838,-0.462615,0.144723,-0.054555,-0.013787,-0.037828,,0.097216,0.02665
downside_vol_20h,,,-0.131367,-0.00216,,,-0.081331,-0.246263,-0.270364,,-0.055757,-0.031971,-0.010238,-0.202258,1.0,-0.308154,,-0.108959,-0.183303,-0.067146,0.281771,-0.09089,,-0.148275,-0.298944,-0.25035,,-0.344417,,-0.184995,-0.158246,,-0.311397,,,-0.257951,-0.264602,-0.306969,0.162265,-0.13374,0.143193,-0.111798,-0.280985,-0.143895,0.361949,0.276436,0.273134,0.282681,0.293839,0.539286,0.240783,-0.201324,0.24564,0.53848,0.281137,-0.032233,-0.067146,-0.055754,-0.06467,-0.057515,0.278011,-0.010447,-0.271966,-0.111363,-0.037465,0.008613,0.044681,0.223004,0.303759,,0.143064,,0.559787,0.67376,,0.470927,,-0.270625,-0.229354,,-0.281661,,0.067145,0.10246,0.136323,0.162444,0.185074,0.120109,,0.438225,,-0.233577,,-0.016965,0.344417,0.016573,-0.270123,,0.617571,0.696529,,0.530486,,-0.324914,0.324914,-0.324913,0.09982,0.032509,0.040436,0.043688,0.04545,0.18312,0.037649,-0.037649,0.037649,0.249128,0.30025,-0.079899,-0.058902,,0.539286,,0.602825,-0.120782,0.20473,-0.335644,0.25035,0.067263,,0.102191,0.136079,0.158246,0.184995,-0.29859,,-0.255041,0.004421,0.006655,0.001851,0.233441,-0.156329,,-0.204548,,0.599235,,0.439011,-0.059226,-0.287571,-0.048542,,0.869535,-0.193965,-0.303952,0.214425,-0.049311,0.046741,0.008341,0.782796,,-0.053714,0.063491
ema_12_26_gap,,,0.029588,-0.011627,,,-0.030335,0.61703,0.617822,,0.050907,-0.017394,0.030105,0.461947,-0.308154,1.0,,0.138943,0.160891,0.05533,0.007039,0.080814,,0.674491,0.795197,0.577324,,0.8567,,0.308276,0.640949,,0.830253,,,0.830708,0.608314,0.85062,-0.240005,0.592467,-0.571481,0.568264,0.617429,0.484882,0.000414,-0.059145,-0.123864,-0.188915,-0.256047,0.02751,-0.626611,0.625626,-0.721806,0.028112,0.007722,-0.017422,0.05533,0.050867,0.026064,0.028065,0.050275,0.029894,-0.043726,-0.079744,-0.135963,-0.197603,-0.263413,-0.404181,-0.711301,,-0.184505,,-0.260238,-0.517882,,-0.096587,,-0.251718,-0.469301,,-0.110499,,-0.05533,-0.112922,-0.17464,-0.239682,-0.308143,-0.643001,,-0.662135,,0.591435,,-0.140519,-0.8567,-0.077704,0.617686,,-0.012078,-0.071644,,0.011357,,0.833721,-0.833718,0.83372,-0.074131,-0.006567,-0.010664,-0.016354,-0.021205,-0.072642,0.066151,-0.066151,0.066151,-0.01676,0.140861,0.103126,0.08877,,0.02751,,0.010963,0.113113,0.027287,0.382994,-0.577324,-0.055237,,-0.112909,-0.17486,-0.640949,-0.308276,0.837205,,0.608569,-0.043869,0.214042,-0.054924,0.000774,0.261546,,0.677425,,0.023143,,0.049098,0.01546,0.596443,0.060111,,0.007542,0.574187,0.643057,-0.460951,0.046478,-0.065374,0.062108,-0.014051,,0.022457,0.033448
funding_rate_change_24h,,,,,,,,,,,,,,,,,1.0,,,,,,0.10108,,,,,,0.05381,,,-0.004451,,,0.097127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.106499,,,,,-0.129349,,,,,-0.042608,,,,,,,,,-0.071798,,-0.126336,,0.096409,,,,,0.10576,,,-0.113415,,,,,,,,,,,,,,,,,,,,,-0.098217,,,,,,,-0.118082,,,,,,0.117029,,,,,,,-0.107565,,0.038653,,-0.012876,,,,,,,,,,,,,,0.000338,,
funding_rate_level_20h,,,-0.023466,-0.108006,,,0.06381,0.040844,0.095152,,0.009243,-0.014944,-0.008617,0.093438,-0.108959,0.138943,,1.0,0.107606,0.010703,-0.049592,-0.008304,,0.161228,0.086736,0.059797,,0.086802,,0.022378,0.15658,,0.089913,,,0.1945,-0.085245,0.086484,-0.014143,0.077656,-0.077568,0.07646,-0.080797,-0.052432,-0.047698,-0.03182,-0.028776,-0.027357,-0.033415,-0.054587,-0.104117,0.012589,-0.06223,-0.054379,-0.049523,-0.014727,0.010703,0.009219,0.009671,0.007479,-0.028382,-0.008439,0.035086,0.01108,0.009048,0.007533,0.000701,-0.038786,-0.079939,,-0.013368,,-0.092251,-0.168648,,-0.055036,,0.029636,0.0154,,0.035013,,-0.010703,-0.012329,-0.0095,-0.013823,-0.021557,-0.022933,,-0.10117,,0.041363,,-0.040804,-0.086802,0.011795,0.095008,,-0.081341,-0.116169,,-0.045663,,0.090512,-0.090515,0.090506,-0.112562,-0.019349,-0.029998,-0.036924,-0.038831,-0.182874,0.040154,-0.040154,0.040154,-0.112427,-0.008956,0.110782,0.06772,,-0.054587,,-0.070475,-0.016616,-0.067694,-0.041877,-0.059797,-0.010968,,-0.01217,-0.009691,-0.15658,-0.022378,0.110472,,0.066964,-0.003343,-0.215852,0.001984,-0.531737,0.015338,,0.053305,,-0.035449,,-0.041485,0.075406,-0.087555,0.065325,,-0.111661,-0.046783,0.115126,-0.068363,0.033597,0.019684,0.007381,-0.132579,,0.014624,0.538886
funding_rate_zscore_80h,,,-0.019317,0.045681,,,0.041579,0.134281,0.164345,,0.002025,0.006302,0.013108,0.138136,-0.183303,0.160891,,0.107606,1.0,0.002665,-0.069651,0.014995,,0.062429,0.183236,0.122501,,0.184123,,0.06609,0.066738,,0.196315,,,0.161353,0.086249,0.187183,-0.046097,0.136859,-0.14146,0.132782,0.091404,0.0392,-0.07885,-0.050661,-0.057059,-0.068172,-0.083937,-0.122814,-0.148505,0.138641,-0.169449,-0.122772,-0.069773,0.006339,0.002665,0.002026,0.000306,-0.001042,-0.059545,0.01314,0.077632,0.050863,0.031515,0.001524,-0.023566,-0.083332,-0.161899,,-0.032939,,-0.184968,-0.241615,,-0.124773,,0.043268,-0.033353,,0.06592,,-0.002665,-0.005451,-0.026649,-0.045481,-0.065022,-0.109784,,-0.177893,,0.12802,,-0.051632,-0.184123,-0.060894,0.164329,,-0.181007,-0.183667,,-0.118128,,0.194945,-0.194944,0.194948,0.029045,-0.024677,-0.032675,-0.029595,-0.013594,-0.036323,-0.089456,0.089456,-0.089456,-0.122998,-0.197594,-0.072621,-0.045415,,-0.122814,,-0.135904,-0.027002,-0.054336,0.048432,-0.122501,-0.003273,,-0.005369,-0.027218,-0.066738,-0.06609,0.173504,,0.133736,0.005318,0.024588,-0.008032,-0.043433,0.09019,,0.138121,,-0.128586,,-0.158779,-0.041426,0.089315,-0.052235,,-0.1336,0.151105,0.174798,-0.121008,-0.003479,-0.007261,0.022837,-0.158174,,-0.007082,-0.050351
intraday_ret,,,-0.016131,0.004325,,,0.002771,0.389407,0.375486,,0.952965,-0.085278,0.118007,0.160217,-0.067146,0.05533,,0.010703,0.002665,1.0,-0.10181,-0.023585,,0.002652,0.064497,0.26977,,0.184229,,0.37734,0.089217,,0.194357,,,0.213666,0.056528,0.053927,-0.424112,0.191471,-0.183127,0.184215,0.057362,0.051435,-0.610168,-0.775257,-0.561533,-0.462408,-0.402917,-0.009672,-0.066497,0.069622,-0.069214,0.003573,-0.092493,-0.085121,1.0,0.952869,0.815068,0.768671,0.128216,0.117906,-0.606292,-0.777623,-0.565323,-0.456358,-0.397145,-0.459874,-0.321505,,-0.656997,,-0.389732,-0.296751,,-0.487898,,-0.397241,-0.306351,,-0.501039,,-1.0,-0.638536,-0.500762,-0.42418,-0.377275,-0.342774,,-0.332735,,0.430045,,0.481248,-0.184229,0.003049,0.375518,,-0.010966,-0.010486,,-0.006717,,0.193763,-0.193762,0.193765,0.018075,0.038164,0.031391,0.010122,0.003113,0.017171,-0.002789,0.002789,-0.002789,0.005099,0.005581,0.007857,-0.011528,,-0.009672,,-0.005579,0.417346,0.00399,0.026961,-0.26977,-0.994932,,-0.637925,-0.500335,-0.089217,-0.37734,0.318224,,0.443843,0.350675,0.076045,0.520635,-0.003653,0.129775,,0.164842,,0.010029,,0.001209,0.014554,0.063327,-0.016933,,-0.00136,0.130205,0.342171,-0.433307,0.884907,-0.086795,-0.476618,-0.001825,,0.636908,-0.000117
klow_close,,,-0.087627,-0.032256,,,-0.039206,-0.063863,-0.04515,,-0.085669,0.792435,-0.223541,0.073962,0.281771,0.007039,,-0.049592,-0.069651,-0.10181,1.0,-0.012334,,0.02589,-0.015984,-0.054297,,-0.019395,,-0.081843,0.016617,,-0.011845,,,-0.022907,0.006422,-0.003086,0.077553,-0.008084,0.011979,-0.005963,0.001494,0.021972,0.095227,0.230378,0.175553,0.144226,0.134252,0.42614,-0.013442,-0.067335,0.026089,0.424808,0.999925,0.792266,-0.10181,-0.085564,0.220755,0.289211,0.040857,-0.223642,-0.55392,-0.040515,-0.001856,0.010947,0.021832,0.083087,0.058266,,0.097648,,0.258221,0.229916,,0.268983,,-0.182245,-0.153722,,-0.237862,,0.10181,0.0976,0.083139,0.077581,0.081547,0.006136,,0.112946,,-0.06536,,-0.087048,0.019395,0.051864,-0.045115,,0.288117,0.282439,,0.260266,,-0.013698,0.013694,-0.013697,-0.224355,-0.087555,-0.119239,-0.141833,-0.150242,-0.16644,0.174705,-0.174705,0.174705,0.037662,0.108668,0.158394,0.217191,,0.42614,,0.370016,0.102963,0.043308,-0.010923,0.054297,0.098135,,0.098058,0.083534,-0.016617,0.081843,-0.041142,,-0.068777,-0.076143,0.023205,-0.093682,0.105342,-0.035326,,-0.003763,,0.243209,,0.081393,0.021727,-0.00395,0.221266,,0.303106,-0.003899,-0.07311,0.050771,-0.085748,0.057829,-0.148387,0.243559,,-0.042561,0.034392
ksft_5h,,,-0.052985,-0.032977,,,0.006352,0.138487,0.119441,,-0.03415,-0.015983,0.005103,-0.012542,-0.09089,0.080814,,-0.008304,0.014995,-0.023585,-0.012334,1.0,,0.004579,0.111969,0.131653,,0.110685,,0.157234,0.032615,,0.108046,,,0.086195,0.148327,0.087954,-0.124975,-0.064864,0.062121,-0.065926,0.14971,0.071527,0.028749,-0.012992,-0.068918,-0.106077,-0.135682,0.015714,-0.084859,0.077052,-0.093758,0.015403,-0.011773,-0.015968,-0.023585,-0.034269,-0.012051,-0.034679,0.019198,0.005002,0.016004,-0.022617,-0.070901,-0.108232,-0.138066,-0.145282,-0.137065,,-0.095337,,-0.095858,-0.09802,,-0.066396,,-0.085515,-0.09313,,-0.05905,,0.023585,-0.052815,-0.094525,-0.12477,-0.157349,-0.132928,,-0.133562,,0.12217,,0.099592,-0.110685,-0.010928,0.11945,,0.007369,0.004733,,0.008361,,0.116139,-0.116138,0.116143,-0.020198,-0.00518,-0.005606,-0.003926,-0.001876,-0.02379,0.02049,-0.02049,0.02049,-0.01548,0.008735,0.013177,0.020385,,0.015714,,0.003856,0.090312,0.006994,0.263992,-0.131653,0.023675,,-0.053318,-0.094699,-0.032615,-0.157234,0.135506,,0.151628,-0.007642,0.038443,-0.008632,0.002089,0.105197,,0.01369,,0.021929,,0.010782,0.015232,0.145155,0.016322,,0.020164,0.01739,0.132887,-0.120439,-0.054667,-0.080965,0.007716,0.00641,,-0.004643,-0.000803
ma_gap_10_40,-0.110449,,,,,-0.07183,,,,,,,,,,,0.10108,,,,,,1.0,,,,,,0.840581,,,-0.125532,,,0.569487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.779727,,,,,-0.575863,,,,,-0.51669,,,,,,,,,-0.697791,,-0.722963,,0.646436,,,,,0.684411,,,-0.098346,,,,,,,,,,,,,,,,,,,,,-0.075324,,,,,,,-0.870587,,,,,,0.824274,,,,,,,-0.074368,,0.015482,,0.053463,,,,,,,,,,,,,,-0.083152,,
ma_gap_20_80,,,0.007826,-0.092641,,,-0.04593,0.15811,0.135312,,0.001336,0.007494,0.009109,0.185895,-0.148275,0.674491,,0.161228,0.062429,0.002652,0.02589,0.004579,,1.0,0.263107,0.131297,,0.384662,,0.03774,0.87332,,0.36393,,,0.719931,0.370166,0.335166,-0.020871,0.258942,-0.254471,0.249146,0.369599,0.407559,0.018296,0.011825,0.005773,-0.002686,-0.017225,0.0197,-0.254468,0.231858,-0.269482,0.019636,0.025994,0.007458,0.002652,0.001324,-0.007569,-0.000154,0.023214,0.008922,-0.016799,-0.007678,-0.009527,-0.015701,-0.028988,-0.062644,-0.216401,,-0.009696,,0.005003,-0.12429,,0.036367,,0.002933,-0.083979,,0.017111,,-0.002652,-0.004051,-0.009028,-0.020736,-0.037766,-0.181607,,-0.192233,,0.14823,,-0.172954,-0.384662,-0.044709,0.135194,,0.000252,-0.033486,,0.008755,,0.367976,-0.367973,0.367974,-0.030042,0.000107,0.001199,0.001395,0.001098,-0.049067,0.030788,-0.030788,0.030788,-0.029794,0.162211,0.039949,0.02465,,0.0197,,0.011497,0.154913,0.010219,0.211522,-0.131297,-0.002536,,-0.003889,-0.009136,-0.87332,-0.03774,0.434621,,0.18524,-0.011413,0.083737,-0.032493,0.015209,-0.209846,,0.317607,,0.006427,,0.035613,0.002036,0.358395,0.015324,,-0.002495,0.26671,0.146615,-0.04346,0.005226,-0.014388,0.024757,-0.021609,,-0.009687,0.027247
ma_gap_5_20,,,-0.041056,0.016765,,,-0.006452,0.805877,0.799959,,0.059078,-0.040524,0.039984,0.490925,-0.298944,0.795197,,0.086736,0.183236,0.064497,-0.015984,0.111969,,0.263107,1.0,0.819907,,0.845635,,0.47973,0.384873,,0.829324,,,0.645374,0.531128,0.932555,-0.348902,0.605277,-0.581481,0.580881,0.544307,0.365197,0.002972,-0.077469,-0.170969,-0.275563,-0.396124,0.026279,-0.65339,0.677192,-0.787079,0.026995,-0.015227,-0.040491,0.064497,0.059036,0.025112,0.023403,0.057073,0.039862,-0.038735,-0.091923,-0.174964,-0.276217,-0.396296,-0.603918,-0.898433,,-0.25538,,-0.432541,-0.660197,,-0.172001,,-0.414837,-0.619903,,-0.178413,,-0.064497,-0.14377,-0.238239,-0.348717,-0.479385,-0.825881,,-0.843404,,0.777482,,0.026902,-0.845635,-0.088323,0.799845,,-0.023753,-0.081828,,0.010189,,0.830868,-0.830865,0.83087,-0.083138,-0.014442,-0.022438,-0.031539,-0.037714,-0.065309,0.069487,-0.069487,0.069487,-0.008696,0.073024,0.107855,0.107121,,0.026279,,0.007239,0.015481,0.021254,0.334727,-0.819907,-0.064386,,-0.143774,-0.238366,-0.384873,-0.47973,0.841024,,0.758577,-0.080342,0.22942,-0.060403,-0.007819,0.634793,,0.660265,,0.025774,,0.032099,0.02788,0.519628,0.072264,,0.007232,0.55575,0.859909,-0.697575,0.051039,-0.085217,0.083487,-0.010115,,0.032539,0.022084
mom_10h,,,-0.087152,0.005924,,,-0.004687,0.864102,0.807726,,0.256249,-0.063669,0.06712,0.415466,-0.25035,0.577324,,0.059797,0.122501,0.26977,-0.054297,0.131653,,0.131297,0.819907,1.0,,0.672192,,0.6631,0.30545,,0.668746,,,0.572278,0.401571,0.664257,-0.580424,0.500672,-0.479647,0.481408,0.412123,0.324064,-0.131182,-0.307048,-0.425611,-0.520836,-0.605936,0.009828,-0.478365,0.519415,-0.593338,0.013274,-0.051434,-0.063599,0.26977,0.256182,0.196919,0.180298,0.078297,0.066996,-0.153495,-0.315222,-0.426966,-0.519967,-0.604504,-0.818985,-0.898134,,-0.52855,,-0.621838,-0.652892,,-0.381146,,-0.597657,-0.635587,,-0.377978,,-0.26977,-0.395714,-0.494065,-0.580099,-0.662744,-0.853803,,-0.854423,,0.847632,,0.424427,-0.672192,-0.052994,0.807676,,-0.038434,-0.061329,,-0.006236,,0.670018,-0.670014,0.670019,-0.053367,-0.007294,-0.010885,-0.016807,-0.024131,-0.041001,0.050167,-0.050167,0.050167,-0.005883,0.044705,0.079053,0.079234,,0.009828,,-0.006279,0.246435,0.013438,0.263856,-1.0,-0.270015,,-0.395757,-0.494231,-0.30545,-0.6631,0.811189,,0.8574,0.003143,0.200269,0.06003,-0.007674,0.697532,,0.53186,,0.022619,,0.010949,0.03202,0.396551,0.046355,,0.003298,0.439095,0.884882,-0.830972,0.227112,-0.145858,0.03052,-0.010153,,0.163175,0.014046
mom_120h,,-0.18251,,,-0.286482,,,,,0.347943,,,,,,,,,,,,,,,,,1.0,,,,,,,0.715351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.541065,,,,,-0.369748,,,,,-0.302124,,,,,,,,,,,,,,,,,,,,,-0.093959,,,,,,,,,,,,,,,,,-0.004104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032658,,,,,,,,,,,
mom_20h,,,0.00431,0.006458,,,-0.009698,0.759141,0.778271,,0.173262,-0.042112,0.04862,0.555403,-0.344417,0.8567,,0.086802,0.184123,0.184229,-0.019395,0.110685,,0.384662,0.845635,0.672192,,1.0,,0.459228,0.444569,,0.966866,,,0.703917,0.620733,0.895409,-0.401017,0.688267,-0.661162,0.660394,0.634886,0.420479,-0.073828,-0.197225,-0.282088,-0.351396,-0.413375,0.028227,-0.704764,0.704592,-0.80477,0.0305,-0.01733,-0.042078,0.184229,0.173187,0.129436,0.121195,0.070067,0.048415,-0.116413,-0.214793,-0.2919,-0.357721,-0.418071,-0.560308,-0.83743,,-0.361442,,-0.38346,-0.640377,,-0.228901,,-0.377372,-0.603036,,-0.244199,,-0.184229,-0.268559,-0.339463,-0.400854,-0.459018,-0.771174,,-0.785779,,0.732986,,-0.015122,-1.0,-0.083233,0.778141,,-0.014677,-0.074445,,0.01109,,0.969749,-0.969748,0.969748,-0.076231,-0.008906,-0.013055,-0.022413,-0.028464,-0.066998,0.075669,-0.075669,0.075669,-0.011264,0.093331,0.105543,0.097936,,0.028227,,0.011042,0.184323,0.027105,0.413938,-0.672192,-0.184128,,-0.268419,-0.339532,-0.444569,-0.459228,0.865905,,0.74061,-0.002689,0.263265,-0.001304,-0.002197,0.456406,,0.773123,,0.027343,,0.050777,0.01824,0.614127,0.065814,,0.015057,0.657945,0.786529,-0.606792,0.154827,-0.10739,-0.002183,-0.007462,,0.105354,0.024017
