factor_id,profile_score,comp_standalone_quality,comp_paper,comp_cost,comp_regime,comp_shape,comp_stability,comp_capacity,comp_redundancy,comp_marginal_info,comp_evidence_completeness,weight_standalone_quality,weight_paper,weight_cost,weight_regime,weight_shape,weight_stability,weight_capacity,weight_redundancy,weight_marginal_info,weight_evidence_completeness
mom_vol_adjusted_20h,45.1,53.08,50.0,10.0,90.0,25.0,40.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
price_pos_120h,56.88,63.24,50.0,10.0,90.0,55.0,55.0,50.0,45.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
price_pos_24h,48.03,61.29,50.0,10.0,35.0,25.0,55.0,50.0,45.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
price_pos_72h,50.41,59.23,50.0,10.0,90.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
price_volume_corr_20h,55.03,68.23,50.0,10.0,90.0,55.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_beta_20h,52.72,57.61,80.0,40.0,50.0,25.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_cntd_20h,36.81,53.11,15.0,10.0,35.0,25.0,55.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_cntn_20h,45.12,48.73,30.0,30.0,40.0,25.0,90.0,50.0,15.0,35.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_cntp_20h,42.44,56.04,15.0,10.0,35.0,55.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_cord_20h,54.35,64.47,50.0,10.0,90.0,55.0,55.0,50.0,15.0,65.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_corr_20h,58.12,70.13,50.0,10.0,50.0,55.0,55.0,50.0,95.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
q158_high_close_0h,48.57,65.97,50.0,10.0,40.0,25.0,55.0,50.0,35.0,70.0,100.0,0.18,0.14,0.08,0.1,0.1,0.14,0.08,0.08,0.07,0.03
