factor_id,fee_bps,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,positive_month_rate,avg_turnover
mom_20h,0,4.063948161495746,1.2230902531184982,0.5205066940042343,2.3498069615768444,0.4576106770617507,0.6,0.17483053840833068
mom_20h,2,1.7189209539133619,0.6365826220299649,0.5205119313479437,1.2229933334696836,0.4576106770617507,0.6,0.17483053840833068
mom_20h,5,0.06964181505903255,0.033712428915589454,0.5205230473887235,0.06476644806548444,0.4576106770617507,0.6,0.17483053840833068
mom_20h,10,-0.774096234889025,-0.519370027682425,0.5205502668506804,-0.9977327085520562,0.4576106770617507,0.6,0.17483053840833068
mom_20h,20,-0.9899283288093158,-0.8961184421192853,0.5206372965095692,-1.7211952507570973,0.4576106770617507,0.6,0.17483053840833068
reversal_5h,0,-0.026745029936667275,-0.013251293926172969,0.5172051313767713,-0.02562096375745299,0.6428840653192246,0.48,0.3446381575241478
reversal_5h,2,-0.7146977616659536,-0.4605305917686967,0.5171908632494784,-0.8904461089571678,0.6428840653192246,0.48,0.3446381575241478
reversal_5h,5,-0.9547258014500062,-0.7819421812066973,0.5171767905666029,-1.511943682449527,0.6428840653192246,0.48,0.3446381575241478
reversal_5h,10,-0.9978950872742899,-0.9518253841957752,0.5171728829457947,-1.8404394653761011,0.6428840653192246,0.48,0.3446381575241478
reversal_5h,20,-0.9999954576779801,-0.9976506064743704,0.5172383660247972,-1.928802409113135,0.6428840653192246,0.48,0.3446381575241478
volatility_20h,0,1.0322040034896345,0.41798686649981676,0.6019225875927234,0.6944196398601303,0.7474143572366713,0.48,0.0643621759375866
volatility_20h,2,0.6163253226854424,0.26677440408533437,0.6019270570167975,0.443200552252114,0.7474143572366713,0.48,0.0643621759375866
volatility_20h,5,0.14648275884772266,0.06964134677695033,0.60193575755329,0.11569564675809264,0.7474143572366713,0.48,0.0643621759375866
volatility_20h,10,-0.3532205427324916,-0.1931394638090269,0.6019555819076444,-0.3208533480110822,0.7474143572366713,0.48,0.0643621759375866
