url,status_code,content_type,json_valid,factor_count,error
https://jp.jerrypsy.top/momentum/factor-library/,200,text/html,,,
https://jp.jerrypsy.top/momentum/factor-library/index.html,200,text/html,,,
https://jp.jerrypsy.top/momentum/factor-library/factor-evaluation.html,200,text/html,True,170,
