factor_id,regime_dimension,regime_value,n_months,mean,median,std,positive_rate,min,max,metric_type
a101_volume_cap_alpha_min_56_84,btc_vol_regime,LOW_VOL,48,0.03438648666666667,0.025356205,0.024542519787484784,0.9791666666666666,-0.00609889,0.1201707,ic_rank
a101_volume_cap_alpha_min_56_84,btc_vol_regime,HIGH_VOL,52,0.0013076371153846154,0.00062473,0.0037450433604816376,0.8076923076923077,-0.01110261,0.01167794,long_short
a101_volume_cap_alpha_min_56_84,btc_vol_regime,LOW_VOL,48,0.00050172125,0.00015274,0.003516519732052317,0.6458333333333334,-0.00847407,0.01123008,long_short
a101_volume_cap_alpha_min_56_84,btc_vol_regime,HIGH_VOL,13,0.0724336312760499,0.0886899540755572,0.07761804706179967,0.8461538461538461,-0.0714379856236053,0.1764147863153473,paper_return
a101_volume_cap_alpha_min_56_84,btc_vol_regime,LOW_VOL,12,0.032059795420488445,0.06650354530363986,0.09040742512928018,0.5833333333333334,-0.168928050889012,0.1528594322378105,paper_return
a101_volume_cap_alpha_min_56_84,btc_drawdown_regime,DEEP_DRAWDOWN,32,0.03060787,0.02442405,0.018074059362725606,1.0,0.00964645,0.0736569,ic_rank
a101_volume_cap_alpha_min_56_84,btc_drawdown_regime,NORMAL,68,0.03738371191176471,0.028620575000000002,0.02952888057915016,0.9558823529411765,-0.04267349,0.1201707,ic_rank
a101_volume_cap_alpha_min_56_84,btc_drawdown_regime,DEEP_DRAWDOWN,32,0.0015307553124999998,0.000578935,0.002600375457040876,0.9375,-0.00119093,0.01123008,long_short
a101_volume_cap_alpha_min_56_84,btc_drawdown_regime,NORMAL,68,0.0006337585294117648,0.00018947,0.00402524402118485,0.6323529411764706,-0.01110261,0.01167794,long_short
a101_volume_cap_alpha_min_56_84,btc_drawdown_regime,DEEP_DRAWDOWN,8,0.07937781109085876,0.08364536653576045,0.03792527691612403,1.0,0.0018642640923636,0.1282954804469842,paper_return
a101_volume_cap_alpha_min_56_84,btc_drawdown_regime,NORMAL,17,0.040666603700449416,0.0638841967182939,0.09815622552618505,0.5882352941176471,-0.168928050889012,0.1764147863153473,paper_return
a101_volume_cap_alpha_min_80_80,btc_trend_regime,BEAR,32,0.037697774375,0.03024872,0.024506541684131022,1.0,0.0028655,0.10396545,ic_rank
a101_volume_cap_alpha_min_80_80,btc_trend_regime,BULL,36,0.035380542777777774,0.0292985,0.02764396647186296,0.9722222222222222,-0.02391705,0.1133865,ic_rank
a101_volume_cap_alpha_min_80_80,btc_trend_regime,SIDEWAYS,32,0.035886438125,0.02842427,0.022744293629767598,1.0,0.01002163,0.10298543,ic_rank
a101_volume_cap_alpha_min_80_80,btc_trend_regime,BEAR,32,0.0013980278125,0.00037316499999999996,0.006433011410375711,0.71875,-0.01696637,0.02337434,long_short
a101_volume_cap_alpha_min_80_80,btc_trend_regime,BULL,36,0.00028447972222222216,1.3195e-05,0.003609904001129976,0.5,-0.01208822,0.01047641,long_short
a101_volume_cap_alpha_min_80_80,btc_trend_regime,SIDEWAYS,32,0.0006789371874999998,0.00030796,0.0037780668081383037,0.8125,-0.01503766,0.00826378,long_short
a101_volume_cap_alpha_min_80_80,btc_trend_regime,BEAR,8,0.06954339061421679,0.09752285189941895,0.05841992409668662,0.75,-0.0261788588806836,0.1325927482649276,paper_return
a101_volume_cap_alpha_min_80_80,btc_trend_regime,BULL,9,0.006479958265028646,-0.0188245789512282,0.07487299941066614,0.3333333333333333,-0.0823437454854393,0.1326962144679677,paper_return
a101_volume_cap_alpha_min_80_80,btc_trend_regime,SIDEWAYS,8,0.03279638422630205,0.04777243959923125,0.05522168540940695,0.875,-0.0934931990642857,0.0813679837605145,paper_return
a101_volume_cap_alpha_min_80_80,btc_vol_regime,HIGH_VOL,52,0.03699983538461539,0.029486345,0.026445580849252057,0.9807692307692307,-0.02391705,0.1133865,ic_rank
a101_volume_cap_alpha_min_80_80,btc_vol_regime,LOW_VOL,48,0.035508393750000006,0.030150495,0.023418379824818508,1.0,0.0028655,0.10396545,ic_rank
a101_volume_cap_alpha_min_80_80,btc_vol_regime,HIGH_VOL,52,0.0013882459615384617,0.00033105,0.0049609603727540814,0.7307692307692307,-0.01208822,0.02337434,long_short
a101_volume_cap_alpha_min_80_80,btc_vol_regime,LOW_VOL,48,9.406999999999992e-05,9.7985e-05,0.004390218242375328,0.6041666666666666,-0.01696637,0.01140983,long_short
a101_volume_cap_alpha_min_80_80,btc_vol_regime,HIGH_VOL,13,0.05163145089726268,0.0722669274910734,0.06614453687661018,0.7692307692307693,-0.0823437454854393,0.1326962144679677,paper_return
a101_volume_cap_alpha_min_80_80,btc_vol_regime,LOW_VOL,12,0.017152413453749477,0.00941141272011495,0.06541464361513717,0.5,-0.0934931990642857,0.1325927482649276,paper_return
a101_volume_cap_alpha_min_80_80,btc_drawdown_regime,DEEP_DRAWDOWN,32,0.032757401562499996,0.02885563,0.01812449320668405,1.0,0.01002163,0.06957907,ic_rank
a101_volume_cap_alpha_min_80_80,btc_drawdown_regime,NORMAL,68,0.0379434925,0.030070435,0.027516732868551923,0.9852941176470589,-0.02391705,0.1133865,ic_rank
a101_volume_cap_alpha_min_80_80,btc_drawdown_regime,DEEP_DRAWDOWN,32,0.001886390625,0.000286325,0.005073068944959183,0.75,-0.00588912,0.02337434,long_short
a101_volume_cap_alpha_min_80_80,btc_drawdown_regime,NORMAL,68,0.00024028897058823526,0.00013623,0.004482258040300916,0.6323529411764706,-0.01696637,0.01126467,long_short
a101_volume_cap_alpha_min_80_80,btc_drawdown_regime,DEEP_DRAWDOWN,8,0.055762263851607916,0.06451954885226971,0.05531981633168337,0.75,-0.0188245789512282,0.1325927482649276,paper_return
a101_volume_cap_alpha_min_80_80,btc_drawdown_regime,NORMAL,17,0.025349394840973247,0.045343586182619,0.07094694474336485,0.5882352941176471,-0.0934931990642857,0.1326962144679677,paper_return
a101_volume_high_alpha_min_84_84,btc_trend_regime,BEAR,32,0.03874049,0.030320675,0.02504466929934991,1.0,0.01071747,0.10174342,ic_rank
a101_volume_high_alpha_min_84_84,btc_trend_regime,BULL,36,0.033120622222222215,0.026451805000000002,0.02426168696535508,0.9722222222222222,-0.00789326,0.10979678,ic_rank
a101_volume_high_alpha_min_84_84,btc_trend_regime,SIDEWAYS,32,0.038854475000000006,0.03220551,0.021828032231341363,1.0,0.01157913,0.08379542,ic_rank
a101_volume_high_alpha_min_84_84,btc_trend_regime,BEAR,32,0.0010488643749999998,0.00010521,0.0027115221570893893,0.71875,-0.00239383,0.0083677,long_short
a101_volume_high_alpha_min_84_84,btc_trend_regime,BULL,36,7.877333333333327e-05,-7.735e-06,0.004017176709467199,0.5,-0.01558573,0.01125049,long_short
