factor_id,check,status,detail
candle_body,ls_btc_corr,OK,ls_btc_corr=-0.0122
candle_body,source_metadata,OK,All source metadata present
candle_wick_lower,factor_values,OK,factor_values.parquet exists
candle_wick_lower,factor_level_rankic,OK,4 horizon(s)
candle_wick_lower,period_ic,OK,100 rows
candle_wick_lower,period_ls,OK,100 rows
candle_wick_lower,ls_aggregate,MISSING,LS aggregate fields are NaN
candle_wick_lower,cumulative_ls,OK,100 rows
candle_wick_lower,paper_payload,OK,Present in payload
candle_wick_lower,regime_btc,OK,regime=VOL_DEPENDENT
candle_wick_lower,quantile_shape,OK,shape=WEAK_MONOTONIC
candle_wick_lower,rolling_stability,OK,stability=
candle_wick_lower,decile_shape,OK,shape=NONLINEAR_MIXED
candle_wick_lower,capacity_liquidity,OK,class=
candle_wick_lower,pairwise_redundancy,OK,77 pairs
candle_wick_lower,cluster,OK,cluster=4
candle_wick_lower,marginal_info,OK,novelty=NEEDS_REVIEW
candle_wick_lower,scorecard_not_stale,OK,"rankic=-0.006118, coverage=1.0000"
candle_wick_lower,unified_profile,OK,score=43.6
candle_wick_lower,ls_btc_corr,OK,ls_btc_corr=-0.1107
candle_wick_lower,source_metadata,OK,All source metadata present
candle_wick_upper,factor_values,OK,factor_values.parquet exists
candle_wick_upper,factor_level_rankic,OK,4 horizon(s)
candle_wick_upper,period_ic,OK,100 rows
candle_wick_upper,period_ls,OK,100 rows
candle_wick_upper,ls_aggregate,MISSING,LS aggregate fields are NaN
candle_wick_upper,cumulative_ls,OK,100 rows
candle_wick_upper,paper_payload,OK,Present in payload
candle_wick_upper,regime_btc,OK,regime=VOL_DEPENDENT
candle_wick_upper,quantile_shape,OK,shape=EXCELLENT_MONOTONIC
candle_wick_upper,rolling_stability,OK,stability=
candle_wick_upper,decile_shape,OK,shape=DECILE_MONOTONIC_WEAK
candle_wick_upper,capacity_liquidity,OK,class=
candle_wick_upper,pairwise_redundancy,OK,77 pairs
candle_wick_upper,cluster,OK,cluster=5
candle_wick_upper,marginal_info,OK,novelty=LIKELY_DISTINCT
candle_wick_upper,scorecard_not_stale,OK,"rankic=-0.010023, coverage=1.0000"
candle_wick_upper,unified_profile,OK,score=64.3
candle_wick_upper,ls_btc_corr,OK,ls_btc_corr=0.1268
candle_wick_upper,source_metadata,OK,All source metadata present
clv_20h,factor_values,OK,factor_values.parquet exists
clv_20h,factor_level_rankic,OK,4 horizon(s)
clv_20h,period_ic,OK,100 rows
clv_20h,period_ls,OK,100 rows
clv_20h,ls_aggregate,OK,"4 horizon(s), aggregate present"
clv_20h,cumulative_ls,OK,100 rows
clv_20h,paper_payload,OK,Present in payload
clv_20h,regime_btc,OK,regime=BEAR_DEPENDENT
clv_20h,quantile_shape,OK,shape=NO_CLEAR_SHAPE
clv_20h,rolling_stability,OK,stability=
clv_20h,decile_shape,OK,shape=NONLINEAR_MIXED
clv_20h,capacity_liquidity,OK,class=
clv_20h,pairwise_redundancy,OK,77 pairs
clv_20h,cluster,OK,cluster=6
clv_20h,marginal_info,OK,novelty=LIKELY_DISTINCT
clv_20h,scorecard_not_stale,OK,"rankic=0.017734, coverage=0.9985"
clv_20h,unified_profile,OK,score=51.9
clv_20h,ls_btc_corr,OK,ls_btc_corr=0.0367
clv_20h,source_metadata,OK,All source metadata present
downside_vol_20h,factor_values,OK,factor_values.parquet exists
downside_vol_20h,factor_level_rankic,OK,4 horizon(s)
downside_vol_20h,period_ic,OK,100 rows
downside_vol_20h,period_ls,OK,100 rows
downside_vol_20h,ls_aggregate,MISSING,LS aggregate fields are NaN
downside_vol_20h,cumulative_ls,OK,100 rows
downside_vol_20h,paper_payload,OK,Present in payload
downside_vol_20h,regime_btc,OK,regime=BULL_DEPENDENT
downside_vol_20h,quantile_shape,OK,shape=NO_CLEAR_SHAPE
downside_vol_20h,rolling_stability,OK,stability=
downside_vol_20h,decile_shape,OK,shape=NONLINEAR_MIXED
downside_vol_20h,capacity_liquidity,OK,class=
downside_vol_20h,pairwise_redundancy,OK,77 pairs
downside_vol_20h,cluster,OK,cluster=7
