factor_id,horizon,expected_direction,holding_hours,status,skip_reason,warning,direction_handling,strategy_return_convention,return_timestamp_convention,eligible_source,best_horizon_source,universe_source,quantile_method,long_quantile,short_quantile,memory_mode,output_path,n_input_rows,n_signal_timestamps,n_return_hours,first_return_ts,last_return_ts,gross_total_return,gross_annualized_return,gross_annualized_vol,gross_sharpe,max_drawdown,hourly_win_rate,mean_hourly_return,std_hourly_return,active_sleeve_count_mean,active_sleeve_count_median,active_sleeve_count_min,active_sleeve_count_max,missing_return_hour_rate,runtime_seconds
funding_rate_change_24h,24h,negative,24,OK,,,negative_flipped,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/funding_rate_change_24h__24h.parquet,3316259,16752,16775,2024-06-02 01:00:00+00:00,2026-05-01 23:00:00+00:00,-0.5455,-0.3537,0.3406,-1.0386,-0.6434,0.4957,-0.0,0.0036,23.9671,24.0,1,24,0.0,9.44
funding_rate_level_20h,72h,negative,72,OK,,,negative_flipped,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/funding_rate_level_20h__72h.parquet,3316259,16757,16828,2024-06-01 20:00:00+00:00,2026-05-03 23:00:00+00:00,-0.8463,-0.8465,0.5069,-1.67,-0.8774,0.4875,-0.0001,0.0054,71.6962,72.0,1,72,0.0,23.19
funding_rate_zscore_80h,24h,negative,24,OK,,,negative_flipped,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/funding_rate_zscore_80h__24h.parquet,3316259,16697,16720,2024-06-04 08:00:00+00:00,2026-05-01 23:00:00+00:00,-0.6048,-0.4247,0.3511,-1.2098,-0.6985,0.491,-0.0,0.0038,23.967,24.0,1,24,0.0,8.73
klow_close,72h,positive,72,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/klow_close__72h.parquet,9948777,17808,17879,2024-06-01 01:00:00+00:00,2026-06-15 23:00:00+00:00,-0.5402,-0.2868,0.4334,-0.6618,-0.6706,0.4896,-0.0,0.0046,71.7141,72.0,1,72,0.002,28.19
ma_gap_10_40,24h,positive,24,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/ma_gap_10_40__24h.parquet,9948777,17769,17792,2024-06-02 16:00:00+00:00,2026-06-13 23:00:00+00:00,-0.2615,0.0293,0.5977,0.049,-0.7384,0.5058,0.0,0.0064,23.969,24.0,1,24,0.0007,11.28
ma_gap_20_80,24h,positive,24,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/ma_gap_20_80__24h.parquet,9948777,17729,17752,2024-06-04 08:00:00+00:00,2026-06-13 23:00:00+00:00,-0.4089,-0.0382,0.6651,-0.0574,-0.8717,0.5002,-0.0,0.0071,23.9689,24.0,1,24,0.0007,11.05
ma_gap_5_20,24h,positive,24,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/ma_gap_5_20__24h.parquet,9948777,17789,17812,2024-06-01 20:00:00+00:00,2026-06-13 23:00:00+00:00,-0.1971,0.0136,0.4933,0.0276,-0.6088,0.5016,0.0,0.0053,23.969,24.0,1,24,0.0007,11.64
mom_10h,4h,positive,4,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/mom_10h__4h.parquet,9948777,17798,17801,2024-06-01 11:00:00+00:00,2026-06-13 03:00:00+00:00,1.4131,0.6431,0.6474,0.9935,-0.4333,0.5012,0.0001,0.0069,3.9993,4.0,1,4,0.0001,5.17
mom_120h,24h,positive,24,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/mom_120h__24h.parquet,3316259,17688,17711,2024-06-06 01:00:00+00:00,2026-06-13 23:00:00+00:00,-0.2381,0.0951,0.6773,0.1404,-0.6573,0.5053,0.0,0.0072,23.9688,24.0,1,24,0.0007,11.13
mom_20h,4h,positive,4,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/mom_20h__4h.parquet,9948777,17788,17791,2024-06-01 21:00:00+00:00,2026-06-13 03:00:00+00:00,0.1861,0.3118,0.6747,0.4621,-0.6272,0.5021,0.0,0.0072,3.9993,4.0,1,4,0.0001,5.13
mom_40h,24h,positive,24,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/mom_40h__24h.parquet,9948777,17768,17791,2024-06-02 17:00:00+00:00,2026-06-13 23:00:00+00:00,0.2717,0.3055,0.6115,0.4995,-0.7259,0.5068,0.0,0.0065,23.969,24.0,1,24,0.0007,11.66
