factor_id,horizon,expected_direction,holding_hours,status,skip_reason,warning,direction_handling,strategy_return_convention,return_timestamp_convention,eligible_source,best_horizon_source,universe_source,quantile_method,long_quantile,short_quantile,memory_mode,output_path,n_input_rows,n_signal_timestamps,n_return_hours,first_return_ts,last_return_ts,gross_total_return,gross_annualized_return,gross_annualized_vol,gross_sharpe,max_drawdown,hourly_win_rate,mean_hourly_return,std_hourly_return,active_sleeve_count_mean,active_sleeve_count_median,active_sleeve_count_min,active_sleeve_count_max,missing_return_hour_rate,runtime_seconds
rev_72h,24h,positive,24,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/rev_72h__24h.parquet,3316259,17736,17759,2024-06-04 01:00:00+00:00,2026-06-13 23:00:00+00:00,-0.343,0.0125,0.6627,0.0188,-0.7277,0.4954,0.0,0.0071,23.9689,24.0,1,24,0.0007,11.17
reversal_5h,1h,positive,1,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/reversal_5h__1h.parquet,9948777,17803,17803,2024-06-01 06:00:00+00:00,2026-06-13 00:00:00+00:00,-0.6103,-0.1832,0.7487,-0.2447,-0.8313,0.5131,-0.0,0.008,1.0,1.0,1,1,0.0001,4.14
rsi_14h,4h,negative,4,OK,,,negative_flipped,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/rsi_14h__4h.parquet,9948777,17794,17797,2024-06-01 15:00:00+00:00,2026-06-13 03:00:00+00:00,-0.7866,-0.5683,0.6196,-0.9173,-0.8199,0.4995,-0.0001,0.0066,3.9993,4.0,1,4,0.0001,5.09
rsi_28h,4h,negative,4,OK,,,negative_flipped,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/rsi_28h__4h.parquet,9948777,17780,17783,2024-06-02 05:00:00+00:00,2026-06-13 03:00:00+00:00,-0.6857,-0.3676,0.6367,-0.5773,-0.7478,0.4947,-0.0,0.0068,3.9993,4.0,1,4,0.0001,4.96
rsi_7h,4h,negative,4,OK,,,negative_flipped,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/rsi_7h__4h.parquet,9948777,17801,17804,2024-06-01 08:00:00+00:00,2026-06-13 03:00:00+00:00,-0.7836,-0.5827,0.5837,-0.9984,-0.8222,0.5037,-0.0001,0.0062,3.9993,4.0,1,4,0.0001,5.02
taker_buy_delta_5h,1h,positive,1,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/taker_buy_delta_5h__1h.parquet,9948777,16769,16769,2024-06-01 06:00:00+00:00,2026-05-01 00:00:00+00:00,0.2405,0.2168,0.4569,0.4745,-0.5363,0.4969,0.0,0.0049,1.0,1.0,1,1,0.0,4.23
taker_buy_ratio_20h,1h,positive,1,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/taker_buy_ratio_20h__1h.parquet,9948777,16737,16737,2024-06-01 20:00:00+00:00,2026-05-01 00:00:00+00:00,-0.2433,-0.0184,0.5046,-0.0365,-0.6028,0.4997,-0.0,0.0054,1.0,1.0,1,1,0.0,4.06
taker_buy_zscore_20h,1h,positive,1,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/taker_buy_zscore_20h__1h.parquet,9948777,16737,16737,2024-06-01 20:00:00+00:00,2026-05-01 00:00:00+00:00,-0.0235,0.1118,0.4987,0.2242,-0.5739,0.4968,0.0,0.0053,1.0,1.0,1,1,0.0,4.24
tech_macd,4h,positive,4,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/tech_macd__4h.parquet,9948777,17808,17811,2024-06-01 01:00:00+00:00,2026-06-13 03:00:00+00:00,1.0497,0.4963,0.5351,0.9275,-0.5055,0.4982,0.0001,0.0057,3.9993,4.0,1,4,0.0001,5.02
trend_efficiency_24h,72h,positive,72,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/trend_efficiency_24h__72h.parquet,3316259,17784,17855,2024-06-02 01:00:00+00:00,2026-06-15 23:00:00+00:00,0.7158,0.289,0.2198,1.3151,-0.1691,0.4996,0.0,0.0023,71.7137,72.0,1,72,0.0021,26.73
up_down_vol_ratio_20h,4h,positive,4,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/up_down_vol_ratio_20h__4h.parquet,3316259,17789,17792,2024-06-01 20:00:00+00:00,2026-06-13 03:00:00+00:00,1.0481,0.505,0.5512,0.9162,-0.4848,0.5013,0.0001,0.0059,3.9993,4.0,1,4,0.0001,4.85
vol_40h,72h,negative,72,OK,,,negative_flipped,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/vol_40h__72h.parquet,9948777,17768,17839,2024-06-02 17:00:00+00:00,2026-06-15 23:00:00+00:00,-0.0603,0.2693,0.7735,0.3481,-0.6269,0.507,0.0,0.0083,71.7134,72.0,1,72,0.0021,27.18
vol_5h,72h,negative,72,OK,,,negative_flipped,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/vol_5h__72h.parquet,9948777,17803,17874,2024-06-01 06:00:00+00:00,2026-06-15 23:00:00+00:00,0.1277,0.2513,0.6199,0.4054,-0.479,0.5075,0.0,0.0066,71.714,72.0,1,72,0.0021,27.32
vol_of_vol_20h,72h,negative,72,OK,,,negative_flipped,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/vol_of_vol_20h__72h.parquet,9948777,17784,17855,2024-06-02 01:00:00+00:00,2026-06-15 23:00:00+00:00,-0.0335,0.1933,0.6477,0.2985,-0.5211,0.5063,0.0,0.0069,71.7137,72.0,1,72,0.0021,26.08
vol_zscore_20h,4h,positive,4,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/vol_zscore_20h__4h.parquet,9948777,17789,17792,2024-06-01 20:00:00+00:00,2026-06-13 03:00:00+00:00,-0.4947,-0.2405,0.4372,-0.5501,-0.6571,0.4935,-0.0,0.0047,3.9993,4.0,1,4,0.0001,5.12
vol_zscore_48h,4h,positive,4,OK,,,positive_aligned,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/vol_zscore_48h__4h.parquet,9948777,17761,17764,2024-06-03 00:00:00+00:00,2026-06-13 03:00:00+00:00,-0.7167,-0.5056,0.4827,-1.0474,-0.807,0.4925,-0.0001,0.0052,3.9993,4.0,1,4,0.0001,5.08
volatility_20h,72h,negative,72,OK,,,negative_flipped,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/volatility_20h__72h.parquet,9948777,17788,17859,2024-06-01 21:00:00+00:00,2026-06-15 23:00:00+00:00,-0.0293,0.2587,0.7386,0.3502,-0.591,0.5077,0.0,0.0079,71.7138,72.0,1,72,0.0021,26.9
williams_r_14h,1h,negative,1,OK,,,negative_flipped,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/williams_r_14h__1h.parquet,9948777,17795,17795,2024-06-01 14:00:00+00:00,2026-06-13 00:00:00+00:00,2.3024,0.7874,0.6307,1.2484,-0.5167,0.4967,0.0001,0.0067,1.0,1.0,1,1,0.0001,4.16
wvma_20h,72h,negative,72,OK,,,negative_flipped,long_mean_minus_short_mean_spread,"realized_1h_return[return_start_ts, symbol] = close[return_start_ts+1h] / close[return_start_ts] - 1",factor_library_state.json + factor_values.parquet + coverage_summary,factor_level_coverage_summary.csv (primary) / factor_diagnostics_summary.csv (fallback),universe_snapshots.parquet (monthly volume top50),cross-sectional_rank_pct,0.8,0.2,factor_by_factor_streaming,/root/clawd/jerry/momentum/research/factor_runs/crypto_top50_factor_library/factor_diagnostics/overlapping_sleeve_strategy_returns/wvma_20h__72h.parquet,9948777,17788,17859,2024-06-01 21:00:00+00:00,2026-06-15 23:00:00+00:00,-0.0534,0.1685,0.6247,0.2698,-0.5184,0.5084,0.0,0.0067,71.7138,72.0,1,72,0.0021,26.6
