factor_id,family,n_months,avg_long_count,avg_short_count,avg_turnover,median_turnover,p90_turnover,ref_volume_median_hourly,ref_volume_p10_hourly,volume_concentration_top5,capacity_risk_class,liquidity_risk_class,capacity_liquidity_class,flags,gross_sharpe,cost_sensitivity_class,paper_viability_class,regime_dependency_class,quantile_shape_class,stability_class,stability_score,decile_shape_class,final_quality_class,quality_score,novelty_assessment,participation_100000,p10_participation_100000,capacity_usd_100000,stress_capacity_usd_100000,participation_1000000,p10_participation_1000000,capacity_usd_1000000,stress_capacity_usd_1000000,participation_10000000,p10_participation_10000000,capacity_usd_10000000,stress_capacity_usd_10000000
rev_1h,rev,25,36,36,0.750061,0.751809,0.766474,4049099.1,1163061.04,0.7995,MODERATE_CAPACITY_RISK,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,2.9004,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,WEAK_MONOTONIC,STABLE_POSITIVE,93.5,NONLINEAR_MIXED,STRONG_RESEARCH_CANDIDATE,75.9,HIGHLY_REDUNDANT,0.000257,0.000896,19434085.21,5582236.15,0.002573,0.008957,19434085.21,5582236.15,0.025728,0.08957,19434085.21,5582236.15
rev_24h,rev,25,36,36,0.158842,0.156761,0.164001,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-1.0554,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,VOL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_POSITIVE,87.0,BOTH_TAILS_U_SHAPED,PROMISING_BUT_INCONSISTENT,67.2,HIGHLY_REDUNDANT,5.4e-05,0.00019,91768930.38,26359658.07,0.000545,0.001897,91768930.38,26359658.07,0.005448,0.018968,91768930.38,26359658.07
rev_3h,rev,25,36,36,0.439391,0.439929,0.457618,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.2544,COST_COLLAPSED,PAPER_WEAK,REGIME_ROBUST,NO_CLEAR_SHAPE,STABLE_POSITIVE,89.5,NONLINEAR_MIXED,STRONG_RESEARCH_CANDIDATE,74.4,MODERATELY_REDUNDANT,0.000151,0.000525,33174900.59,9529140.55,0.001507,0.005247,33174900.59,9529140.55,0.015072,0.052471,33174900.59,9529140.55
rev_72h,rev,25,36,36,0.093673,0.092815,0.099339,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.5336,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,DRAWDOWN_FRAGILE,NO_CLEAR_SHAPE,STABLE_POSITIVE,83.1,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,65.4,HIGHLY_REDUNDANT,3.2e-05,0.000112,155612397.27,44698021.07,0.000321,0.001119,155612397.27,44698021.07,0.003213,0.011186,155612397.27,44698021.07
reversal_5h,reversal,25,36,36,0.344349,0.344022,0.358718,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.0256,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,REGIME_ROBUST,NO_CLEAR_SHAPE,STABLE_POSITIVE,88.6,NONLINEAR_MIXED,STRONG_RESEARCH_CANDIDATE,71.5,HIGHLY_REDUNDANT,0.000118,0.000411,42331378.39,12159242.3,0.001181,0.004112,42331378.39,12159242.3,0.011812,0.041121,42331378.39,12159242.3
rsi_14h,rsi,25,36,36,0.208489,0.207618,0.215288,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.7408,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,NO_CLEAR_SHAPE,UNSTABLE_SIGN_FLIP,55.6,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,66.7,HIGHLY_REDUNDANT,7.2e-05,0.000249,69916026.14,20082641.64,0.000715,0.00249,69916026.14,20082641.64,0.007151,0.024897,69916026.14,20082641.64
rsi_28h,rsi,25,36,36,0.147575,0.148134,0.152977,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.8867,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,NO_CLEAR_SHAPE,UNSTABLE_SIGN_FLIP,57.2,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,64.3,HIGHLY_REDUNDANT,5.1e-05,0.000176,98775446.93,28372206.11,0.000506,0.001762,98775446.93,28372206.11,0.005062,0.017623,98775446.93,28372206.11
rsi_7h,rsi,25,36,36,0.289623,0.289851,0.297452,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.7127,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,NO_CLEAR_SHAPE,UNSTABLE_SIGN_FLIP,57.1,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,67.2,HIGHLY_REDUNDANT,9.9e-05,0.000346,50330062.33,14456779.96,0.000993,0.003459,50330062.33,14456779.96,0.009934,0.034586,50330062.33,14456779.96
taker_buy_delta_5h,taker_buy_delta,24,35,35,0.768291,0.766667,0.781017,4049099.1,1163061.04,0.7995,MODERATE_CAPACITY_RISK,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.8265,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,REGIME_ROBUST,NO_CLEAR_SHAPE,STABLE_WEAK,63.8,NONLINEAR_MIXED,REVIEW_REQUIRED,44.9,NEEDS_REVIEW,0.000271,0.000944,18445936.18,5298400.76,0.002711,0.009437,18445936.18,5298400.76,0.027106,0.094368,18445936.18,5298400.76
taker_buy_ratio_20h,taker_buy_ratio,24,35,35,0.149517,0.149375,0.161124,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,2.0553,COST_COLLAPSED,PAPER_MIXED,BEAR_DEPENDENT,MIXED_SHAPE,STABLE_WEAK,55.7,DECILE_MONOTONIC_WEAK,REVIEW_REQUIRED,46.4,LIKELY_DISTINCT,5.3e-05,0.000184,94784300.09,27225791.24,0.000528,0.001836,94784300.09,27225791.24,0.005275,0.018365,94784300.09,27225791.24
taker_buy_zscore_20h,taker_buy_zscore,24,35,35,0.784125,0.78305,0.79471,4049099.1,1163061.04,0.7995,MODERATE_CAPACITY_RISK,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.8728,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,REGIME_ROBUST,MIXED_SHAPE,STABLE_WEAK,55.1,NONLINEAR_MIXED,REVIEW_REQUIRED,50.3,NEEDS_REVIEW,0.000277,0.000963,18073445.43,5191406.72,0.002766,0.009631,18073445.43,5191406.72,0.027665,0.096313,18073445.43,5191406.72
tech_atr,tech,25,36,36,0.008665,0.009598,0.011946,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.0468,COST_COLLAPSED,PAPER_WEAK,BEAR_DEPENDENT,NO_CLEAR_SHAPE,STABLE_POSITIVE,79.6,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,65.0,NEEDS_REVIEW,3e-06,1e-05,1682272135.37,483214940.9,3e-05,0.000103,1682272135.37,483214940.9,0.000297,0.001035,1682272135.37,483214940.9
tech_macd,tech,25,36,36,0.132502,0.132087,0.141523,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.3347,COST_COLLAPSED,PAPER_WEAK,REGIME_ROBUST,NO_CLEAR_SHAPE,STABLE_WEAK,63.2,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,58.7,MODERATELY_REDUNDANT,4.5e-05,0.000158,110011884.46,31599754.36,0.000454,0.001582,110011884.46,31599754.36,0.004545,0.015823,110011884.46,31599754.36
trend_efficiency_24h,trend_efficiency,25,36,36,0.312058,0.310658,0.323629,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.1345,COST_COLLAPSED,PAPER_WEAK,VOL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,71.0,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,52.0,INSUFFICIENT_OVERLAP,0.000107,0.000373,46711750.12,13417457.91,0.00107,0.003726,46711750.12,13417457.91,0.010704,0.037265,46711750.12,13417457.91
vol_40h,vol,25,36,36,0.035315,0.034443,0.039745,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.6544,COST_FRAGILE,PAPER_MIXED,BULL_DEPENDENT,WEAK_MONOTONIC,STABLE_WEAK,55.4,NONLINEAR_MIXED,STRONG_RESEARCH_CANDIDATE,70.8,INSUFFICIENT_OVERLAP,1.2e-05,4.2e-05,412768926.81,118563523.93,0.000121,0.000422,412768926.81,118563523.93,0.001211,0.004217,412768926.81,118563523.93
vol_5h,vol,25,36,36,0.234244,0.233266,0.25547,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.0574,COST_COLLAPSED,PAPER_WEAK,BULL_DEPENDENT,WEAK_MONOTONIC,STABLE_WEAK,59.6,NONLINEAR_MIXED,STRONG_RESEARCH_CANDIDATE,74.0,MODERATELY_REDUNDANT,8e-05,0.00028,62228945.01,17874608.6,0.000803,0.002797,62228945.01,17874608.6,0.008035,0.027973,62228945.01,17874608.6
vol_of_vol_20h,vol_of_vol,25,36,36,0.071089,0.069328,0.079184,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.4437,COST_COLLAPSED,PAPER_WEAK,VOL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,58.0,NONLINEAR_MIXED,STRONG_RESEARCH_CANDIDATE,71.3,INSUFFICIENT_OVERLAP,2.4e-05,8.5e-05,205048577.79,58898042.9,0.000244,0.000849,205048577.79,58898042.9,0.002438,0.008489,205048577.79,58898042.9
vol_ratio_20_80,vol_ratio_20,25,36,36,0.108746,0.107625,0.118959,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.2046,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,VOL_DEPENDENT,WEAK_MONOTONIC,STABLE_WEAK,64.4,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,55.1,NEEDS_REVIEW,3.7e-05,0.00013,134044352.56,38502827.54,0.000373,0.001299,134044352.56,38502827.54,0.00373,0.012986,134044352.56,38502827.54
vol_ratio_5_20,vol_ratio_5,25,36,36,0.330707,0.330904,0.342868,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.5267,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,REGIME_ROBUST,NO_CLEAR_SHAPE,UNSTABLE_SIGN_FLIP,63.2,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,45.3,NEEDS_REVIEW,0.000113,0.000395,44077523.47,12660804.07,0.001134,0.003949,44077523.47,12660804.07,0.011344,0.039492,44077523.47,12660804.07
vol_ret_corr_20h,vol_ret_corr,25,36,36,0.140447,0.140251,0.145669,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.8637,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,WEAK_MONOTONIC,STABLE_WEAK,61.2,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,66.4,HIGHLY_REDUNDANT,4.8e-05,0.000168,103788096.27,29812036.8,0.000482,0.001677,103788096.27,29812036.8,0.004818,0.016772,103788096.27,29812036.8
vol_zscore_20h,vol_zscore,25,36,36,0.569171,0.56883,0.579738,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.6881,COST_COLLAPSED,PAPER_MIXED,BEAR_DEPENDENT,MIXED_SHAPE,STABLE_WEAK,68.4,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,54.1,HIGHLY_REDUNDANT,0.000195,0.00068,25610488.54,7356342.92,0.001952,0.006797,25610488.54,7356342.92,0.019523,0.067969,25610488.54,7356342.92
vol_zscore_48h,vol_zscore,25,36,36,0.514987,0.513542,0.52917,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.8351,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,WEAK_MONOTONIC,STABLE_WEAK,69.2,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,54.9,HIGHLY_REDUNDANT,0.000177,0.000615,28305086.02,8130337.64,0.001766,0.00615,28305086.02,8130337.64,0.017665,0.061498,28305086.02,8130337.64
volatility_20h,volatility,25,36,36,0.064319,0.062172,0.073519,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.6944,COST_COLLAPSED,PAPER_MIXED,BULL_DEPENDENT,WEAK_MONOTONIC,STABLE_WEAK,53.8,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,68.7,HIGHLY_REDUNDANT,2.2e-05,7.7e-05,226633587.19,65098109.36,0.000221,0.000768,226633587.19,65098109.36,0.002206,0.007681,226633587.19,65098109.36
vwap_dev_20h,vwap_dev,25,36,36,0.218479,0.216019,0.228308,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.828,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,WEAK_MONOTONIC,STABLE_WEAK,62.8,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,60.8,HIGHLY_REDUNDANT,7.5e-05,0.000261,66719368.28,19164435.36,0.000749,0.002609,66719368.28,19164435.36,0.007494,0.02609,66719368.28,19164435.36
williams_r_14h,williams_r,25,36,36,0.345803,0.345542,0.358346,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.289,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,DRAWDOWN_FRAGILE,WEAK_MONOTONIC,STABLE_POSITIVE,88.0,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,59.1,HIGHLY_REDUNDANT,0.000119,0.000413,42153390.4,12108117.12,0.001186,0.004129,42153390.4,12108117.12,0.011861,0.041295,42153390.4,12108117.12
wq101_alpha101,wq101,25,36,36,0.766481,0.770504,0.789714,4049099.1,1163061.04,0.7995,MODERATE_CAPACITY_RISK,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-1.4653,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,BEAR_DEPENDENT,MIXED_SHAPE,STABLE_WEAK,57.1,NONLINEAR_MIXED,REVIEW_REQUIRED,51.7,HIGHLY_REDUNDANT,0.000263,0.000915,19017760.39,5462651.24,0.002629,0.009153,19017760.39,5462651.24,0.026291,0.091531,19017760.39,5462651.24
wq101_alpha12,wq101,25,36,36,0.624174,0.625494,0.631903,4049099.1,1163061.04,0.7995,MODERATE_CAPACITY_RISK,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.3375,COST_COLLAPSED,PAPER_WEAK,REGIME_ROBUST,NO_CLEAR_SHAPE,STABLE_POSITIVE,88.8,NONLINEAR_MIXED,REVIEW_REQUIRED,51.8,LIKELY_DISTINCT,0.000214,0.000745,23353675.54,6708097.17,0.002141,0.007454,23353675.54,6708097.17,0.02141,0.074537,23353675.54,6708097.17
wq101_alpha53,wq101,25,36,36,0.763212,0.766433,0.782519,4049099.1,1163061.04,0.7995,MODERATE_CAPACITY_RISK,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.6372,COST_COLLAPSED,PAPER_MIXED,VOL_DEPENDENT,WEAK_MONOTONIC,STABLE_POSITIVE,94.4,NONLINEAR_MIXED,REVIEW_REQUIRED,67.7,LIKELY_DISTINCT,0.000262,0.000911,19099213.32,5486047.73,0.002618,0.009114,19099213.32,5486047.73,0.026179,0.09114,19099213.32,5486047.73
wvma_20h,wvma,25,36,36,0.087039,0.087345,0.096858,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.6919,COST_COLLAPSED,PAPER_MIXED,BULL_DEPENDENT,MIXED_SHAPE,STABLE_WEAK,58.8,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,67.9,HIGHLY_REDUNDANT,3e-05,0.000104,167474768.16,48105362.09,0.000299,0.001039,167474768.16,48105362.09,0.002986,0.010394,167474768.16,48105362.09
xs_rank_ret_1h,xs_rank_ret,25,36,36,0.750053,0.751879,0.766272,4049099.1,1163061.04,0.7995,MODERATE_CAPACITY_RISK,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-1.3491,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,BEAR_DEPENDENT,WEAK_MONOTONIC,UNSTABLE_SIGN_FLIP,57.2,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,60.1,NEEDS_REVIEW,0.000257,0.000896,19434295.5,5582296.56,0.002573,0.008957,19434295.5,5582296.56,0.025728,0.089569,19434295.5,5582296.56
xs_rank_vol,xs_rank,25,36,36,0.010335,0.010055,0.01369,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.2213,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,BULL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,58.8,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,63.6,NEEDS_REVIEW,4e-06,1.2e-05,1410414930.99,405126824.13,3.5e-05,0.000123,1410414930.99,405126824.13,0.000355,0.001234,1410414930.99,405126824.13
