factor_id,family,n_months,avg_long_count,avg_short_count,avg_turnover,median_turnover,p90_turnover,ref_volume_median_hourly,ref_volume_p10_hourly,volume_concentration_top5,capacity_risk_class,liquidity_risk_class,capacity_liquidity_class,flags,gross_sharpe,cost_sensitivity_class,paper_viability_class,regime_dependency_class,quantile_shape_class,stability_class,stability_score,decile_shape_class,final_quality_class,quality_score,novelty_assessment,participation_100000,p10_participation_100000,capacity_usd_100000,stress_capacity_usd_100000,participation_1000000,p10_participation_1000000,capacity_usd_1000000,stress_capacity_usd_1000000,participation_10000000,p10_participation_10000000,capacity_usd_10000000,stress_capacity_usd_10000000
funding_rate_level_20h,funding_rate_level,24,34,34,0.030299,0.029665,0.037592,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,6.2238,MODERATELY_COST_SENSITIVE,PAPER_STRONG,BULL_DEPENDENT,WEAK_MONOTONIC,STABLE_POSITIVE,83.3,NONLINEAR_MIXED,REVIEW_REQUIRED,57.7,LIKELY_DISTINCT,1.1e-05,3.8e-05,454375456.42,130514561.06,0.00011,0.000383,454375456.42,130514561.06,0.0011,0.003831,454375456.42,130514561.06
funding_rate_zscore_80h,funding_rate_zscore,24,29,29,0.115859,0.122264,0.130444,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.1448,COST_COLLAPSED,PAPER_WEAK,REGIME_ROBUST,NO_CLEAR_SHAPE,STABLE_WEAK,67.8,NONLINEAR_MIXED,REVIEW_REQUIRED,47.4,LIKELY_DISTINCT,4.9e-05,0.000172,101350784.86,29111944.78,0.000493,0.001718,101350784.86,29111944.78,0.004933,0.017175,101350784.86,29111944.78
intraday_ret,intraday,25,36,36,0.748554,0.749536,0.765612,4049099.1,1163061.04,0.7995,MODERATE_CAPACITY_RISK,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-1.3116,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,BEAR_DEPENDENT,WEAK_MONOTONIC,UNSTABLE_SIGN_FLIP,55.6,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,56.5,HIGHLY_REDUNDANT,0.000257,0.000894,19473218.96,5593476.91,0.002568,0.008939,19473218.96,5593476.91,0.025676,0.08939,19473218.96,5593476.91
klow_close,klow,25,36,36,0.664671,0.660642,0.697662,4049099.1,1163061.04,0.7995,MODERATE_CAPACITY_RISK,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,-0.8462,INSUFFICIENT_DATA,PAPER_REVIEW_REQUIRED,REGIME_ROBUST,MIXED_SHAPE,UNSTABLE_SIGN_FLIP,56.4,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,71.6,NEEDS_REVIEW,0.000228,0.000794,21930778.56,6299385.01,0.00228,0.007937,21930778.56,6299385.01,0.022799,0.079373,21930778.56,6299385.01
ksft_5h,ksft,25,36,36,0.48163,0.481091,0.485637,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.5942,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,NO_CLEAR_SHAPE,STABLE_WEAK,67.2,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,51.9,LIKELY_DISTINCT,0.000165,0.000575,30265454.12,8693432.72,0.001652,0.005751,30265454.12,8693432.72,0.01652,0.057515,30265454.12,8693432.72
ma_gap_10_40,ma_gap_10,25,36,36,0.056402,0.056489,0.059059,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.2134,COST_COLLAPSED,PAPER_MIXED,VOL_DEPENDENT,WEAK_MONOTONIC,STABLE_WEAK,64.4,BOTH_TAILS_U_SHAPED,PROMISING_BUT_INCONSISTENT,62.0,HIGHLY_REDUNDANT,1.9e-05,6.7e-05,258444986.25,74235598.47,0.000193,0.000674,258444986.25,74235598.47,0.001935,0.006735,258444986.25,74235598.47
ma_gap_20_80,ma_gap_20,25,36,36,0.030032,0.029594,0.032309,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.2792,COST_COLLAPSED,PAPER_WEAK,REGIME_ROBUST,NO_CLEAR_SHAPE,STABLE_WEAK,70.4,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,64.1,HIGHLY_REDUNDANT,1e-05,3.6e-05,485374845.93,139418808.98,0.000103,0.000359,485374845.93,139418808.98,0.00103,0.003586,485374845.93,139418808.98
ma_gap_5_20,ma_gap_5,25,36,36,0.10825,0.107984,0.11276,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,2.0608,COST_COLLAPSED,PAPER_MIXED,VOL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,65.6,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,64.8,HIGHLY_REDUNDANT,3.7e-05,0.000129,134658169.39,38679139.95,0.000371,0.001293,134658169.39,38679139.95,0.003713,0.012927,134658169.39,38679139.95
mom_10h,mom,25,36,36,0.245705,0.242634,0.25812,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,0.1485,COST_COLLAPSED,PAPER_WEAK,VOL_DEPENDENT,NO_CLEAR_SHAPE,STABLE_WEAK,61.2,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,64.8,HIGHLY_REDUNDANT,8.4e-05,0.000293,59326243.52,17040838.19,0.000843,0.002934,59326243.52,17040838.19,0.008428,0.029341,59326243.52,17040838.19
mom_120h,mom,25,36,36,0.073128,0.072762,0.079,4049099.1,1163061.04,0.7995,CAPACITY_FRIENDLY,LIQUIDITY_FRIENDLY,CAPACITY_LIQUIDITY_OK,BALANCED_CANDIDATE,1.158,COST_COLLAPSED,PAPER_MIXED,REGIME_ROBUST,NO_CLEAR_SHAPE,STABLE_WEAK,66.0,NONLINEAR_MIXED,PROMISING_BUT_INCONSISTENT,67.2,INSUFFICIENT_OVERLAP,2.5e-05,8.7e-05,199332368.44,57256122.01,0.000251,0.000873,199332368.44,57256122.01,0.002508,0.008733,199332368.44,57256122.01
