,a101_vol_xs_z_product_112h,a101_volume_cap_alpha_min_56_84,a101_volume_cap_alpha_min_80_80,a101_volume_high_alpha_min_84_84,a101_volume_low_alpha_min_84_120,a101_volume_xs_z_mean_neg_112h,amihud_illiquidity_20h,bb_zscore_20h,breakout_dist_20h,breakout_dist_48h,candle_body,candle_wick_lower,candle_wick_upper,clv_20h,downside_vol_20h,ema_12_26_gap,funding_rate_change_24h,funding_rate_level_20h,funding_rate_zscore_80h,intraday_ret,klow_close,ksft_5h,ma_gap_10_40,ma_gap_20_80,ma_gap_5_20,mom_10h,mom_120h,mom_20h,mom_40h,mom_5h,mom_72h,mom_accel_20h,mom_vol_adjusted_20h,price_pos_120h,price_pos_24h,price_pos_72h,price_volume_corr_20h,q158_beta_20h,q158_close_close_4h,q158_cntd_20h,q158_cntn_20h,q158_cntp_20h,q158_cord_20h,q158_corr_20h,q158_high_close_0h,q158_high_close_1h,q158_high_close_2h,q158_high_close_3h,q158_high_close_4h,q158_high_low_range,q158_imax_20h,q158_imin_20h,q158_imxd_20h,q158_klen_open,q158_klow_open,q158_klow_range,q158_kmid_open,q158_kmid_range,q158_ksft_open,q158_ksft_range,q158_kup_open,q158_kup_range,q158_low_close_0h,q158_low_close_1h,q158_low_close_2h,q158_low_close_3h,q158_low_close_4h,q158_ma_10h,q158_ma_20h,q158_ma_30h,q158_ma_5h,q158_max_10h,q158_max_20h,q158_max_30h,q158_max_5h,q158_min_10h,q158_min_20h,q158_min_30h,q158_min_5h,q158_open_close_0h,q158_open_close_1h,q158_open_close_2h,q158_open_close_3h,q158_open_close_4h,q158_qtld_20h,q158_qtlu_20h,q158_rank_close_20h,q158_resi_20h,q158_roc_20h,q158_rsqr_20h,q158_rsv_20h,q158_std_10h,q158_std_20h,q158_std_30h,q158_std_5h,q158_sumd_20h,q158_sumn_20h,q158_sump_20h,q158_vma_20h,q158_volume_ratio_1h,q158_volume_ratio_2h,q158_volume_ratio_3h,q158_volume_ratio_4h,q158_vstd_20h,q158_vsumd_20h,q158_vsumn_20h,q158_vsump_20h,q158_wvma_20h,qvol_ma_ratio_20_80,qvol_ma_ratio_5_20,qvol_zscore_20h,qvol_zscore_48h,range_1h,range_24h,range_4h,range_breakout_vol_confirm_20h,realized_kurt_20h,realized_skew_20h,rev_10h,rev_1h,rev_24h,rev_2h,rev_3h,rev_72h,reversal_5h,rsi_14h,rsi_28h,rsi_7h,taker_buy_delta_5h,taker_buy_ratio_20h,taker_buy_zscore_20h,tech_atr,tech_macd,trend_efficiency_24h,up_down_vol_ratio_20h,vol_40h,vol_5h,vol_of_vol_20h,vol_ratio_20_80,vol_ratio_5_20,vol_ret_corr_20h,vol_zscore_20h,vol_zscore_48h,volatility_20h,volume_pressure_20h,vwap_dev_20h,williams_r_14h,wq101_alpha101,wq101_alpha12,wq101_alpha53,wvma_20h,xs_rank_mom_accel,xs_rank_ret_1h,xs_rank_vol
a101_vol_xs_z_product_112h,1.0,,,,,-0.423504,,,,,,,,,,,,,,,,,0.020843,,,,,,0.051033,,,0.018561,,,-0.025477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038631,,,,0.005807,,,,0.050337,,,,,,,,,,,,,,,,-0.051575,,,,,,,,,,,,,,,,,,,,-0.013796,,,,,,,-0.01051,,,,,,0.109192,,,,,,,-0.080052,,0.01733,,0.011001,,,,,,,,,,,,,,0.018013,,
candle_body,,,0.007839,0.018053,,,0.00688,0.402594,0.372582,,1.0,-0.064324,0.087443,0.168708,-0.043746,0.045125,,0.015794,0.001906,0.767193,-0.058932,-0.026946,,-0.001205,0.050262,0.214923,,0.151115,,0.302193,0.077544,,0.196301,,,0.212275,0.045509,0.042497,-0.34758,0.188454,-0.179929,0.179778,0.045095,0.042879,-0.441712,-0.574725,-0.436226,-0.365603,-0.322221,0.005209,-0.055196,0.047564,-0.059672,0.028887,-0.050547,-0.064,0.767193,0.999939,0.670316,0.81753,0.085454,0.08716,-0.473802,-0.603167,-0.45477,-0.373042,-0.32446,-0.381522,-0.275675,,-0.532405,-0.247439,-0.192851,,-0.312775,-0.265815,-0.20755,,-0.347232,-0.766697,-0.517565,-0.40968,-0.347639,-0.310673,-0.250607,-0.25691,0.394143,0.411006,-0.160746,0.001834,0.372601,-0.002165,-0.003828,,0.004887,0.195688,-0.195688,0.195688,0.00633,0.0325,0.021582,0.007206,-0.005771,0.005421,0.008138,-0.008138,0.008138,0.012955,0.0112,0.0158,0.002875,,0.005209,,0.005436,0.291361,0.011389,0.034145,-0.214923,-0.763589,,-0.513261,-0.404866,-0.077544,-0.302193,0.317994,,0.442276,0.337172,0.074505,0.52386,-0.001752,0.024636,,0.151795,,0.01923,,0.009092,0.021395,0.051463,-0.006598,,0.007104,0.0382,0.313361,-0.434324,0.737198,-0.033708,-0.240886,0.011646,,0.595727,0.002131
candle_wick_lower,,,0.022,0.008558,,,8e-06,-0.075608,-0.039504,,-0.064324,1.0,-0.260718,0.114412,-0.02554,-0.020255,,-0.022492,-0.004459,-0.071595,0.569388,-0.017586,,0.005342,-0.037272,-0.055363,,-0.036843,,-0.066598,-0.016053,,-0.044476,,,-0.036016,-0.030067,-0.029686,0.057713,-0.031763,0.026578,-0.034084,-0.029438,-0.024967,-0.250364,0.051774,0.052037,0.047669,0.054277,-0.109062,0.058886,-0.040289,0.057589,-0.112885,0.574526,0.999775,-0.071595,-0.064175,0.251995,0.402902,-0.218039,-0.260882,-0.101018,0.060866,0.058153,0.056128,0.061298,0.065932,0.059805,,0.067934,0.008607,0.01371,,-0.019174,0.041128,0.043085,,0.034592,0.062633,0.067797,0.056877,0.057683,0.065057,0.056525,0.054903,-0.073771,-0.056269,0.03629,0.021262,-0.039397,-0.032656,-0.015732,,-0.088519,-0.046156,0.046156,-0.046156,0.034097,0.029411,0.034661,0.025661,0.017987,0.022003,-0.049331,0.049331,-0.049331,-0.002735,-0.006697,-0.022484,-0.072705,,-0.109062,,-0.044238,-0.220072,0.007545,-0.030694,0.055363,0.068442,,0.07351,0.061632,0.016053,0.066598,-0.065092,,-0.081262,-0.05162,-0.026131,-0.067371,-0.000118,-0.009555,,-0.039634,,-0.101128,,-0.046082,-0.132845,-0.030505,-0.06673,,-0.048248,-0.007243,-0.061965,0.037329,-0.051786,0.011657,-0.141971,-0.036968,,-0.041497,-0.008105
candle_wick_upper,,,0.019432,0.012002,,,-0.025093,0.081685,0.044575,,0.087443,-0.260718,1.0,-0.113309,-0.009946,0.025525,,-0.020334,0.013909,0.07003,-0.209215,0.004278,,0.006075,0.030359,0.049931,,0.037671,,0.066931,0.020514,,0.043362,,,0.036549,0.027998,0.024919,-0.071581,0.034469,-0.037882,0.027863,0.029511,0.034284,0.102592,-0.063718,-0.06899,-0.063234,-0.061551,-0.087321,-0.033789,0.064994,-0.057364,-0.085498,-0.209473,-0.260814,0.07003,0.087283,-0.254745,-0.383053,0.568962,0.99977,0.238837,-0.082421,-0.084152,-0.078543,-0.073148,-0.076283,-0.062791,,-0.086682,-0.027629,-0.01915,,-0.030339,-0.030058,-0.046759,,-0.007466,-0.078312,-0.085123,-0.077171,-0.071508,-0.071944,-0.068149,-0.047556,0.078985,0.069124,-0.040214,0.01054,0.044478,-0.011678,0.020521,,-0.064993,0.042815,-0.042815,0.042815,0.060776,0.05777,0.040539,0.036648,0.037172,0.035011,-0.050017,0.050017,-0.050017,0.004523,0.007401,-0.022436,-0.076867,,-0.087321,,-0.023081,-0.082694,0.026446,0.021943,-0.049931,-0.06681,,-0.07848,-0.071866,-0.020514,-0.066931,0.06511,,0.08049,0.060652,0.031401,0.097374,0.003947,0.014876,,0.042325,,-0.067118,,-0.034774,-0.133146,0.029779,-0.083737,,0.005871,0.002553,0.06133,-0.03846,0.074266,-0.015256,0.057048,-0.001146,,0.039291,0.00713
clv_20h,,,0.062645,0.025194,,,4.6e-05,0.457597,0.531075,,0.168708,0.114412,-0.113309,1.0,-0.155331,0.436078,,0.019125,0.123711,0.140594,0.056346,-0.006433,,0.191601,0.441107,0.372198,,0.49065,,0.274145,0.237526,,0.592133,,,0.417133,0.245501,0.473451,-0.251474,0.574919,-0.536202,0.561446,0.253851,0.199809,-0.101985,-0.165891,-0.205203,-0.240307,-0.270243,0.017276,-0.420438,0.421278,-0.488786,0.022415,0.058911,0.114892,0.140594,0.168873,0.171975,0.23095,-0.036717,-0.114606,-0.132066,-0.184268,-0.220855,-0.251015,-0.275906,-0.331169,-0.455261,,-0.234985,-0.248927,-0.371742,,-0.167152,-0.253259,-0.338432,,-0.194527,-0.138943,-0.185879,-0.22267,-0.252949,-0.279055,-0.396239,-0.436115,0.460176,0.030714,-0.519307,-0.033673,0.53127,-0.001224,-0.045063,,0.014245,0.582073,-0.582073,0.582073,-0.036645,-0.00691,-0.002388,-0.009778,-0.012964,-0.020271,0.065233,-0.065233,0.065233,0.016701,0.117444,0.099797,0.070007,,0.017276,,0.012252,0.029975,0.022269,0.043387,-0.372198,-0.138399,,-0.185054,-0.221159,-0.237526,-0.274145,0.521107,,0.48342,0.008329,0.144848,0.015518,-0.020142,0.069536,,0.479619,,0.029361,,0.066767,0.037725,0.235725,0.05145,,-0.009871,0.138325,0.452454,-0.460134,0.126788,-0.014166,-0.001941,0.00254,,0.099983,0.023196
downside_vol_20h,,,-0.114813,-0.120628,,,-0.043609,-0.213164,-0.239601,,-0.043746,-0.02554,-0.009946,-0.155331,1.0,-0.235882,,-0.272118,-0.161736,-0.093317,0.30562,-0.096128,,-0.06329,-0.236532,-0.202802,,-0.229617,,-0.184034,-0.043066,,-0.250714,,,-0.229747,-0.223964,-0.272188,0.205365,-0.090072,0.105217,-0.066541,-0.240777,-0.102841,0.399251,0.342068,0.336062,0.34384,0.351017,0.471084,0.194083,-0.156785,0.203735,0.461179,0.30369,-0.025933,-0.093317,-0.04369,-0.079136,-0.043847,0.271939,-0.010202,-0.281958,-0.100042,-0.02344,0.026303,0.066862,0.249364,0.2991,,0.19196,0.664082,0.77617,,0.568555,-0.296053,-0.287335,,-0.29278,0.111862,0.151221,0.179951,0.205453,0.224414,0.036439,0.502436,-0.200209,-0.082792,0.317738,0.024861,-0.239262,0.590357,0.682976,,0.513846,-0.283005,0.283005,-0.283005,0.125322,0.023623,0.04995,0.065512,0.082181,0.203896,0.034198,-0.034198,0.034198,0.27683,0.343665,-0.024159,-0.052943,,0.471084,,0.575604,-0.085701,0.219687,-0.330444,0.202802,0.093443,,0.125599,0.148995,0.043066,0.184034,-0.271371,,-0.231074,0.004309,0.016903,0.003608,0.21552,-0.070851,,-0.168581,,0.599533,,0.441738,-0.039144,-0.252603,-0.043762,,0.843012,-0.084642,-0.306869,0.19056,-0.050378,0.010984,-0.00249,0.66719,,-0.046976,0.067458
ema_12_26_gap,,,-0.10388,-0.107499,,,-0.027933,0.511644,0.526622,,0.045125,-0.020255,0.025525,0.436078,-0.235882,1.0,,-0.087014,0.092349,0.080382,0.053082,0.068687,,0.707856,0.837892,0.652842,,0.87761,,0.374707,0.69283,,0.749596,,,0.704438,0.554061,0.882284,-0.284284,0.551362,-0.525169,0.527241,0.565394,0.478613,0.105248,-0.006157,-0.091774,-0.177116,-0.262594,0.165192,-0.535182,0.529148,-0.61805,0.170588,0.055216,-0.02035,0.080382,0.045048,0.026393,0.022779,0.171577,0.025044,-0.13603,-0.156198,-0.204851,-0.269358,-0.339827,-0.457508,-0.750673,,-0.218262,-0.178089,-0.436092,,-0.000424,-0.390509,-0.565366,,-0.231637,-0.071111,-0.136288,-0.207486,-0.284191,-0.361834,-0.708283,-0.658764,0.508842,-0.112852,-0.882873,-0.037091,0.52648,0.148553,0.079716,,0.146201,0.753482,-0.753482,0.753482,-0.062911,-0.013499,-0.019419,-0.024386,-0.026345,-0.060451,0.096484,-0.096484,0.096484,-0.013622,0.295996,0.163169,0.092132,,0.165192,,0.156284,0.102117,0.054863,0.378597,-0.652842,-0.080596,,-0.149021,-0.221283,-0.69283,-0.374707,0.765118,,0.557796,-0.036123,0.177354,-0.050731,0.065945,0.123037,,0.614684,,0.175735,,0.095347,0.033368,0.541624,0.06634,,0.165182,0.298016,0.641948,-0.399668,0.052857,-0.020703,0.050507,0.112812,,0.027736,0.065733
funding_rate_change_24h,,,,,,,,,,,,,,,,,1.0,,,,,,-0.156567,,,,,,-0.150517,,,-0.033258,,,-0.043636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171891,,,,-0.007191,,,,0.198287,,,,,,,,,,,,,,,,-0.131432,,,,,,,,,,,,,,,,,,,,-0.165002,,,,,,,0.190522,,,,,,-0.057291,,,,,,,-0.063614,,-0.106989,,-0.201096,,,,,,,,,,,,,,0.021999,,
funding_rate_level_20h,,,-0.074233,-0.224347,,,0.190646,0.045562,0.09171,,0.015794,-0.022492,-0.020334,0.019125,-0.272118,-0.087014,,1.0,0.076907,0.028643,-0.12056,0.000788,,-0.25604,0.032957,0.056851,,-0.034391,,0.057406,-0.168119,,0.014007,,,0.023676,-0.113501,0.016259,-0.066543,0.01554,-0.015426,0.015575,-0.103337,-0.182298,-0.134096,-0.114963,-0.115417,-0.118817,-0.123204,-0.151368,-0.028361,-0.01715,-0.00623,-0.145491,-0.120268,-0.022215,0.028643,0.015779,0.030168,0.013287,-0.111351,-0.020092,0.088276,0.030784,0.01004,-0.004057,-0.015258,-0.080265,-0.063838,,-0.060875,-0.268703,-0.285847,,-0.214216,0.072047,0.122515,,0.077863,-0.033904,-0.047348,-0.056564,-0.066459,-0.071979,0.048627,-0.157458,0.049486,0.084218,0.001512,-0.012916,0.091636,-0.2086,-0.281321,,-0.157375,0.01768,-0.01768,0.01768,-0.176002,-0.011138,-0.022817,-0.027543,-0.040909,-0.1522,0.049316,-0.049316,0.049316,-0.107283,-0.290223,0.065766,0.065659,,-0.151368,,-0.188057,-0.009364,-0.091906,-0.039517,-0.056851,-0.028896,,-0.038788,-0.045486,0.168119,-0.057406,0.007129,,0.049544,0.001284,-0.085293,0.012011,-0.262301,0.156111,,-0.007812,,-0.162413,,-0.087113,0.066719,-0.088718,0.064605,,-0.271017,0.010686,0.165528,-0.094049,0.039097,-0.001815,-0.014859,-0.214798,,0.022403,0.210852
funding_rate_zscore_80h,,,0.031649,-0.055321,,,0.025104,0.094167,0.133949,,0.001906,-0.004459,0.013909,0.123711,-0.161736,0.092349,,0.076907,1.0,-0.005607,-0.120875,0.004071,,0.030027,0.08665,0.03395,,0.074902,,-0.007292,0.026644,,0.183286,,,0.140657,0.063575,0.136419,-0.00025,0.152467,-0.155516,0.148739,0.064667,0.048118,-0.100382,-0.062135,-0.0426,-0.040358,-0.0405,-0.152987,-0.115486,0.137434,-0.147894,-0.151315,-0.121378,-0.004393,-0.005607,0.001904,-0.020129,-0.004968,-0.07788,0.013966,0.122208,0.081436,0.069503,0.053559,0.039626,-0.021088,-0.086149,,0.004674,-0.183761,-0.226504,,-0.140574,0.131287,0.070665,,0.146808,0.000368,0.010937,0.006206,-5.5e-05,-0.008134,0.014943,-0.169443,0.103261,-0.072936,-0.11947,-0.114332,0.133931,-0.225457,-0.236254,,-0.172117,0.183989,-0.183989,0.183989,0.046424,-0.010794,-0.025277,-0.024595,-0.025951,-0.020658,-0.108894,0.108894,-0.108894,-0.146073,-0.243788,-0.170672,-0.073567,,-0.152987,,-0.183972,-0.065647,-0.063296,0.023542,-0.03395,0.005597,,0.018781,0.015893,-0.026644,0.007292,0.158544,,0.11698,0.003462,-0.002581,-0.007825,-0.037088,-0.010257,,0.128951,,-0.174268,,-0.197219,-0.07127,0.070599,-0.078528,,-0.147778,0.027283,0.126978,-0.09275,0.009199,0.025075,-0.006591,-0.187374,,0.000218,-0.015219
intraday_ret,,,-0.007151,0.00682,,,0.005435,0.410843,0.353128,,0.767193,-0.071595,0.07003,0.140594,-0.093317,0.080382,,0.028643,-0.005607,1.0,-0.114541,0.079188,,-0.000288,0.093565,0.319311,,0.237408,,0.445683,0.118857,,0.214825,,,0.223616,0.10235,0.070896,-0.492245,0.161967,-0.154054,0.155103,0.102272,0.086023,-0.554195,-0.77738,-0.611715,-0.511919,-0.457126,0.017097,-0.085841,0.072638,-0.092027,0.084312,-0.093906,-0.07132,1.0,0.766669,0.852809,0.617657,0.13476,0.069732,-0.610252,-0.800569,-0.623535,-0.524175,-0.46087,-0.534063,-0.389852,,-0.728823,-0.318313,-0.248618,,-0.396671,-0.349101,-0.281322,,-0.450191,-0.996448,-0.707712,-0.57163,-0.4923,-0.443241,-0.361206,-0.36095,0.354902,0.563877,-0.235641,0.005712,0.353122,0.010859,0.010984,,0.028987,0.221424,-0.221424,0.221424,-0.001876,0.015207,0.008724,0.001052,-0.008111,0.001084,0.036054,-0.036054,0.036054,0.028755,0.023503,0.033316,0.031255,,0.017097,,0.012283,0.48661,0.03426,0.128199,-0.319311,-0.997813,,-0.712319,-0.575884,-0.118857,-0.445683,0.339945,,0.431809,0.249246,0.067706,0.422795,0.009341,0.04624,,0.180679,,0.041735,,0.01346,0.022791,0.11855,0.018118,,0.031701,0.091828,0.421196,-0.396841,0.703605,-0.134643,-0.267162,0.056834,,0.571502,0.002525
klow_close,,,-0.091791,-0.095255,,,-0.011312,-0.06964,-0.027746,,-0.058932,0.569388,-0.209215,0.056346,0.30562,0.053082,,-0.12056,-0.120875,-0.114541,1.0,-0.022663,,0.048791,0.045065,0.015554,,0.056163,,-0.0243,0.065583,,-0.008735,,,-0.020863,-0.00555,0.024757,0.064841,-0.009419,0.006645,-0.011357,-0.010459,0.008829,0.24636,0.291517,0.213857,0.161219,0.134296,0.550858,-0.019626,-0.071655,0.030218,0.540847,0.999179,0.568531,-0.114541,-0.058814,0.224994,0.231857,0.153969,-0.209333,-0.563976,-0.066249,-0.021041,-0.017838,-0.012762,0.067126,0.033418,,0.103569,0.325593,0.271238,,0.34018,-0.287128,-0.256241,,-0.326532,0.126084,0.11822,0.082186,0.064969,0.060803,-0.082026,0.140318,-0.055642,-0.097893,-0.001464,0.059428,-0.027684,0.359809,0.326313,,0.356234,-0.021453,0.021453,-0.021453,-0.200558,-0.091297,-0.09401,-0.098701,-0.110668,-0.115446,0.240715,-0.240715,0.240715,0.086292,0.184312,0.220451,0.271681,,0.550858,,0.472171,0.159695,0.061376,-0.029509,-0.015554,0.112787,,0.096118,0.055264,-0.065583,0.0243,-0.045654,,-0.064922,-0.053302,0.013335,-0.077438,0.120761,0.040226,,-0.023973,,0.333567,,0.117154,0.073159,-0.020054,0.278418,,0.337267,0.018392,-0.047985,0.030103,-0.058451,0.002198,-0.089968,0.256118,,-0.037522,0.032691
ksft_5h,,,-0.03416,-0.022558,,,-0.000934,0.152445,0.12596,,-0.026946,-0.017586,0.004278,-0.006433,-0.096128,0.068687,,0.000788,0.004071,0.079188,-0.022663,1.0,,-0.003125,0.106493,0.12633,,0.098429,,0.168524,0.034063,,0.105952,,,0.091877,0.160157,0.078863,-0.144392,-0.057416,0.054893,-0.0547,0.160063,0.076078,-0.026742,-0.076967,-0.103589,-0.127806,-0.153472,0.011357,-0.088181,0.078376,-0.096711,0.018946,-0.021149,-0.017465,0.079188,-0.027077,0.052942,-0.03148,0.032541,0.00411,-0.045201,-0.086321,-0.10824,-0.130424,-0.152397,-0.162264,-0.14415,,-0.133697,-0.094608,-0.091246,,-0.079182,-0.093007,-0.087882,,-0.083924,-0.07831,-0.104082,-0.124092,-0.144463,-0.171755,-0.130007,-0.135184,0.127803,0.1239,-0.105608,-0.013136,0.126006,0.00639,-0.002324,,0.0141,0.123797,-0.123797,0.123797,-0.01448,-0.011558,-0.018956,-0.019599,-0.027298,-0.015957,0.031073,-0.031073,0.031073,-0.003231,0.009144,0.027489,0.020458,,0.011357,,0.002808,0.125109,0.024565,0.261341,-0.12633,-0.079631,,-0.104993,-0.125149,-0.034063,-0.168524,0.152257,,0.171578,-0.003706,0.034924,-0.001724,-0.005371,0.025438,,0.024087,,0.026636,,0.007414,0.016471,0.1551,0.015854,,0.013128,0.020673,0.141142,-0.126977,0.014593,-0.031134,-0.01141,0.011978,,-0.001096,0.008733
ma_gap_10_40,0.020843,,,,,0.042674,,,,,,,,,,,-0.156567,,,,,,1.0,,,,,,0.854446,,,-0.171771,,,0.478797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.772833,,,,-0.446989,,,,-0.565519,,,,,,,,,,,,,,,,0.034419,,,,,,,,,,,,,,,,,,,,0.015801,,,,,,,-0.8911,,,,,,0.744437,,,,,,,0.026237,,0.148932,,0.16724,,,,,,,,,,,,,,-0.088028,,
ma_gap_20_80,,,-0.134566,-0.171427,,,-0.04874,0.138026,0.122955,,-0.001205,0.005342,0.006075,0.191601,-0.06329,0.707856,,-0.25604,0.030027,-0.000288,0.048791,-0.003125,,1.0,0.294649,0.159916,,0.411915,,0.047374,0.880361,,0.34498,,,0.603016,0.338425,0.378061,-0.021399,0.263679,-0.249033,0.254307,0.338278,0.370906,0.082539,0.056457,0.039465,0.022878,0.003256,0.095243,-0.222697,0.218558,-0.256172,0.094413,0.048717,0.005123,-0.000288,-0.001229,-0.01759,-0.001256,0.089776,0.00562,-0.05496,-0.034995,-0.031079,-0.037071,-0.050512,-0.072703,-0.234551,,-0.008691,0.060874,-0.084814,,0.097431,-0.071399,-0.182894,,-0.035564,0.005149,0.002037,-0.007331,-0.021438,-0.041827,-0.240927,-0.192475,0.136635,-0.19952,-0.421359,-0.024924,0.12291,0.082743,0.069099,,0.077314,0.346103,-0.346103,0.346103,-0.005738,-0.00029,-0.003326,-0.005533,-0.002766,-0.023802,0.029954,-0.029954,0.029954,-0.040568,0.282883,0.046446,0.019278,,0.095243,,0.094877,0.100687,0.017147,0.196056,-0.159916,0.000163,,-0.004409,-0.013584,-0.880361,-0.047374,0.412656,,0.175752,-0.008021,0.086585,-0.031336,0.054757,-0.103404,,0.295511,,0.09521,,0.085605,0.000558,0.323073,0.010541,,0.127013,0.161952,0.134802,-0.033266,0.005037,-0.012283,0.019448,0.06362,,-0.009864,0.067345
ma_gap_5_20,,,-0.070213,-0.035091,,,-0.007534,0.638691,0.645206,,0.050262,-0.037272,0.030359,0.441107,-0.236532,0.837892,,0.032957,0.08665,0.093565,0.045065,0.106493,,0.294649,1.0,0.868992,,0.871714,,0.550281,0.448338,,0.743254,,,0.561893,0.490755,0.932198,-0.398003,0.545156,-0.518454,0.52227,0.504308,0.414865,0.109327,-0.021647,-0.136515,-0.263838,-0.406831,0.178796,-0.559093,0.551679,-0.645026,0.18586,0.047127,-0.037297,0.093565,0.050192,0.035273,0.019322,0.176436,0.02993,-0.151089,-0.180642,-0.252705,-0.35428,-0.477214,-0.646315,-0.904267,,-0.291584,-0.332133,-0.51291,,-0.073605,-0.553573,-0.677496,,-0.322139,-0.083636,-0.169148,-0.274018,-0.397853,-0.536517,-0.848286,-0.786122,0.635378,0.074181,-0.863042,-0.018884,0.645081,0.168707,0.103195,,0.176329,0.746726,-0.746726,0.746726,-0.086744,-0.018893,-0.027773,-0.03519,-0.042625,-0.067577,0.11589,-0.11589,0.11589,0.021659,0.211467,0.205061,0.118834,,0.178796,,0.170301,0.065303,0.067938,0.359613,-0.868992,-0.093782,,-0.183689,-0.290561,-0.448338,-0.550281,0.76133,,0.672871,-0.066182,0.181305,-0.054593,0.023005,0.209519,,0.606269,,0.203714,,0.079812,0.056265,0.484242,0.088417,,0.169409,0.285632,0.819768,-0.573421,0.05642,-0.033509,0.057442,0.13893,,0.034827,0.044648
mom_10h,,,-0.064584,-0.023979,,,-0.002317,0.705274,0.655463,,0.214923,-0.055363,0.049931,0.372198,-0.202802,0.652842,,0.056851,0.03395,0.319311,0.015554,0.12633,,0.159916,0.868992,1.0,,0.746769,,0.720526,0.37814,,0.62287,,,0.511088,0.391518,0.703971,-0.622912,0.454011,-0.431259,0.435409,0.401333,0.372957,-0.006123,-0.250365,-0.391582,-0.504243,-0.60029,0.1875,-0.437586,0.426462,-0.501707,0.210467,0.022756,-0.055258,0.319311,0.214708,0.218691,0.149222,0.222356,0.049462,-0.286634,-0.413004,-0.506949,-0.594396,-0.674781,-0.835723,-0.920784,,-0.566442,-0.448539,-0.489466,,-0.22897,-0.701831,-0.675211,,-0.500266,-0.307565,-0.434038,-0.533819,-0.622696,-0.703094,-0.864748,-0.794357,0.677203,0.469578,-0.726077,0.002084,0.655377,0.182448,0.120529,,0.17415,0.628822,-0.628822,0.628822,-0.069774,-0.021122,-0.02797,-0.028719,-0.032455,-0.047111,0.122725,-0.122725,0.122725,0.047659,0.166364,0.193336,0.118605,,0.1875,,0.169095,0.23355,0.078955,0.320395,-1.0,-0.31968,,-0.449893,-0.552274,-0.37814,-0.720526,0.742805,,0.740092,-0.00069,0.158318,0.050579,0.022697,0.267056,,0.515081,,0.201662,,0.063544,0.057431,0.395423,0.086737,,0.161307,0.249953,0.859107,-0.663856,0.210465,-0.055175,0.036425,0.157833,,0.164775,0.034059
mom_120h,,-0.299633,,,-0.184896,,,,,0.298807,,,,,,,,,,,,,,,,,1.0,,,,,,,0.609027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013609,,,,,,,,,,,
mom_20h,,,-0.075419,-0.053987,,,-0.015062,0.604425,0.629454,,0.151115,-0.036843,0.037671,0.49065,-0.229617,0.87761,,-0.034391,0.074902,0.237408,0.056163,0.098429,,0.411915,0.871714,0.746769,,1.0,,0.54654,0.504992,,0.82959,,,0.599529,0.548214,0.889771,-0.466082,0.610316,-0.580051,0.585075,0.562255,0.416043,0.042223,-0.155966,-0.269716,-0.356937,-0.431899,0.203531,-0.567003,0.560228,-0.65456,0.221551,0.061878,-0.036885,0.237408,0.150937,0.162141,0.104764,0.214459,0.037129,-0.257802,-0.333636,-0.398973,-0.460757,-0.517483,-0.621205,-0.853482,,-0.422485,-0.254492,-0.473254,,-0.112644,-0.538954,-0.719425,,-0.405518,-0.226463,-0.322363,-0.399423,-0.465982,-0.526055,-0.833863,-0.724486,0.589086,0.05456,-0.975168,-0.003653,0.629334,0.205327,0.166247,,0.191776,0.83009,-0.83009,0.83009,-0.074912,-0.018395,-0.021898,-0.024642,-0.028479,-0.057733,0.127754,-0.127754,0.127754,0.020466,0.283922,0.193717,0.117828,,0.203531,,0.192043,0.164002,0.072866,0.407051,-0.746769,-0.237723,,-0.338229,-0.417874,-0.504992,-0.54654,0.766097,,0.650608,-0.002369,0.206427,0.000584,0.045444,0.145446,,0.675591,,0.216498,,0.113441,0.039958,0.540899,0.088649,,0.231287,0.328737,0.768005,-0.501561,0.152018,-0.044839,-0.003423,0.176731,,0.110141,0.052913
mom_40h,0.051033,,,,,0.040736,,,,,,,,,,,-0.150517,,,,,,0.854446,,,,,,1.0,,,-0.067938,,,0.413517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.699306,,,,-0.328136,,,,-0.561723,,,,,,,,,,,,,,,,0.113334,,,,,,,,,,,,,,,,,,,,0.088522,,,,,,,-0.775459,,,,,,0.741287,,,,,,,0.0204,,0.262482,,0.216879,,,,,,,,,,,,,,-0.01934,,
