factor_id,horizon,month,rank_ic,rolling_ic_3m,rolling_ic_6m,long_short_return,rolling_ls_3m,rolling_ls_6m
amihud_illiquidity_20h,24h,2026-04,0.056758,0.025282,0.029043,-0.00962298,-0.00517541,-0.00502586
amihud_illiquidity_20h,24h,2026-05,0.001491,0.024568,0.024243,-7.496e-05,-0.00520573,-0.00476423
amihud_illiquidity_20h,24h,2026-06,-0.005424,0.017608,0.018601,0.00141444,-0.00276117,-0.00323199
amihud_illiquidity_20h,4h,2024-06,-0.015884,-0.015884,-0.015884,0.00029216,0.00029216,0.00029216
amihud_illiquidity_20h,4h,2024-07,0.010331,-0.002777,-0.002777,1.588e-05,0.00015402,0.00015402
amihud_illiquidity_20h,4h,2024-08,0.012072,0.002173,0.002173,-0.00012509,6.098e-05,6.098e-05
amihud_illiquidity_20h,4h,2024-09,0.019557,0.013987,0.006519,-0.0004304,-0.00017987,-6.186e-05
amihud_illiquidity_20h,4h,2024-10,0.010223,0.013951,0.00726,-4.468e-05,-0.00020006,-5.843e-05
amihud_illiquidity_20h,4h,2024-11,0.026441,0.01874,0.010457,-0.00031025,-0.00026178,-0.0001004
amihud_illiquidity_20h,4h,2024-12,0.010832,0.015832,0.014909,-0.00057222,-0.00030905,-0.00024446
amihud_illiquidity_20h,4h,2025-01,0.003888,0.01372,0.013835,0.00027359,-0.00020296,-0.00020151
amihud_illiquidity_20h,4h,2025-02,0.016219,0.010313,0.014527,-0.0005653,-0.00028798,-0.00027488
amihud_illiquidity_20h,4h,2025-03,0.002449,0.007519,0.011675,-0.00031165,-0.00020112,-0.00025509
amihud_illiquidity_20h,4h,2025-04,0.016777,0.011815,0.012767,-0.00088771,-0.00058822,-0.00039559
amihud_illiquidity_20h,4h,2025-05,-0.004209,0.005006,0.007659,-0.00035768,-0.00051901,-0.0004035
amihud_illiquidity_20h,4h,2025-06,0.001843,0.004804,0.006161,-0.00010376,-0.00044972,-0.00032542
amihud_illiquidity_20h,4h,2025-07,-0.001778,-0.001381,0.005217,-0.00044847,-0.0003033,-0.00044576
amihud_illiquidity_20h,4h,2025-08,0.008731,0.002932,0.003969,-0.00056397,-0.00037207,-0.00044554
amihud_illiquidity_20h,4h,2025-09,-0.001713,0.001747,0.003275,0.00065483,-0.0001192,-0.00028446
amihud_illiquidity_20h,4h,2025-10,0.005496,0.004171,0.001395,-0.00113208,-0.00034707,-0.00032519
amihud_illiquidity_20h,4h,2025-11,0.014965,0.006249,0.004591,-0.00025561,-0.00024429,-0.00030818
amihud_illiquidity_20h,4h,2025-12,0.010248,0.010236,0.005991,-0.00169818,-0.00102862,-0.00057391
amihud_illiquidity_20h,4h,2026-01,0.011128,0.012113,0.008142,-0.00075807,-0.00090395,-0.00062551
amihud_illiquidity_20h,4h,2026-02,0.005782,0.009053,0.007651,-0.00060075,-0.001019,-0.00063164
amihud_illiquidity_20h,4h,2026-03,0.003231,0.006714,0.008475,-0.00100344,-0.00078742,-0.00090802
amihud_illiquidity_20h,4h,2026-04,0.018526,0.00918,0.010647,-0.00122031,-0.0009415,-0.00092273
amihud_illiquidity_20h,4h,2026-05,-0.003644,0.006038,0.007545,-2.5e-06,-0.00074208,-0.00088054
amihud_illiquidity_20h,4h,2026-06,0.001404,0.005429,0.006071,0.00026228,-0.00032018,-0.0005538
amihud_illiquidity_20h,72h,2024-06,-0.066431,-0.066431,-0.066431,0.00672238,0.00672238,0.00672238
amihud_illiquidity_20h,72h,2024-07,0.023747,-0.021342,-0.021342,0.00043173,0.00357705,0.00357705
amihud_illiquidity_20h,72h,2024-08,0.044126,0.000481,0.000481,-0.00825065,-0.00036551,-0.00036551
amihud_illiquidity_20h,72h,2024-09,0.044137,0.037337,0.011395,-0.00718121,-0.00500004,-0.00206944
amihud_illiquidity_20h,72h,2024-10,0.020868,0.036377,0.01329,0.00250158,-0.00431009,-0.00115523
amihud_illiquidity_20h,72h,2024-11,0.061743,0.04225,0.021365,0.00052538,-0.00138475,-0.00087513
amihud_illiquidity_20h,72h,2024-12,0.010111,0.030907,0.034122,-0.00941033,-0.00212779,-0.00356392
amihud_illiquidity_20h,72h,2025-01,-0.052791,0.006354,0.021366,0.00347978,-0.00180172,-0.00305591
amihud_illiquidity_20h,72h,2025-02,0.046486,0.001268,0.021759,-0.00452703,-0.00348586,-0.00243531
amihud_illiquidity_20h,72h,2025-03,-0.043343,-0.016549,0.007179,-0.00102539,-0.00069088,-0.00140933
