factor_id,horizon,n_windows,window_ls_mean,window_ls_std,window_ls_win_rate,window_ls_ann_edge,window_ls_ann_vol,window_ls_sharpe,bars_per_year,overlap_warning,nonoverlap_available,nonoverlap_n_windows,nonoverlap_window_ls_win_rate
rev_3h,72h,25,-0.0022363368,0.0050645864,0.44,-0.272087644,0.0558637119,-4.8705614923,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.6666666667
rev_72h,1h,25,-2.85712e-05,0.0001988801,0.44,-0.250283712,0.0186141574,-13.4458791856,8760.0,LOW_OVERLAP,True,25,0.44
rev_72h,24h,25,-0.0011477228,0.0046221235,0.44,-0.418918822,0.0883055455,-4.7439695858,365.0,HIGH_OVERLAP,True,25,0.44
rev_72h,4h,25,-9.81512e-05,0.0007765415,0.4,-0.214951128,0.036340151,-5.9149761904,2190.0,MODERATE_OVERLAP,True,25,0.4
rev_72h,72h,25,-0.004667366,0.0152141034,0.44,-0.5678628633,0.1678155375,-3.3838515291,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.4444444444
reversal_5h,1h,25,1.63792e-05,0.0002510164,0.48,0.143481792,0.0234938477,6.1072070263,8760.0,LOW_OVERLAP,True,25,0.48
reversal_5h,24h,25,-0.0012613904,0.002476916,0.28,-0.460407496,0.0473214137,-9.7293690035,365.0,HIGH_OVERLAP,True,25,0.28
reversal_5h,4h,25,-0.000111118,0.0007273471,0.4,-0.24334842,0.0340379792,-7.1493204197,2190.0,MODERATE_OVERLAP,True,25,0.4
reversal_5h,72h,25,-0.002915038,0.0060370517,0.4,-0.3546629567,0.0665902584,-5.3260486648,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.6666666667
rsi_14h,1h,25,-8.47076e-05,0.0002194049,0.28,-0.742038576,0.0205351735,-36.1350040503,8760.0,LOW_OVERLAP,True,25,0.28
rsi_14h,24h,25,-0.0020935516,0.004613139,0.4,-0.764146334,0.0881338968,-8.6702887465,365.0,HIGH_OVERLAP,True,25,0.4
rsi_14h,4h,25,-0.0004245864,0.0008402646,0.28,-0.929844216,0.0393222287,-23.6467831765,2190.0,MODERATE_OVERLAP,True,25,0.28
