factor_id,family,lifecycle_status,required_columns,expected_direction,best_horizon,rankic_mean,rankic_std,rankic_ir,rankic_t_stat,monthly_ic_positive_rate,long_short_mean,long_short_std,long_short_sharpe,long_short_annualized_return,long_short_annualized_vol,long_short_max_drawdown,long_short_positive_month_rate,coverage_rate,redundancy_level,nearest_redundant_factor,redundancy_source,decision_bucket,recommended_action,source_warning
q158_rank_close_20h,,,,,4h,-0.03161128,0.13674312,-0.231173,-30.8276,0.04,0.00024363,0.00066847,1.26252349,0.5335497,0.00231565,-0.00133811,0.64,0.99847599,NEAR_DUPLICATE,bb_zscore_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_cntp_20h,,,,,4h,-0.01198144,0.11465101,-0.104504,-13.9363,0.16,0.00033409,0.00078503,1.47423883,0.7316571,0.00271942,-0.00141483,0.56,0.99839578,NEAR_DUPLICATE,q158_cntd_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_cntn_20h,,,,,4h,-0.00974907,0.11750187,-0.082969,11.0645,0.2,0.00025448,0.00079956,1.10253712,0.5573112,0.00276976,-0.00180834,0.56,0.99839578,NEAR_DUPLICATE,q158_cntd_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_sumd_20h,,,,,4h,-0.0266345,0.14155315,-0.188159,-25.0923,0.08,0.00047704,0.00089043,1.85586181,1.0447176,0.00308454,-0.00113494,0.72,0.99839578,NEAR_DUPLICATE,mom_vol_adjusted_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_beta_20h,,,,,24h,-0.02522843,0.16562934,-0.152319,-20.3019,0.12,0.00153716,0.00423064,1.25864608,0.5610634,0.01465537,-0.00582181,0.64,0.99847599,HIGH_REDUNDANCY,ma_gap_5_20,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_rsqr_20h,,,,,24h,0.00425135,0.12559654,0.033849,4.5116,0.48,0.00071243,0.00266333,0.92663317,0.26003695,0.00922605,-0.00588668,0.48,0.99847599,LOW_REDUNDANCY,q158_std_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_resi_20h,,,,,1h,-0.03012537,0.15881386,-0.18969,-25.2985,0.0,-4.677e-05,0.00030532,-0.53064337,-0.4097052,0.00105766,-0.00151085,0.48,0.99847599,MODERATE_REDUNDANCY,reversal_5h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_imax_20h,,,,,4h,0.01307592,0.12028081,0.108712,14.4978,0.84,-0.00030301,0.00073426,-1.42954462,-0.6635919,0.00254355,-0.00755431,0.36,0.99847599,HIGH_REDUNDANCY,q158_imxd_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_imin_20h,,,,,24h,-0.01377994,0.11992229,-0.114907,-15.3021,0.2,0.00140622,0.00260999,1.86640139,0.5132703,0.00904127,-0.00309262,0.72,0.99847599,HIGH_REDUNDANCY,q158_imxd_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_imxd_20h,,,,,4h,0.01583179,0.12455942,0.127102,16.9504,0.88,-0.00042669,0.00080163,-1.84386502,-0.9344511,0.00277693,-0.0107565,0.36,0.99847599,HIGH_REDUNDANCY,q158_imin_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_roc_20h,,,,,4h,0.0300299,0.16473251,0.182295,24.3102,0.96,-0.00056203,0.00092299,-2.10937175,-1.2308457,0.00319733,-0.01396639,0.28,0.99839578,NEAR_DUPLICATE,mom_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_ma_20h,,,,,4h,0.03481529,0.16576854,0.210023,28.0088,0.96,-0.00036567,0.00068228,-1.85659559,-0.8008173,0.00236349,-0.0091407,0.28,0.99847599,NEAR_DUPLICATE,vwap_dev_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_std_20h,,,,,72h,0.08279118,0.18672917,0.443376,-59.0156,0.96,-0.00472491,0.01654072,-0.9895318,-0.57486405,0.05729873,-0.16299828,0.32,0.99847599,MODERATE_REDUNDANCY,volatility_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_max_20h,,,,,72h,-0.06299196,0.17502239,-0.359908,-47.9056,0.04,0.00070791,0.01250891,0.19604204,0.08612905,0.04333214,-0.05804415,0.64,0.99847599,HIGH_REDUNDANCY,q158_qtlu_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_min_20h,,,,,72h,0.06744465,0.15946322,0.422948,56.2966,0.96,-0.00645787,0.01457825,-1.53452698,-0.78570752,0.05050054,-0.17654732,0.36,0.99847599,HIGH_REDUNDANCY,q158_qtld_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_cntd_20h,,,,,4h,-0.01119926,0.1175653,-0.09526,-12.7035,0.2,0.00030484,0.00078649,1.34267026,0.6675996,0.00272448,-0.00149504,0.56,0.99839578,NEAR_DUPLICATE,q158_cntn_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_corr_20h,,,,,24h,-0.04418339,0.1197273,-0.369034,-49.1868,0.04,0.00105596,0.00345896,1.05752965,0.3854254,0.01198219,-0.00882549,0.64,0.99580159,LOW_REDUNDANCY,q158_cord_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_cord_20h,,,,,24h,-0.03973957,0.1157685,-0.343268,-45.7255,0.08,0.00124767,0.00393327,1.0988454,0.45539955,0.01362525,-0.00787316,0.56,0.99495184,NEAR_DUPLICATE,price_volume_corr_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,UNKNOWN,,
q158_sump_20h,,,,,4h,-0.02674994,0.13967719,-0.191513,-25.5395,0.08,0.0004628,0.00089606,1.78915053,1.013532,0.00310404,-0.00122697,0.72,0.99839578,UNKNOWN,,unavailable_or_not_run,UNKNOWN,,
q158_sumn_20h,,,,,4h,-0.02631445,0.14126304,-0.18628,24.8416,0.04,0.000474,0.0008844,1.85660806,1.03806,0.00306365,-0.0010906,0.72,0.99839578,UNKNOWN,,unavailable_or_not_run,UNKNOWN,,
q158_vma_20h,,,,,1h,0.00722455,0.1128512,0.064018,8.538,0.92,-6.405e-05,0.00018271,-1.21435996,-0.561078,0.00063293,-0.00172227,0.36,0.99847599,UNKNOWN,,unavailable_or_not_run,UNKNOWN,,
q158_vstd_20h,,,,,1h,0.00667041,0.1108187,0.060192,8.0277,0.84,-4.338e-05,0.00016905,-0.88892474,-0.3800088,0.00058561,-0.00114966,0.52,0.99847599,UNKNOWN,,unavailable_or_not_run,UNKNOWN,,
q158_wvma_20h,,,,,4h,0.00443001,0.10996498,0.040286,-5.3724,0.68,-2.057e-05,0.00060256,-0.11825639,-0.0450483,0.00208733,-0.00377107,0.48,0.99839578,UNKNOWN,,unavailable_or_not_run,UNKNOWN,,
q158_vsump_20h,,,,,24h,-0.00656136,0.11298516,-0.058073,-7.74,0.36,0.00038995,0.00222283,0.60770568,0.14233175,0.00770011,-0.00732347,0.6,0.99839578,UNKNOWN,,unavailable_or_not_run,UNKNOWN,,
q158_vsumn_20h,,,,,4h,0.00586669,0.11279562,0.052012,6.9361,0.72,-0.00027852,0.0006252,-1.5432207,-0.6099588,0.00216576,-0.00719147,0.28,0.99839578,UNKNOWN,,unavailable_or_not_run,UNKNOWN,,
q158_vsumd_20h,,,,,24h,-0.00601603,0.11319758,-0.053146,-7.0834,0.4,0.00047807,0.00215218,0.76949096,0.17449555,0.00745537,-0.00631782,0.6,0.99839578,UNKNOWN,,unavailable_or_not_run,UNKNOWN,,
vwap_dev_20h,alpha158_ohlcv,DIAGNOSTIC_ONLY,"c,l,o,s,e,;, ,v,o,l,u,m,e",conditional,4h,-0.02727757,0.16307461,-0.167271,-22.3073,0.04,0.00039661,0.00073057,1.88058275,0.8685759,0.00253077,-0.00095746,0.68,0.9958022,NEAR_DUPLICATE,q158_ma_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,CONDITIONAL_DIRECTION_REVIEW,,
wvma_20h,alpha158_ohlcv,CANDIDATE,"c,l,o,s,e,;, ,v,o,l,u,m,e",negative,72h,0.07627881,0.17193337,0.443653,-59.0509,0.92,-0.00562728,0.01530846,-1.27337889,-0.6846524,0.05303006,-0.17194076,0.36,0.99572199,HIGH_REDUNDANCY,volatility_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,DIRECTION_REVIEW_REQUIRED,,
vol_ret_corr_20h,alpha158_ohlcv,DIAGNOSTIC_ONLY,"c,l,o,s,e,;, ,v,o,l,u,m,e",conditional,24h,-0.03767071,0.11573553,-0.32549,-43.3818,0.08,0.00132053,0.00361315,1.26605596,0.48199345,0.01251632,-0.00648399,0.56,0.99572199,NEAR_DUPLICATE,q158_cord_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,CONDITIONAL_DIRECTION_REVIEW,,
intraday_ret,alpha158_ohlcv,DIAGNOSTIC_ONLY,"o,p,e,n,;, ,c,l,o,s,e",conditional,1h,-0.03655527,0.15871176,-0.230325,-30.7335,0.0,-0.00011805,0.00027752,-1.47354135,-1.034118,0.00096136,-0.00331242,0.28,1.0,NEAR_DUPLICATE,rev_1h,PM18_FACTOR_REDUNDANCY_SUMMARY,CONDITIONAL_DIRECTION_REVIEW,,
klow_close,alpha158_ohlcv,CANDIDATE,"o,p,e,n,;, ,l,o,w,;, ,c,l,o,s,e",positive,72h,-0.05476646,0.14736285,-0.371644,-49.4928,0.04,0.00315463,0.01145757,0.95377631,0.38381332,0.03969019,-0.04096845,0.6,1.0,NEAR_DUPLICATE,q158_klow_open,PM18_FACTOR_REDUNDANCY_SUMMARY,DIRECTION_REVIEW_REQUIRED,,
ksft_5h,alpha158_ohlcv,DIAGNOSTIC_ONLY,"c,l,o,s,e",conditional,24h,-0.00740877,0.10506482,-0.070516,-9.4025,0.24,0.00030145,0.00142005,0.73536385,0.11002925,0.0049192,-0.00553189,0.48,0.99959895,LOW_REDUNDANCY,realized_skew_20h,PM18_FACTOR_REDUNDANCY_SUMMARY,CONDITIONAL_DIRECTION_REVIEW,,
tech_macd,technical,CANDIDATE,"c,l,o,s,e",positive,4h,-0.01426664,0.1212813,-0.117633,-15.6955,0.04,0.00012041,0.00058676,0.71087408,0.2636979,0.0020326,-0.00140643,0.52,1.0,MODERATE_REDUNDANCY,rev_10h,PM18_FACTOR_REDUNDANCY_SUMMARY,TAIL_OR_MONOTONICITY_REVIEW_REQUIRED,,
tech_atr,technical,DIAGNOSTIC_ONLY,"h,i,g,h,;, ,l,o,w,;, ,c,l,o,s,e",conditional,72h,0.02270445,0.13529779,0.167811,22.3397,0.68,0.00159195,0.01093519,0.50430551,0.19368725,0.03788061,-0.04317618,0.52,0.99887705,MODERATE_REDUNDANCY,xs_rank_vol,PM18_FACTOR_REDUNDANCY_SUMMARY,CONDITIONAL_DIRECTION_REVIEW,,
mom_5h,momentum,CANDIDATE,"c,l,o,s,e",positive,1h,-0.03232238,0.16119371,-0.200519,-26.7533,0.04,-8.35e-06,0.0002554,-0.11325469,-0.073146,0.00088473,-0.00111669,0.52,0.99959895,NEAR_DUPLICATE,reversal_5h,PM18_FACTOR_REDUNDANCY_SUMMARY,DIRECTION_REVIEW_REQUIRED,,
mom_10h,momentum,CANDIDATE,"c,l,o,s,e",positive,4h,-0.02989811,0.16127079,-0.185391,-24.73,0.08,0.0003204,0.00071563,1.55093855,0.701676,0.00247902,-0.00136097,0.6,0.99919789,NEAR_DUPLICATE,rev_10h,PM18_FACTOR_REDUNDANCY_SUMMARY,DIRECTION_REVIEW_REQUIRED,,
mom_40h,momentum,CANDIDATE,"c,l,o,s,e",positive,24h,-0.02843374,0.1687171,-0.168529,-22.4492,0.28,0.00156197,0.00465689,1.1618962,0.57011905,0.01613194,-0.01037181,0.56,0.99679157,HIGH_REDUNDANCY,rsi_28h,PM18_FACTOR_REDUNDANCY_SUMMARY,DIRECTION_REVIEW_REQUIRED,,
rev_3h,reversal,CANDIDATE,"c,l,o,s,e",positive,1h,0.03438465,0.16209292,0.212129,28.304,1.0,2.854e-05,0.00031625,0.31261806,0.2500104,0.00109552,-0.00110709,0.52,0.99975937,MODERATE_REDUNDANCY,rev_2h,PM18_FACTOR_REDUNDANCY_SUMMARY,DIRECTION_REVIEW_REQUIRED,,
rev_10h,reversal,CANDIDATE,"c,l,o,s,e",positive,4h,0.02989811,0.16127079,0.185391,24.73,0.92,-0.00031256,0.0007087,-1.5277827,-0.6845064,0.00245501,-0.0079484,0.4,0.99919789,NEAR_DUPLICATE,mom_10h,PM18_FACTOR_REDUNDANCY_SUMMARY,DIRECTION_REVIEW_REQUIRED,,
