factor_id,horizon,horizon_hours,n_months,rankic_mean,rankic_std,naive_t_stat,naive_n_periods,monthly_naive_t_stat,robust_standard_error,robust_t_stat,robust_p_value,effective_n_proxy,nw_lag,overlap_ratio,tstat_inflation_ratio,significance_class_naive,significance_class_robust,overlap_warning
wq101_alpha101,72h,72,25,-0.00276419,0.00709364,-3.4747,17735,-1.9484,0.00121818,-2.2691,0.023261,29.12,5,0.1,1.5313,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
wq101_alpha12,1h,1,25,0.00694446,0.0052879,9.5362,17804,6.5664,0.00117392,5.9156,0.0,15.96,1,0.0014,1.612,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,NO_MAJOR_OVERLAP
wq101_alpha12,4h,4,25,0.0083246,0.00460552,11.308,17802,9.0376,0.00108003,7.7078,0.0,19.44,4,0.0056,1.4671,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,MODERATE_OVERLAP
wq101_alpha12,24h,24,25,0.00743813,0.00549495,10.2673,17782,6.7681,0.00135852,5.4752,0.0,11.99,5,0.0333,1.8752,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
wq101_alpha12,72h,72,25,0.00642597,0.00435087,9.0301,17734,7.3847,0.0005981,10.7439,0.0,38.41,5,0.1,0.8405,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,SEVERE_OVERLAP
wq101_alpha53,1h,1,25,0.01829018,0.00652286,22.033,17797,14.0201,0.00143573,12.7392,0.0,16.41,1,0.0014,1.7295,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,NO_MAJOR_OVERLAP
wq101_alpha53,4h,4,25,0.01377486,0.00605775,16.7732,17795,11.3696,0.00093064,14.8014,0.0,53.79,4,0.0056,1.1332,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,MODERATE_OVERLAP
wq101_alpha53,24h,24,25,0.00552208,0.00310375,6.5648,17775,8.8958,0.00055374,9.9723,0.0,34.82,5,0.0333,0.6583,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
wq101_alpha53,72h,72,25,0.00297155,0.00243123,3.6037,17727,6.1112,0.00044272,6.712,0.0,42.23,5,0.1,0.5369,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,SEVERE_OVERLAP
wvma_20h,1h,1,25,-0.02954696,0.01039508,-22.4941,17786,-14.212,0.002177,-13.5724,0.0,19.47,1,0.0014,1.6573,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
wvma_20h,4h,4,25,-0.04353012,0.01468442,-33.4948,17784,-14.8219,0.00267527,-16.2713,0.0,27.48,4,0.0056,2.0585,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
wvma_20h,24h,24,25,-0.06733962,0.02568936,-52.8308,17764,-13.1065,0.00373443,-18.0321,0.0,74.54,5,0.0333,2.9298,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
