factor_id,horizon,horizon_hours,n_months,rankic_mean,rankic_std,naive_t_stat,naive_n_periods,monthly_naive_t_stat,robust_standard_error,robust_t_stat,robust_p_value,effective_n_proxy,nw_lag,overlap_ratio,tstat_inflation_ratio,significance_class_naive,significance_class_robust,overlap_warning
amihud_illiquidity_20h,24h,24,25,0.01234589,0.02236085,11.6078,17744,2.7606,0.00406478,3.0373,0.002387,33.72,5,0.0333,3.8218,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
amihud_illiquidity_20h,72h,72,25,0.01674373,0.04179336,15.8534,17696,2.0032,0.00837591,1.999,0.045605,21.82,5,0.1,7.9305,ROBUST_SIGNIFICANT_POSITIVE,NAIVE_ONLY_SIGNIFICANT,SEVERE_OVERLAP
bb_zscore_20h,1h,1,25,-0.03031699,0.01006083,-29.5279,17787,-15.0668,0.00217414,-13.9443,0.0,17.46,1,0.0014,2.1176,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
bb_zscore_20h,4h,4,25,-0.03301546,0.01380058,-31.7978,17785,-11.9616,0.00247784,-13.3243,0.0,26.15,4,0.0056,2.3865,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
bb_zscore_20h,24h,24,25,-0.02403863,0.0215147,-23.9201,17765,-5.5866,0.00436973,-5.5012,0.0,23.22,5,0.0333,4.3482,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
bb_zscore_20h,72h,72,25,-0.01395424,0.02202604,-14.8459,17717,-3.1677,0.00330005,-4.2285,2.4e-05,56.15,5,0.1,3.5109,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
breakout_dist_20h,1h,1,25,-0.02129245,0.00953209,-20.9245,17787,-11.1688,0.00194757,-10.9328,0.0,21.29,1,0.0014,1.9139,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
breakout_dist_20h,4h,4,25,-0.02030166,0.01355749,-19.6287,17785,-7.4873,0.00218766,-9.2801,0.0,58.51,4,0.0056,2.1151,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
breakout_dist_20h,24h,24,25,-0.00694134,0.0217858,-7.5344,17765,-1.5931,0.00390129,-1.7792,0.0752,54.43,5,0.0333,4.2346,ROBUST_SIGNIFICANT_NEGATIVE,NAIVE_ONLY_SIGNIFICANT,HIGH_OVERLAP
breakout_dist_20h,72h,72,25,0.00338312,0.02468071,3.2838,17717,0.6854,0.00294838,1.1475,0.251195,25.0,5,0.1,2.8618,ROBUST_SIGNIFICANT_POSITIVE,NAIVE_ONLY_SIGNIFICANT,SEVERE_OVERLAP
breakout_dist_48h,1h,1,25,-0.01728857,0.00968682,-16.7973,17759,-8.9238,0.00204591,-8.4503,0.0,18.89,1,0.0014,1.9878,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
breakout_dist_48h,4h,4,25,-0.01920878,0.01453924,-18.3783,17757,-6.6058,0.00225487,-8.5188,0.0,186.36,4,0.0056,2.1574,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
breakout_dist_48h,24h,24,25,-0.00979661,0.02719928,-9.8946,17737,-1.8009,0.00416838,-2.3502,0.018762,83.59,5,0.0333,4.2101,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
breakout_dist_48h,72h,72,25,0.00230804,0.03366974,2.5016,17689,0.3427,0.00439621,0.525,0.599579,25.0,5,0.1,4.7649,ROBUST_SIGNIFICANT_POSITIVE,NAIVE_ONLY_SIGNIFICANT,SEVERE_OVERLAP
candle_body,1h,1,25,-0.03131531,0.01137569,-32.6917,17805,-13.7641,0.00253105,-12.3724,0.0,15.84,1,0.0014,2.6423,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
candle_body,4h,4,25,-0.0229097,0.01051412,-24.1017,17803,-10.8947,0.00179192,-12.785,0.0,27.02,4,0.0056,1.8852,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
candle_body,24h,24,25,-0.00978351,0.00762829,-10.8445,17783,-6.4127,0.00184609,-5.2996,0.0,11.88,5,0.0333,2.0463,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
candle_body,72h,72,25,-0.00386812,0.00863905,-4.596,17735,-2.2387,0.00181352,-2.1329,0.03293,18.26,5,0.1,2.1548,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
candle_wick_lower,1h,1,25,-0.00617729,0.00678757,-7.3172,17805,-4.5504,0.00165503,-3.7324,0.00019,11.92,1,0.0014,1.9604,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
candle_wick_lower,4h,4,25,-0.00034351,0.00676718,-0.4529,17803,-0.2538,0.00131889,-0.2605,0.794512,637.78,4,0.0056,1.7389,NOT_SIGNIFICANT,NOT_SIGNIFICANT,MODERATE_OVERLAP
candle_wick_lower,24h,24,25,0.00348444,0.00527991,4.1427,17783,3.2997,0.00094067,3.7042,0.000212,25.0,5,0.0333,1.1184,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
candle_wick_lower,72h,72,25,0.00233616,0.00612385,2.6144,17735,1.9074,0.00104569,2.2341,0.025478,25.0,5,0.1,1.1702,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,SEVERE_OVERLAP
candle_wick_upper,1h,1,25,0.0099752,0.00896108,11.9638,17805,5.5658,0.00209463,4.7623,2e-06,13.54,1,0.0014,2.5122,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,NO_MAJOR_OVERLAP
candle_wick_upper,4h,4,25,0.00345872,0.00511647,4.2813,17803,3.38,0.00083493,4.1425,3.4e-05,24.75,4,0.0056,1.0335,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,MODERATE_OVERLAP
candle_wick_upper,24h,24,25,-0.00519057,0.00578378,-6.7479,17783,-4.4872,0.00133526,-3.8873,0.000101,20.96,5,0.0333,1.7359,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
candle_wick_upper,72h,72,25,-0.00680673,0.00823884,-9.2554,17735,-4.1309,0.00163782,-4.156,3.2e-05,25.03,5,0.1,2.227,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
clv_20h,1h,1,25,-0.00337366,0.00805467,-3.5301,17787,-2.0942,0.00160943,-2.0962,0.036066,23.16,1,0.0014,1.6841,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
clv_20h,4h,4,25,-0.00052954,0.01266392,-0.7263,17785,-0.2091,0.0026031,-0.2034,0.838803,36.84,4,0.0056,3.5704,NOT_SIGNIFICANT,NOT_SIGNIFICANT,MODERATE_OVERLAP
clv_20h,24h,24,25,0.01209661,0.0248122,11.6405,17765,2.4376,0.00598683,2.0205,0.043328,17.48,5,0.0333,5.7611,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
clv_20h,72h,72,25,0.01687343,0.03080932,18.4506,17717,2.7384,0.00451879,3.7341,0.000188,25.0,5,0.1,4.9412,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,SEVERE_OVERLAP
downside_vol_20h,1h,1,25,-0.02857554,0.01174622,-18.1614,17786,-12.1637,0.00251719,-11.3522,0.0,17.96,1,0.0014,1.5998,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
downside_vol_20h,4h,4,25,-0.0438979,0.0151673,-28.1614,17784,-14.4712,0.00349804,-12.5493,0.0,15.55,4,0.0056,2.2441,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
downside_vol_20h,24h,24,25,-0.07337876,0.03193715,-47.5026,17764,-11.488,0.00563369,-13.025,0.0,38.72,5,0.0333,3.647,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
downside_vol_20h,72h,72,25,-0.08869884,0.05237835,-57.3779,17716,-8.4671,0.00643788,-13.7776,0.0,239.33,5,0.1,4.1646,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
ema_12_26_gap,1h,1,25,-0.01472204,0.00871684,-12.4224,17805,-8.4446,0.00195751,-7.5208,0.0,15.37,1,0.0014,1.6517,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
ema_12_26_gap,4h,4,25,-0.02393086,0.01508238,-19.8085,17803,-7.9334,0.00324447,-7.3759,0.0,23.7,4,0.0056,2.6856,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
ema_12_26_gap,24h,24,25,-0.02700705,0.03230729,-22.3116,17783,-4.1797,0.00701662,-3.849,0.000119,20.53,5,0.0333,5.7967,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
ema_12_26_gap,72h,72,25,-0.0178452,0.04216677,-14.0933,17735,-2.116,0.00598785,-2.9802,0.00288,152.34,5,0.1,4.7289,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
funding_rate_change_24h,1h,1,24,-0.00044712,0.01604205,3.6591,16751,-0.1365,0.00335691,-0.1332,0.894039,20.11,1,0.0014,27.4717,ROBUST_SIGNIFICANT_NEGATIVE,NAIVE_ONLY_SIGNIFICANT,NO_MAJOR_OVERLAP
funding_rate_change_24h,4h,4,24,0.00415231,0.00901957,6.9488,16752,2.2553,0.00190371,2.1812,0.029171,44.35,4,0.0056,3.1858,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,MODERATE_OVERLAP
funding_rate_change_24h,24h,24,24,0.00986124,0.01842943,9.0069,16752,2.6214,0.0030462,3.2372,0.001207,40.91,4,0.0333,2.7823,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
funding_rate_change_24h,72h,72,24,0.00044143,0.01151761,2.1448,16752,0.1878,0.0027322,0.1616,0.871648,13.62,4,0.1,13.2751,ROBUST_SIGNIFICANT_POSITIVE,NAIVE_ONLY_SIGNIFICANT,SEVERE_OVERLAP
funding_rate_level_20h,1h,1,24,0.01189372,0.009327,12.4527,16756,6.2471,0.00189765,6.2676,0.0,22.36,1,0.0014,1.9868,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,NO_MAJOR_OVERLAP
funding_rate_level_20h,4h,4,24,0.01600279,0.01622243,22.3538,16757,4.8327,0.0033975,4.7102,2e-06,21.67,4,0.0056,4.7459,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,MODERATE_OVERLAP
funding_rate_level_20h,24h,24,24,0.03532011,0.01833788,40.6982,16757,9.4358,0.00485237,7.2789,0.0,11.09,4,0.0333,5.5912,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
funding_rate_level_20h,72h,72,24,0.04706027,0.02952207,54.1697,16757,7.8093,0.00665015,7.0766,0.0,17.59,4,0.1,7.6548,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,SEVERE_OVERLAP
funding_rate_zscore_80h,1h,1,24,-0.00118248,0.0316979,6.3096,16696,-0.1828,0.00654518,-0.1807,0.856632,21.14,1,0.0014,34.9246,ROBUST_SIGNIFICANT_NEGATIVE,NAIVE_ONLY_SIGNIFICANT,NO_MAJOR_OVERLAP
funding_rate_zscore_80h,4h,4,24,0.00016699,0.04376387,10.664,16697,0.0187,0.00957151,0.0174,0.98608,19.91,4,0.0056,611.2212,ROBUST_SIGNIFICANT_POSITIVE,NAIVE_ONLY_SIGNIFICANT,MODERATE_OVERLAP
funding_rate_zscore_80h,24h,24,24,0.01198701,0.01871805,16.1087,16697,3.1373,0.00469859,2.5512,0.010736,10.41,4,0.0333,6.3142,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
funding_rate_zscore_80h,72h,72,24,0.00028024,0.03969905,8.0701,16697,0.0346,0.00984479,0.0285,0.97729,11.48,4,0.1,283.4967,ROBUST_SIGNIFICANT_POSITIVE,NAIVE_ONLY_SIGNIFICANT,SEVERE_OVERLAP
intraday_ret,1h,1,25,-0.03683974,0.01222585,-30.7335,17805,-15.0663,0.00270004,-13.6441,0.0,16.23,1,0.0014,2.2525,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
intraday_ret,4h,4,25,-0.02830987,0.01192447,-23.9429,17803,-11.8705,0.00193578,-14.6245,0.0,47.24,4,0.0056,1.6372,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
intraday_ret,24h,24,25,-0.01180128,0.00693274,-10.3927,17783,-8.5113,0.00170895,-6.9056,0.0,13.8,5,0.0333,1.505,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
intraday_ret,72h,72,25,-0.00434255,0.0093034,-4.1354,17735,-2.3339,0.00197389,-2.2,0.027807,20.32,5,0.1,1.8797,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
klow_close,1h,1,25,-0.02706519,0.0074465,-23.8876,17805,-18.1731,0.00156028,-17.3464,0.0,19.43,1,0.0014,1.3771,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
klow_close,4h,4,25,-0.03204032,0.0080917,-28.889,17803,-19.7983,0.00139516,-22.9653,0.0,50.85,4,0.0056,1.2579,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
klow_close,24h,24,25,-0.04590874,0.01684564,-41.5457,17783,-13.6263,0.00294711,-15.5776,0.0,35.9,5,0.0333,2.667,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
klow_close,72h,72,25,-0.05398122,0.02788135,-49.4928,17735,-9.6805,0.0033596,-16.0677,0.0,157.19,5,0.1,3.0803,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
ksft_5h,1h,1,25,-0.00488968,0.00485885,-6.3754,17801,-5.0317,0.0009542,-5.1244,0.0,24.79,1,0.0014,1.2441,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
ksft_5h,4h,4,25,-0.00479461,0.006948,-5.9903,17799,-3.4504,0.00106019,-4.5224,6e-06,25.0,4,0.0056,1.3246,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
ksft_5h,24h,24,25,-0.00724571,0.00957789,-9.4025,17779,-3.7825,0.00148335,-4.8847,1e-06,25.0,5,0.0333,1.9249,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
ksft_5h,72h,72,25,-0.0077123,0.00813374,-9.4371,17731,-4.7409,0.00088821,-8.683,0.0,25.0,5,0.1,1.0868,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
ma_gap_10_40,1h,1,25,-0.01012653,0.00830952,-8.8117,17767,-6.0933,0.00191086,-5.2995,0.0,14.25,1,0.0014,1.6628,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
ma_gap_10_40,4h,4,25,-0.01911997,0.01480835,-16.2447,17765,-6.4558,0.00305815,-6.2521,0.0,31.79,4,0.0056,2.5983,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
ma_gap_10_40,24h,24,25,-0.02216333,0.0325789,-18.9756,17745,-3.4015,0.00688947,-3.217,0.001295,25.35,5,0.0333,5.8986,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
ma_gap_10_40,72h,72,25,-0.01646186,0.03889734,-13.432,17697,-2.1161,0.00574888,-2.8635,0.00419,96.95,5,0.1,4.6908,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
ma_gap_20_80,1h,1,25,-0.00652742,0.00878978,-5.5528,17727,-3.7131,0.00194051,-3.3638,0.000769,16.25,1,0.0014,1.6508,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
ma_gap_20_80,4h,4,25,-0.01466957,0.01527511,-12.2471,17725,-4.8018,0.00366449,-4.0032,6.3e-05,14.73,4,0.0056,3.0594,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
ma_gap_20_80,24h,24,25,-0.02060848,0.03699035,-16.4965,17705,-2.7857,0.00791935,-2.6023,0.00926,21.31,5,0.0333,6.3392,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
ma_gap_20_80,72h,72,25,-0.01465269,0.04919353,-10.2542,17657,-1.4893,0.00753912,-1.9436,0.051949,267.73,5,0.1,5.276,ROBUST_SIGNIFICANT_NEGATIVE,NAIVE_ONLY_SIGNIFICANT,SEVERE_OVERLAP
ma_gap_5_20,1h,1,25,-0.01566741,0.00764607,-13.3597,17787,-10.2454,0.00163051,-9.6089,0.0,18.27,1,0.0014,1.3903,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
ma_gap_5_20,4h,4,25,-0.02265456,0.01304832,-18.9599,17785,-8.681,0.00238338,-9.5052,0.0,31.76,4,0.0056,1.9947,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
ma_gap_5_20,24h,24,25,-0.02412142,0.02367888,-20.4033,17765,-5.0934,0.00502712,-4.7983,2e-06,22.04,5,0.0333,4.2522,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
ma_gap_5_20,72h,72,25,-0.01320561,0.02705767,-11.4603,17717,-2.4403,0.00381015,-3.4659,0.000528,87.94,5,0.1,3.3066,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
mom_10h,1h,1,25,-0.02703521,0.00971788,-22.764,17796,-13.91,0.00209576,-12.8999,0.0,17.58,1,0.0014,1.7647,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
mom_10h,4h,4,25,-0.02962119,0.01474333,-24.73,17794,-10.0456,0.00325296,-9.1059,0.0,17.27,4,0.0056,2.7158,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
mom_10h,24h,24,25,-0.0253744,0.02022007,-21.5016,17774,-6.2746,0.00462804,-5.4827,0.0,15.73,5,0.0333,3.9217,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
mom_10h,72h,72,25,-0.01324539,0.02213521,-11.8146,17726,-2.9919,0.00342086,-3.8719,0.000108,51.11,5,0.1,3.0513,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
mom_120h,1h,1,25,-0.0117657,0.00942523,-9.3483,17686,-6.2416,0.00204666,-5.7487,0.0,17.17,1,0.0014,1.6261,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
mom_120h,4h,4,25,-0.01916372,0.01352909,-15.2052,17684,-7.0824,0.0026307,-7.2847,0.0,98.43,4,0.0056,2.0873,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
mom_120h,24h,24,25,-0.02309409,0.0297536,-18.053,17664,-3.8809,0.00548988,-4.2067,2.6e-05,231.13,5,0.0333,4.2915,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
mom_120h,72h,72,25,-0.01627526,0.05039765,-12.2156,17616,-1.6147,0.00872406,-1.8656,0.062103,585.3,5,0.1,6.548,ROBUST_SIGNIFICANT_NEGATIVE,NAIVE_ONLY_SIGNIFICANT,SEVERE_OVERLAP
mom_20h,1h,1,25,-0.02224579,0.00784476,-18.9937,17786,-14.1788,0.00174994,-12.7123,0.0,15.71,1,0.0014,1.4941,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
mom_20h,4h,4,25,-0.02903498,0.01295475,-24.3102,17784,-11.2063,0.00231812,-12.5252,0.0,51.25,4,0.0056,1.9409,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
mom_20h,24h,24,25,-0.02799642,0.02651991,-23.8853,17764,-5.2784,0.00545898,-5.1285,0.0,29.11,5,0.0333,4.6574,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
mom_20h,72h,72,25,-0.01865444,0.03122566,-15.9486,17716,-2.987,0.00450209,-4.1435,3.4e-05,102.86,5,0.1,3.8491,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
mom_40h,1h,1,25,-0.01712727,0.01058261,-14.545,17766,-8.0922,0.0024676,-6.9409,0.0,13.65,1,0.0014,2.0956,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
mom_40h,4h,4,25,-0.02443246,0.01657559,-20.5482,17764,-7.37,0.00378313,-6.4583,0.0,20.81,4,0.0056,3.1817,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
mom_40h,24h,24,25,-0.02716675,0.03442343,-22.4492,17744,-3.946,0.00832275,-3.2642,0.001098,14.63,5,0.0333,6.8775,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
mom_40h,72h,72,25,-0.0220085,0.04327528,-17.3443,17696,-2.5428,0.00664469,-3.3122,0.000926,85.66,5,0.1,5.2365,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
mom_5h,1h,1,25,-0.03235414,0.01166246,-26.7533,17801,-13.8711,0.002549,-12.6929,0.0,16.8,1,0.0014,2.1077,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
mom_5h,4h,4,25,-0.0320476,0.01410592,-26.6123,17799,-11.3596,0.00256141,-12.5117,0.0,27.6,4,0.0056,2.127,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
mom_5h,24h,24,25,-0.02035794,0.01384907,-17.5009,17779,-7.3499,0.00323323,-6.2965,0.0,14.49,5,0.0333,2.7795,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
mom_5h,72h,72,25,-0.01018958,0.01649207,-9.3378,17731,-3.0892,0.0027543,-3.6995,0.000216,37.19,5,0.1,2.5241,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
mom_72h,1h,1,25,-0.01551112,0.00960949,-12.7632,17734,-8.0707,0.00216724,-7.1571,0.0,15.16,1,0.0014,1.7833,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
mom_72h,4h,4,25,-0.02446335,0.01491274,-20.1976,17732,-8.2022,0.00337746,-7.2431,0.0,17.6,4,0.0056,2.7885,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
mom_72h,24h,24,25,-0.03055646,0.03325804,-24.2015,17712,-4.5938,0.00584533,-5.2275,0.0,72.71,5,0.0333,4.6296,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
mom_72h,72h,72,25,-0.01977786,0.05011431,-14.2562,17664,-1.9733,0.00802079,-2.4658,0.01367,25.0,5,0.1,5.7815,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
mom_accel_20h,1h,1,25,-0.02415687,0.0080581,-20.511,17781,-14.9892,0.00162619,-14.8549,0.0,22.3,1,0.0014,1.3808,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,NO_MAJOR_OVERLAP
mom_accel_20h,4h,4,25,-0.02463949,0.01071787,-21.0051,17779,-11.4946,0.00153638,-16.0374,0.0,286.31,4,0.0056,1.3098,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,MODERATE_OVERLAP
mom_accel_20h,24h,24,25,-0.01827414,0.0164462,-15.7569,17759,-5.5557,0.00414485,-4.4089,1e-05,16.34,5,0.0333,3.5739,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,HIGH_OVERLAP
mom_accel_20h,72h,72,25,-0.01038632,0.00678356,-9.5026,17711,-7.6555,0.00188059,-5.5229,0.0,10.17,5,0.1,1.7206,ROBUST_SIGNIFICANT_NEGATIVE,ROBUST_SIGNIFICANT_NEGATIVE,SEVERE_OVERLAP
