contrast_group,universe_role,dataset_id,factor_name,status,best_horizon,price_long_short_spread_mean,after_funding_long_short_spread_mean,after_funding_coverage_rate,bucket_tail_diagnosis,after_funding_bucket_tail_diagnosis,funding_adjusted_edge_flip
crypto_native_overlay_vs_dynamic,dynamic_top50_crypto_native,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1_crypto_native_v1,funding_rate_level_20h,COMPUTED,72h,-0.01050609,-0.00681149,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False
crypto_native_overlay_vs_dynamic,dynamic_top50_crypto_native,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1_crypto_native_v1,funding_rate_zscore_80h,COMPUTED,72h,0.00147439,0.00209349,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False
crypto_native_overlay_vs_dynamic,dynamic_top50_crypto_native,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1_crypto_native_v1,taker_buy_delta_5h,COMPUTED,72h,0.00035491,0.00035392,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False
crypto_native_overlay_vs_dynamic,dynamic_top50_crypto_native,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1_crypto_native_v1,taker_buy_ratio_20h,COMPUTED,72h,0.00380067,0.00464058,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False
crypto_native_overlay_vs_dynamic,dynamic_top50_crypto_native,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1_crypto_native_v1,taker_buy_zscore_20h,COMPUTED,72h,0.00038477,0.00037357,1.0,MIXED_OR_WEAK,MIXED_OR_WEAK,False
crypto_native_overlay_vs_dynamic,dynamic_top50_current_listed,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1,funding_rate_change_24h,COMPUTED,72h,0.00071036,0.00128565,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False
crypto_native_overlay_vs_dynamic,dynamic_top50_current_listed,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1,funding_rate_level_20h,COMPUTED,72h,-0.01050609,-0.00681149,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False
crypto_native_overlay_vs_dynamic,dynamic_top50_current_listed,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1,funding_rate_zscore_80h,COMPUTED,72h,0.00147439,0.00209349,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False
crypto_native_overlay_vs_dynamic,dynamic_top50_current_listed,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1,taker_buy_delta_5h,COMPUTED,72h,0.00035491,0.00035392,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False
crypto_native_overlay_vs_dynamic,dynamic_top50_current_listed,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1,taker_buy_ratio_20h,COMPUTED,72h,0.00380067,0.00464058,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False
crypto_native_overlay_vs_dynamic,dynamic_top50_current_listed,crypto_usdt_perp_monthly_volume_top50_current_listed_1h_v1,taker_buy_zscore_20h,COMPUTED,72h,0.00038477,0.00037357,1.0,MIXED_OR_WEAK,MIXED_OR_WEAK,False
