factor_id,uses_cap,in_registry,in_rankic,in_long_short,in_profile,in_bilingual_card,in_shape,in_decile,in_capacity,in_page,horizons,workflow_complete
a101_volume_xs_z_mean_neg_112h,No,True,True,True,True,True,False,False,False,True,"1h,4h,24h,72h",False
a101_vol_xs_z_product_112h,No,True,True,True,True,True,False,False,False,True,"1h,4h,24h,72h",False
a101_volume_low_alpha_min_84_120,No,True,True,True,True,True,False,False,False,True,"1h,4h,24h,72h",False
a101_volume_high_alpha_min_84_84,No,True,True,True,True,True,False,False,False,True,"1h,4h,24h,72h",False
a101_volume_cap_alpha_min_80_80,Yes,True,True,True,True,True,True,True,True,True,"1h,4h,24h,72h",True
a101_volume_cap_alpha_min_56_84,Yes,True,True,True,True,True,True,True,True,True,"1h,4h,24h,72h",True
