factor_id,horizon,horizon_hours,overlap_warning,return_robust_class,return_mean,naive_t_stat,robust_t_stat,robust_standard_error,nw_lag,n_periods,effective_n_proxy,tstat_inflation_ratio,bootstrap_mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_sign_consistency,status
a101_vol_xs_z_product_112h,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,-1.1e-05,-0.318271,-0.347665,3.2e-05,1,25,29.831002,0.915453,-2.3e-05,-6.9e-05,2.2e-05,0.8315,COMPUTED
a101_vol_xs_z_product_112h,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,-5.6e-05,-0.399394,-0.553507,0.000102,4,25,48.015528,0.721571,-0.000104,-0.000306,9e-05,0.848,COMPUTED
a101_vol_xs_z_product_112h,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,-0.000408,-0.464406,-0.766653,0.000532,5,25,68.130615,0.605758,-0.000625,-0.001737,0.000467,0.865,COMPUTED
a101_vol_xs_z_product_112h,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000308,0.128267,0.200215,0.001541,5,25,60.911949,0.640647,-0.000497,-0.003741,0.002675,0.3885,COMPUTED
a101_volume_cap_alpha_min_56_84,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_POSITIVE,9.1e-05,3.890401,3.738851,2.4e-05,1,25,23.090202,1.040534,8.4e-05,4.5e-05,0.000122,1.0,COMPUTED
a101_volume_cap_alpha_min_56_84,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000346,3.704522,4.209252,8.2e-05,4,25,32.276428,0.88009,0.000321,0.000165,0.000469,1.0,COMPUTED
a101_volume_cap_alpha_min_56_84,24h,24,HIGH_OVERLAP,RETURN_ROBUST_POSITIVE,0.000995,1.849498,2.221824,0.000448,5,25,36.078747,0.832423,0.000875,-6e-06,0.001742,0.974,COMPUTED
a101_volume_cap_alpha_min_56_84,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.002251,1.690394,2.394145,0.00094,5,25,50.149343,0.706053,0.001926,0.000226,0.003678,0.9875,COMPUTED
a101_volume_cap_alpha_min_80_80,1h,1,NO_MAJOR_OVERLAP,RETURN_ROBUST_POSITIVE,6.8e-05,3.184071,2.955523,2.3e-05,1,25,21.539884,1.077329,6.1e-05,2.6e-05,9.3e-05,1.0,COMPUTED
a101_volume_cap_alpha_min_80_80,4h,4,MODERATE_OVERLAP,RETURN_ROBUST_POSITIVE,0.000261,2.772655,3.105096,8.4e-05,4,25,31.354394,0.892937,0.000229,6.9e-05,0.000369,0.999,COMPUTED
a101_volume_cap_alpha_min_80_80,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001006,1.604425,1.713989,0.000587,5,25,28.531019,0.936077,0.000769,-0.000261,0.00172,0.9285,COMPUTED
a101_volume_cap_alpha_min_80_80,72h,72,SEVERE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.001734,0.969686,1.08415,0.001599,5,25,31.250478,0.89442,0.00084,-0.001994,0.003453,0.729,COMPUTED
a101_volume_high_alpha_min_84_84,1h,1,NO_MAJOR_OVERLAP,RETURN_NOT_SIGNIFICANT,2.7e-05,1.293458,1.321505,2e-05,1,25,26.095931,0.978777,2.6e-05,-1.1e-05,7e-05,0.8945,COMPUTED
a101_volume_high_alpha_min_84_84,4h,4,MODERATE_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000108,1.369443,1.322237,8.2e-05,4,25,23.306154,1.035702,9.9e-05,-4.9e-05,0.000273,0.8785,COMPUTED
a101_volume_high_alpha_min_84_84,24h,24,HIGH_OVERLAP,RETURN_NOT_SIGNIFICANT,0.000687,1.543539,1.56702,0.000438,5,25,25.766401,0.985016,0.000638,-0.000131,0.001521,0.934,COMPUTED
a101_volume_high_alpha_min_84_84,72h,72,SEVERE_OVERLAP,RETURN_ROBUST_POSITIVE,0.002204,1.778367,2.534691,0.00087,5,25,50.786352,0.701611,0.001625,7.4e-05,0.003048,0.98,COMPUTED
