factor_id,month,avg_turnover,median_turnover,max_turnover,n_observations
mom_20h,2024-06,0.17522481095442466,0.1666666666666666,0.55,699
mom_20h,2024-07,0.17953149001536095,0.1666666666666666,0.4285714285714286,744
mom_20h,2024-08,0.18385758506726244,0.1818181818181818,0.380952380952381,744
mom_20h,2024-09,0.17723704435660953,0.1739130434782608,0.4545454545454545,720
mom_20h,2024-10,0.17983724871435244,0.1666666666666666,0.4166666666666667,744
mom_20h,2024-11,0.17961689814814813,0.18,0.4,720
mom_20h,2024-12,0.18487723248475935,0.18,0.4038461538461538,744
mom_20h,2025-01,0.17252782338989234,0.1666666666666666,0.375,744
mom_20h,2025-02,0.17111213738368905,0.1666666666666666,0.4827586206896552,672
mom_20h,2025-03,0.17833569090357265,0.1774193548387097,0.4,744
mom_20h,2025-04,0.17683974394682114,0.1764705882352941,0.4393939393939394,720
mom_20h,2025-05,0.17428717006515862,0.17142857142857135,0.3888888888888889,744
mom_20h,2025-06,0.17838951890486976,0.1756756756756756,0.4324324324324324,720
mom_20h,2025-07,0.1807519082030966,0.1794871794871794,0.4230769230769231,744
mom_20h,2025-08,0.17215745560061058,0.1707317073170731,0.475,744
mom_20h,2025-09,0.16753213757786925,0.1627906976744186,0.4146341463414634,720
mom_20h,2025-10,0.16998834030275195,0.17021276595744675,0.6304347826086957,744
mom_20h,2025-11,0.16821150778573837,0.163265306122449,0.3469387755102041,720
mom_20h,2025-12,0.17462612464340574,0.17,0.39,744
mom_20h,2026-01,0.1722043010752688,0.1699999999999999,0.38,744
mom_20h,2026-02,0.17162319094304385,0.1666666666666666,0.3431372549019608,672
mom_20h,2026-03,0.1707460589694935,0.173076923076923,0.3431372549019608,744
mom_20h,2026-04,0.16872077084341233,0.1634615384615385,0.3173076923076923,720
mom_20h,2026-05,0.16982400081152357,0.1698113207547169,0.3773584905660377,744
mom_20h,2026-06,0.1670597484276729,0.160377358490566,0.2924528301886793,288
reversal_5h,2024-06,0.3425520208083233,0.3333333333333333,0.775,714
reversal_5h,2024-07,0.34402201740911414,0.3333333333333333,0.6904761904761905,744
reversal_5h,2024-08,0.359937217800121,0.3571428571428571,0.75,744
reversal_5h,2024-09,0.36090799297321036,0.3636363636363636,0.6363636363636364,720
reversal_5h,2024-10,0.356888927847904,0.3541666666666667,0.6875,744
reversal_5h,2024-11,0.3542986111111111,0.3541666666666667,0.6666666666666666,720
reversal_5h,2024-12,0.36064060441748613,0.3518518518518518,0.62,744
reversal_5h,2025-01,0.33799312581292557,0.33045977011494254,0.6785714285714286,744
reversal_5h,2025-02,0.34418188970990693,0.3333333333333333,0.6333333333333333,672
reversal_5h,2025-03,0.35122015550930746,0.35,0.6935483870967742,744
reversal_5h,2025-04,0.35201731292264377,0.3484848484848485,0.6764705882352942,720
reversal_5h,2025-05,0.3448220686123912,0.3428571428571428,0.7,744
reversal_5h,2025-06,0.34498163185114933,0.3421052631578947,0.6081081081081081,720
reversal_5h,2025-07,0.35020657840320396,0.3461538461538461,0.6282051282051282,744
reversal_5h,2025-08,0.3475417158405455,0.3414634146341463,0.65,744
reversal_5h,2025-09,0.3351668441430211,0.3292682926829268,0.5952380952380953,720
reversal_5h,2025-10,0.3327688043937932,0.3278162055335968,0.75,744
reversal_5h,2025-11,0.33984667744166225,0.336734693877551,0.5638297872340425,720
reversal_5h,2025-12,0.3439779460171165,0.34,0.6020408163265306,744
reversal_5h,2026-01,0.3407258064516129,0.3399999999999999,0.6799999999999999,744
reversal_5h,2026-02,0.33577147525676937,0.3333333333333333,0.61,672
reversal_5h,2026-03,0.331693011158144,0.3333333333333333,0.5384615384615384,744
reversal_5h,2026-04,0.32826736615062085,0.3269230769230769,0.4903846153846153,720
reversal_5h,2026-05,0.334005376344086,0.330188679245283,0.6320754716981132,744
reversal_5h,2026-06,0.33428328092243187,0.330188679245283,0.5849056603773586,288
volatility_20h,2024-06,0.0644917909939369,0.05,0.5,699
volatility_20h,2024-07,0.07392473118279567,0.0714285714285714,0.380952380952381,744
volatility_20h,2024-08,0.07194496811432292,0.0681818181818181,0.4047619047619047,744
volatility_20h,2024-09,0.0649442797540623,0.0652173913043478,0.3409090909090909,720
volatility_20h,2024-10,0.05831190587501945,0.0625,0.3541666666666667,744
volatility_20h,2024-11,0.07328240740740738,0.0625,0.32,720
volatility_20h,2024-12,0.0812748138957816,0.07407407407407404,0.46,744
volatility_20h,2025-01,0.06170335131333459,0.0517241379310344,0.2678571428571428,744
volatility_20h,2025-02,0.061149596332785924,0.0499999999999999,0.3620689655172414,672
volatility_20h,2025-03,0.06792363098335065,0.0625,0.35,744
volatility_20h,2025-04,0.0626374421296296,0.0588235294117647,0.4393939393939393,720
volatility_20h,2025-05,0.059296092989166944,0.0571428571428571,0.2777777777777778,744
volatility_20h,2025-06,0.06216679947491345,0.054054054054054,0.3289473684210526,720
volatility_20h,2025-07,0.06185425826767079,0.0526315789473684,0.2631578947368421,744
volatility_20h,2025-08,0.06077182185438477,0.05,0.4125,744
volatility_20h,2025-09,0.057110363435696636,0.048780487804878,0.2560975609756097,720
volatility_20h,2025-10,0.05893935764295491,0.053191489361702,0.4891304347826087,744
volatility_20h,2025-11,0.06445676231485499,0.0612244897959183,0.3085106382978723,720
volatility_20h,2025-12,0.06129388852315118,0.05,0.4387755102040816,744
volatility_20h,2026-01,0.06725806451612902,0.06,0.46,744
volatility_20h,2026-02,0.07367676237161529,0.06,0.3823529411764706,672
volatility_20h,2026-03,0.06535795666488262,0.0588235294117647,0.3557692307692307,744
volatility_20h,2026-04,0.055227735445895765,0.048076923076923,0.2403846153846153,720
volatility_20h,2026-05,0.05679397443700542,0.0471698113207547,0.2641509433962264,744
volatility_20h,2026-06,0.06217243186582803,0.0566037735849056,0.2264150943396226,288
