factor_id,family,expected_direction,formula_proxy,required_columns,lookback_window,data_availability,coverage,missing_rate,best_horizon,best_adj_ic,best_adj_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,ic_win_rate,monthly_stability_summary,quantile_monotonicity_summary,rankic_longshort_consistency,redundancy_level,nearest_existing_factors,decision_bucket,recommended_action,caveats
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,"rolling_min(ts_alpha(volume, cap, 80), 80); volume-cap relation; Requires market_cap_1h_aligned.parquet merged as cap. cap = underlying coin USD market cap, not futures quote_volume proxy. migrated from alpha101 volume_cap_alpha_min_20_20",volume|cap,159,EXISTS,2912863,0.500325,72h,0.0581733,0.448638,72h,0.00127529,4.3328,0.6842,STABLE (24/25 months positive),NON_MONOTONIC (2 sign changes),CONSISTENT,HIGH_REDUNDANCY,"a101_volume_cap_alpha_min_56_84 (|ρ|=0.870, HIGH_REDUNDANCY); range_24h (|ρ|=0.139, LOW_REDUNDANCY); range_4h (|ρ|=0.122, LOW_REDUNDANCY)",REDUNDANT_WITH_EXISTING,Do not promote. Resolve redundancy first.,Redundancy level: HIGH_REDUNDANCY. Consider dropping one factor.
a101_volume_cap_alpha_min_56_84,alpha101_curated_volume_cap_regression,conditional,"rolling_min(ts_alpha(volume, cap, 56), 84); faster volume-cap relation; Requires market_cap_1h_aligned.parquet merged as cap. cap = underlying coin USD market cap, not futures quote_volume proxy. migrated from alpha101 volume_cap_alpha_min_14_21",volume|cap,139,EXISTS,2916655,0.499675,72h,0.05747455,0.423168,72h,0.00221817,7.752,0.6694,STABLE (23/25 months positive),NON_MONOTONIC (2 sign changes),CONSISTENT,HIGH_REDUNDANCY,"a101_volume_cap_alpha_min_80_80 (|ρ|=0.870, HIGH_REDUNDANCY); range_24h (|ρ|=0.133, LOW_REDUNDANCY); range_4h (|ρ|=0.122, LOW_REDUNDANCY)",REDUNDANT_WITH_EXISTING,Do not promote. Resolve redundancy first.,Redundancy level: HIGH_REDUNDANCY. Consider dropping one factor.
