factor,label,month,IC_mean,RankIC_mean,spread_mean,spread_t,n_timestamps
mom_20h,ret_fwd_1h,2025-12,0.0032549362894190373,-0.029618689581095595,0.00028280121773631927,0.6740673663604824,399
mom_20h,ret_fwd_1h,2026-01,-0.021626967954196417,-0.03620014134686132,-0.00026109609126591924,-1.1464156350577448,744
mom_20h,ret_fwd_1h,2026-02,-0.0119152892326729,-0.010814325730292115,2.7599020431452362e-05,0.06506131865220424,672
mom_20h,ret_fwd_1h,2026-03,0.027820291580910785,-0.014881436445545957,0.0003571450049087992,1.14435717863132,744
mom_20h,ret_fwd_1h,2026-04,-0.00538339706916116,-0.024754301720688272,-0.00023696462425598806,-0.5569117085849905,720
mom_20h,ret_fwd_1h,2026-05,0.013817663802774006,-0.0011984148498108932,0.0004106924425329658,0.9338585585763886,744
mom_20h,ret_fwd_1h,2026-06,0.04047632616219632,0.04624493275571097,0.004261713971799993,3.4794627718784095,276
mom_20h,ret_fwd_4h,2025-12,-0.010221523818917404,-0.05778400081837245,0.00023680507268765207,0.2864488860265059,399
mom_20h,ret_fwd_4h,2026-01,-0.025054841974736893,-0.04232108165846983,-0.0006529655702215396,-1.3892727822673825,744
mom_20h,ret_fwd_4h,2026-02,-0.032159530591042346,-0.023083376207625912,-0.0003798183595534377,-0.35971787615155,672
mom_20h,ret_fwd_4h,2026-03,0.030088423696034483,-0.026504666382682108,0.001687105447619383,2.763061283590046,744
mom_20h,ret_fwd_4h,2026-04,-0.010160990969181816,-0.04146218487394958,8.369057008994176e-05,0.10453360826885837,720
mom_20h,ret_fwd_4h,2026-05,0.00405182984045425,0.0075320450760949535,0.0015489924924160768,1.7468211717744015,744
mom_20h,ret_fwd_4h,2026-06,0.061580659509924876,0.08301360104481353,0.016560854536620914,7.09693594071538,273
mom_20h,ret_fwd_24h,2025-12,-0.02288654763690679,-0.042463556851311944,0.0023763257996780502,1.3333090107150256,399
mom_20h,ret_fwd_24h,2026-01,-0.011092324936639385,-0.039695547573868256,0.0004818430200804524,0.4210844795980592,744
