factor,label,version,wlevel,IC_mean,RankIC_mean,spread_t
rsi_14h,ret_fwd_24h,raw,,0.02236014997961657,-0.0008147943904324906,10.325482330228851
rsi_14h,ret_fwd_24h,factor_w199,w199,0.021781699607442192,-0.0008733086882581119,10.356133368305413
rsi_14h,ret_fwd_24h,both_w199,w199,0.027475386241770396,-0.00083641396773562,12.06344196466756
rsi_14h,ret_fwd_24h,factor_w595,w595,0.02182166806742345,0.0003841312330630575,10.681889662057083
rsi_14h,ret_fwd_24h,both_w595,w595,0.020021637463221647,0.0012126097519811296,7.411356884046016
rsi_14h,ret_fwd_72h,raw,,0.02861824732777944,0.020263449262558117,9.428879487571972
rsi_14h,ret_fwd_72h,factor_w199,w199,0.028061975724888444,0.02017366417516463,9.419024752320917
rsi_14h,ret_fwd_72h,both_w199,w199,0.027847180846080757,0.020302376973462977,10.64040596922085
rsi_14h,ret_fwd_72h,factor_w595,w595,0.026332001397065763,0.021103618112337047,9.572797065997957
rsi_14h,ret_fwd_72h,both_w595,w595,0.024190438204307902,0.022917056288741283,8.444312783007861
bb_zscore_20h,ret_fwd_1h,raw,,0.0035220251498822635,-0.01850694743013484,2.53900340320987
bb_zscore_20h,ret_fwd_1h,factor_w199,w199,0.003356823010623411,-0.018401966833244923,2.552183300690414
bb_zscore_20h,ret_fwd_1h,both_w199,w199,0.002149752112043874,-0.018251624835980904,2.4932570510777152
bb_zscore_20h,ret_fwd_1h,factor_w595,w595,0.0026959113778849838,-0.018602293475529746,2.369397166996854
bb_zscore_20h,ret_fwd_1h,both_w595,w595,-0.007163535074739843,-0.01750223065970574,-1.4281428157467304
bb_zscore_20h,ret_fwd_4h,raw,,0.005866185515849471,-0.019971020290825193,4.707064120886335
bb_zscore_20h,ret_fwd_4h,factor_w199,w199,0.005792576707273931,-0.01992269935668007,4.737266221592856
bb_zscore_20h,ret_fwd_4h,both_w199,w199,0.003933350050548642,-0.019820025752912286,4.009833346988323
bb_zscore_20h,ret_fwd_4h,factor_w595,w595,0.005196661118082028,-0.019754574857636795,4.748720571889977
bb_zscore_20h,ret_fwd_4h,both_w595,w595,-0.004971790526894783,-0.018946678508499043,-0.24141111693631093
bb_zscore_20h,ret_fwd_24h,raw,,0.014163052001983367,-0.006395230526159492,8.174541323447862
bb_zscore_20h,ret_fwd_24h,factor_w199,w199,0.014156420504929242,-0.006402254612389727,8.134731827027801
bb_zscore_20h,ret_fwd_24h,both_w199,w199,0.017371438921955043,-0.006413497360599605,9.170168422345363
bb_zscore_20h,ret_fwd_24h,factor_w595,w595,0.013749915435627237,-0.0069492576081169,8.170228259720108
bb_zscore_20h,ret_fwd_24h,both_w595,w595,0.00839750683570299,-0.006458302750606907,4.104025430007643
bb_zscore_20h,ret_fwd_72h,raw,,0.01168154231957109,0.007139278979503838,5.778131530767925
bb_zscore_20h,ret_fwd_72h,factor_w199,w199,0.011391400996348697,0.00725703334064768,5.7597045796935475
bb_zscore_20h,ret_fwd_72h,both_w199,w199,0.011047737687688951,0.007353453559243515,6.060851158439699
bb_zscore_20h,ret_fwd_72h,factor_w595,w595,0.010222966175869862,0.007342799971726688,5.813826430850156
bb_zscore_20h,ret_fwd_72h,both_w595,w595,0.008563792386319415,0.008749696615463399,4.042271585092249
