factor,label,version,wlevel,IC_mean,RankIC_mean,spread_t
mom_20h,ret_fwd_1h,raw,,0.0035997301683255425,-0.014664083358395695,2.117865004002884
mom_20h,ret_fwd_1h,factor_w199,w199,0.0037338821778785257,-0.014677943752518451,2.11537542249092
mom_20h,ret_fwd_1h,both_w199,w199,0.00630558567846625,-0.01456098280205313,3.0936145265237056
mom_20h,ret_fwd_1h,factor_w595,w595,0.0028042270772585262,-0.014678572056875784,2.2737968593042126
mom_20h,ret_fwd_1h,both_w595,w595,-0.0017963715483123085,-0.013280148067601078,0.397241508752484
mom_20h,ret_fwd_4h,raw,,-0.0021960986523711684,-0.021266392031673007,4.295018500229423
mom_20h,ret_fwd_4h,factor_w199,w199,-0.00029193316916216987,-0.021329934208320196,4.292718226943173
mom_20h,ret_fwd_4h,both_w199,w199,0.0006706381876436429,-0.021249572454680198,3.9523832763433857
mom_20h,ret_fwd_4h,factor_w595,w595,0.0027643749900207377,-0.021187280778233078,4.466621640857984
mom_20h,ret_fwd_4h,both_w595,w595,-0.0051975591594817325,-0.020162552451148057,0.16815142251240267
mom_20h,ret_fwd_24h,raw,,0.002163322942767153,-0.00826001120747644,10.494456339510338
mom_20h,ret_fwd_24h,factor_w199,w199,0.013926936996505724,-0.008308064104968463,10.481693414926612
mom_20h,ret_fwd_24h,both_w199,w199,0.01859851700156171,-0.008332805058412511,11.353801336442539
mom_20h,ret_fwd_24h,factor_w595,w595,0.020757391377325737,-0.0077994827491333265,10.47093104942299
mom_20h,ret_fwd_24h,both_w595,w595,0.01438741558681189,-0.0074861043575521835,5.632902487148562
mom_20h,ret_fwd_72h,raw,,0.002461860838016163,0.01303234396880796,7.867863329766909
mom_20h,ret_fwd_72h,factor_w199,w199,0.017044175217537216,0.013046459832750512,7.862354111022589
mom_20h,ret_fwd_72h,both_w199,w199,0.019234127507791465,0.01313754924864932,8.909874724931123
mom_20h,ret_fwd_72h,factor_w595,w595,0.020996682251613028,0.013781705681326455,7.859211319303542
mom_20h,ret_fwd_72h,both_w595,w595,0.020402522474037836,0.015145030102864226,6.948320697501297
reversal_5h,ret_fwd_1h,raw,,-0.0063609491341093515,0.02428870018104599,-0.948103279269414
reversal_5h,ret_fwd_1h,factor_w199,w199,-0.003474467062257689,0.024296135700455426,-0.9418114151410368
reversal_5h,ret_fwd_1h,both_w199,w199,5.4266490802507894e-05,0.024197432797875756,-0.48626606932012845
reversal_5h,ret_fwd_1h,factor_w595,w595,-0.0034717670821761307,0.024390452982305577,-1.0094370499208192
reversal_5h,ret_fwd_1h,both_w595,w595,0.010686995669972638,0.025560826555935307,3.240454649929286
reversal_5h,ret_fwd_4h,raw,,-0.005904780156161609,0.023817515872041232,-3.2259359528605303
reversal_5h,ret_fwd_4h,factor_w199,w199,-0.005041781955291327,0.023847512561043904,-3.2220139982067013
reversal_5h,ret_fwd_4h,both_w199,w199,-0.001100469215823001,0.023797530146366132,-1.858405005253483
reversal_5h,ret_fwd_4h,factor_w595,w595,-0.0049330790895586295,0.02402238696452833,-3.079267153114059
reversal_5h,ret_fwd_4h,both_w595,w595,0.008584038422211834,0.025183456820445645,2.43568754270098
reversal_5h,ret_fwd_24h,raw,,0.0016662828115964687,0.015577590159811302,-4.664249586886975
reversal_5h,ret_fwd_24h,factor_w199,w199,-0.0015734373881725193,0.015543971958394168,-4.66572219020312
reversal_5h,ret_fwd_24h,both_w199,w199,-0.004608200636061356,0.015569602811994059,-4.7470369110416515
reversal_5h,ret_fwd_24h,factor_w595,w595,-0.004573806996867811,0.014851783640512832,-4.690289352722778
reversal_5h,ret_fwd_24h,both_w595,w595,-0.0008418180605980876,0.015084545587053279,-1.2629650957864138
reversal_5h,ret_fwd_72h,raw,,-0.0035913456621061747,-0.0003864524834208966,-4.596612376686582
reversal_5h,ret_fwd_72h,factor_w199,w199,-0.008671273375322868,-0.0004330626900772088,-4.5956417760271195
reversal_5h,ret_fwd_72h,both_w199,w199,-0.008876350094855849,-0.0004908274881953717,-4.554486461822415
reversal_5h,ret_fwd_72h,factor_w595,w595,-0.009776922773204183,-0.00036463843138009525,-4.5980079009826476
reversal_5h,ret_fwd_72h,both_w595,w595,-0.006522438316977808,-0.0005442294759053742,-2.2082501651052353
volatility_20h,ret_fwd_1h,raw,,0.005645890830617827,-0.016708211547005403,4.634620223146767
volatility_20h,ret_fwd_1h,factor_w199,w199,0.006301219316037534,-0.016709260117166197,4.634620223146767
volatility_20h,ret_fwd_1h,both_w199,w199,0.01018682926212841,-0.016585091817606316,5.427385412766313
volatility_20h,ret_fwd_1h,factor_w595,w595,0.008781455810528652,-0.016554540867288994,4.5121126015466935
volatility_20h,ret_fwd_1h,both_w595,w595,-0.0005477202976502433,-0.014489226255750031,0.42486370341659263
volatility_20h,ret_fwd_4h,raw,,0.016905397498029436,-0.019142087002398726,9.45739315494107
volatility_20h,ret_fwd_4h,factor_w199,w199,0.01667790954135446,-0.01917776048967073,9.45739315494107
volatility_20h,ret_fwd_4h,both_w199,w199,0.02193465677758431,-0.0190619278437632,10.075503667031203
volatility_20h,ret_fwd_4h,factor_w595,w595,0.02057000748774749,-0.018919235291882112,9.282429605343628
volatility_20h,ret_fwd_4h,both_w595,w595,0.011036084923310418,-0.016443047889546883,4.378657489961282
volatility_20h,ret_fwd_24h,raw,,0.024529221606722124,-0.017770923617342168,18.730823802682757
volatility_20h,ret_fwd_24h,factor_w199,w199,0.026214891043778422,-0.017792921658841266,18.730823802682757
volatility_20h,ret_fwd_24h,both_w199,w199,0.03525813694101751,-0.0178616179867644,20.579132216862078
volatility_20h,ret_fwd_24h,factor_w595,w595,0.03855627861561037,-0.016863262610937735,18.822186675406197
volatility_20h,ret_fwd_24h,both_w595,w595,0.03465202211649859,-0.013945587589572773,13.580431250708049
volatility_20h,ret_fwd_72h,raw,,0.04022309639644767,-0.017702096922023302,25.108503349140214
volatility_20h,ret_fwd_72h,factor_w199,w199,0.04242026952103315,-0.017844585800261447,25.108503349140214
volatility_20h,ret_fwd_72h,both_w199,w199,0.0518029056312226,-0.017825241260174835,28.976504021056023
volatility_20h,ret_fwd_72h,factor_w595,w595,0.05663196645162149,-0.01736712802434124,25.03080031926701
volatility_20h,ret_fwd_72h,both_w595,w595,0.04202696981947155,-0.013823271030266414,18.733456718684717
rsi_14h,ret_fwd_1h,raw,,0.009489276035405645,-0.01294206463073034,3.3512922496463786
rsi_14h,ret_fwd_1h,factor_w199,w199,0.00859313659730583,-0.013004966446508915,3.3563597578152087
rsi_14h,ret_fwd_1h,both_w199,w199,0.009331170112285828,-0.012895386726119016,4.370834105238893
rsi_14h,ret_fwd_1h,factor_w595,w595,0.0072980922887881,-0.01276989959746965,3.4210903001454604
rsi_14h,ret_fwd_1h,both_w595,w595,0.0004055672156918831,-0.011605319479708259,1.3153670961656514
rsi_14h,ret_fwd_4h,raw,,0.012548615178813937,-0.014225609351132363,5.01342035843033
rsi_14h,ret_fwd_4h,factor_w199,w199,0.011898541223747639,-0.01440138119403968,5.018859779629152
rsi_14h,ret_fwd_4h,both_w199,w199,0.012050642479190136,-0.014285851021022077,5.66855684359828
rsi_14h,ret_fwd_4h,factor_w595,w595,0.01155904994311564,-0.013936366736373764,5.088497796871948
rsi_14h,ret_fwd_4h,both_w595,w595,0.0035766176273793276,-0.012307339951322228,1.8902852934389796
