year,events,symbols,years,price_1d_n,price_1d_mean,price_1d_median,price_1d_win_rate,long_total_1d_n,long_total_1d_mean,long_total_1d_median,long_total_1d_win_rate,short_total_1d_n,short_total_1d_mean,short_total_1d_median,short_total_1d_win_rate,price_3d_n,price_3d_mean,price_3d_median,price_3d_win_rate,long_total_3d_n,long_total_3d_mean,long_total_3d_median,long_total_3d_win_rate,short_total_3d_n,short_total_3d_mean,short_total_3d_median,short_total_3d_win_rate,price_5d_n,price_5d_mean,price_5d_median,price_5d_win_rate,long_total_5d_n,long_total_5d_mean,long_total_5d_median,long_total_5d_win_rate,short_total_5d_n,short_total_5d_mean,short_total_5d_median,short_total_5d_win_rate,price_10d_n,price_10d_mean,price_10d_median,price_10d_win_rate,long_total_10d_n,long_total_10d_mean,long_total_10d_median,long_total_10d_win_rate,short_total_10d_n,short_total_10d_mean,short_total_10d_median,short_total_10d_win_rate,mae_long_5d_median,mae_long_5d_p10,mae_long_5d_p90,mfe_long_5d_median,mfe_long_5d_p10,mfe_long_5d_p90,mae_short_5d_median,mae_short_5d_p10,mae_short_5d_p90,mfe_short_5d_median,mfe_short_5d_p10,mfe_short_5d_p90,mae_long_10d_median,mae_long_10d_p10,mae_long_10d_p90,mfe_long_10d_median,mfe_long_10d_p10,mfe_long_10d_p90,mae_short_10d_median,mae_short_10d_p10,mae_short_10d_p90,mfe_short_10d_median,mfe_short_10d_p10,mfe_short_10d_p90
2021,3714,112,1,3713,-0.0009802567960498622,-0.0029666892393021005,0.47939671424723945,3713,-0.0011831072889127744,-0.0032268292682925744,0.4788580662537032,3713,0.0011831072889127744,0.0032268292682925744,0.5211419337462968,3711,-0.0051035880470488085,-0.014712787603693878,0.4354621395850175,3711,-0.005736611086660773,-0.015525448075276728,0.4308811641067098,3711,0.005736611086660773,0.015525448075276728,0.5691188358932903,3709,-0.012372787013757993,-0.031835774455490684,0.38959288217848476,3709,-0.013377134239425298,-0.03350887076569604,0.38393097870045834,3709,0.013377134239425298,0.03350887076569604,0.6160690212995417,3705,-0.03579483952483517,-0.07009435778933171,0.3152496626180837,3705,-0.03747251985142086,-0.0726721514797289,0.3101214574898785,3705,0.03747251985142086,0.0726721514797289,0.6898785425101215,-0.07042636905792987,-0.1899460863191496,0.028386620886356746,0.037075974208018,-0.05450877484917647,0.20349613337986014,-0.037075974208018,-0.20349613337986006,0.054508774849176475,0.07042636905792987,-0.028386620886356694,0.18994608631914967,-0.11840062111801242,-0.27591930197631204,0.0021348422268282733,0.056300820624273884,-0.04474274912318545,0.29920323912050045,-0.056300820624273884,-0.2992032391205004,0.04474274912318546,0.11840062111801242,-0.0021348422268282702,0.27591930197631215
2022,22495,147,1,22491,-0.0038135683217548114,-0.0037705894026591746,0.4605397714641412,22491,-0.0035243323455865657,-0.0036695598425196766,0.46258503401360546,22491,0.0035243323455865657,0.0036695598425196766,0.5361700235649816,22482,-0.010556559307833061,-0.010787336332125863,0.4365269993772796,22482,-0.009775942763486475,-0.010436558225453748,0.44039676185392757,22482,0.009775942763486475,0.010436558225453748,0.5584022773774575,22473,-0.017601094499342818,-0.0171580876228552,0.4250433853958083,22473,-0.01636920493453171,-0.01623800341003516,0.42869220842789124,22473,0.01636920493453171,0.01623800341003516,0.570061852000178,22454,-0.03277043878928262,-0.034256336033064994,0.39391645141177517,22454,-0.030551235401912888,-0.03286291843169275,0.3977019684688697,22454,0.030551235401912888,0.03286291843169275,0.6010955731718179,-0.051708217913204124,-0.1873555247341655,0.025430290036329017,0.031019708654669964,-0.046497584541062786,0.1605335786568538,-0.031019708654669964,-0.1605335786568538,0.046497584541062786,0.051708217913204124,-0.025430290036329017,0.1873555247341655,-0.08881293402777757,-0.28175622835437386,0.008589723567077767,0.05096952908587271,-0.036739210623386254,0.23699332194440137,-0.05096952908587271,-0.23699332194440137,0.036739210623386254,0.08881293402777757,-0.008589723567077767,0.28175622835437386
2023,22128,169,1,22128,0.0023736478555003676,0.0004778813897147183,0.5043835864063629,22128,0.0024890974460643586,0.00043767849776357064,0.5048355025307303,22128,-0.0024890974460643586,-0.00043767849776357064,0.4951644974692697,22128,0.007181603079512409,0.0,0.49905097613882865,22128,0.007398991967798741,-0.00026433320221709653,0.49760484454085324,22128,-0.007398991967798741,0.00026433320221709653,0.5023951554591468,22128,0.011333362902135845,0.00029237945155247136,0.5014913232104121,22128,0.01160801978120309,8.944179246392944e-05,0.5003615328994938,22128,-0.01160801978120309,-8.944179246392944e-05,0.49963846710050613,22128,0.02103606196079803,-0.00018297542707251813,0.49760484454085324,22128,0.021309452210707645,-0.0015989082327912676,0.4930404916847433,22128,-0.021309452210707645,0.0015989082327912676,0.5069595083152567,-0.03020188137977431,-0.12221949180031015,0.027980368509068584,0.03230587255303363,-0.02733086314363817,0.15975972245012768,-0.03230587255303363,-0.15975972245012768,0.027330863143638164,0.03020188137977431,-0.02798036850906859,0.12221949180031015,-0.04999999999999999,-0.17616427171341673,0.01941250850448212,0.0568644392913249,-0.017159165363035484,0.25341205135612077,-0.0568644392913249,-0.2534120513561208,0.01715916536303548,0.04999999999999999,-0.019412508504482125,0.1761642717134167
2024,22353,231,1,22351,0.0003507049430050118,-0.0031289111389236623,0.47031452731421414,22351,0.000134586754557068,-0.003357606614686791,0.4688380833072346,22351,-0.000134586754557068,0.003357606614686791,0.5311619166927655,22348,0.002999954490308443,-0.0033714047223677435,0.4796849829962413,22348,0.0022696774418029825,-0.00415889748290103,0.4756130302487918,22348,-0.0022696774418029825,0.00415889748290103,0.5243869697512081,22345,0.00629084797859937,-0.0022402867567049567,0.48798388901320205,22345,0.005004337536889815,-0.0033543070519790963,0.48234504363392255,22345,-0.005004337536889815,0.0033543070519790963,0.5176549563660774,22336,0.01304429226031735,-0.010020412295308923,0.4700931232091691,22336,0.010339398580159755,-0.012812122265636945,0.46198961318051573,22336,-0.010339398580159755,0.012812122265636945,0.5380103868194842,-0.0457369386426838,-0.16994130115767148,0.0335798816568047,0.03928626129575741,-0.03905419766206164,0.1856817442238854,-0.03928626129575741,-0.1856817442238854,0.03905419766206164,0.0457369386426838,-0.0335798816568047,0.16994130115767148,-0.07884615384615379,-0.2380360901217956,0.01883862954145532,0.06928000000000001,-0.02835585772324012,0.29325101128379805,-0.06928000000000001,-0.29325101128379805,0.02835585772324012,0.07884615384615379,-0.01883862954145532,0.2380360901217956
2025,22052,303,1,22051,-0.002330853846605992,-0.004597809003260678,0.4510453040678427,22051,-0.0015620039531771225,-0.004208384114309715,0.4546732574486418,22051,0.0015620039531771225,0.004208384114309715,0.5407918008253594,22049,-0.007143285646454885,-0.01249154453213075,0.4249625833371128,22049,-0.005230483201899577,-0.011691869093805912,0.43090389586829336,22049,0.005230483201899577,0.011691869093805912,0.5645607510544696,22047,-0.013170974437561564,-0.023275261324041785,0.3989204880482605,22047,-0.010265800784456835,-0.021357557663733984,0.40599628067310745,22047,0.010265800784456835,0.021357557663733984,0.5894679548237856,22042,-0.02382976535947548,-0.04266152755651159,0.379729607113692,22042,-0.018778586994989493,-0.039176996555453605,0.3884402504309954,22042,0.018778586994989493,0.039176996555453605,0.6070229561745758,-0.05893393393393409,-0.18289416308478157,0.02472089314194581,0.03101878201479802,-0.047770700636942665,0.17366352691659914,-0.03101878201479802,-0.17366352691659914,0.047770700636942665,0.05893393393393409,-0.02472089314194581,0.18289416308478157,-0.09983150800336993,-0.2598997642677443,0.007352941176470562,0.05534567434831894,-0.03880907805754019,0.24947565956507334,-0.05534567434831894,-0.24947565956507334,0.03880907805754019,0.09983150800336993,-0.007352941176470562,0.2598997642677443
2026,6912,218,1,6853,-0.00248694767864037,-0.0068259385665528916,0.42784182110024804,6853,-0.0004451279062779018,-0.005862161972635109,0.44009922661608053,6853,0.0004451279062779018,0.005862161972635109,0.5580037939588501,6744,-0.008544760851896179,-0.017056465085198702,0.4055456702253855,6744,-0.00296450472941694,-0.014257497098483556,0.4263048635824436,6744,0.00296450472941694,0.014257497098483556,0.5720640569395018,6629,-0.015595597048204589,-0.026365754725123036,0.3872378941016745,6629,-0.006749700030554868,-0.020491244293381016,0.4122793784884598,6629,0.006749700030554868,0.020491244293381016,0.5860612460401268,6350,-0.028870241085344937,-0.048573709981701296,0.3549606299212598,6350,-0.012821986510541788,-0.0376229066806722,0.3862992125984252,6350,0.012821986510541788,0.0376229066806722,0.6121259842519685,-0.05929919137466311,-0.2064667657309009,0.02276556057861341,0.025619487610247793,-0.05583883238944393,0.21162957185823275,-0.025619487610247793,-0.2116295718582327,0.055838832389443954,0.05929919137466311,-0.022765560578613408,0.20646676573090092,-0.09383346881895249,-0.2951418311278825,0.006830231400653514,0.045019404915912054,-0.046455798285649386,0.3232124391698611,-0.045019404915912054,-0.32321243916986087,0.046455798285649386,0.09383346881895249,-0.006830231400653507,0.29514183112788256
