tags,events,symbols,years,price_1d_n,price_1d_mean,price_1d_median,price_1d_win_rate,long_total_1d_n,long_total_1d_mean,long_total_1d_median,long_total_1d_win_rate,short_total_1d_n,short_total_1d_mean,short_total_1d_median,short_total_1d_win_rate,price_3d_n,price_3d_mean,price_3d_median,price_3d_win_rate,long_total_3d_n,long_total_3d_mean,long_total_3d_median,long_total_3d_win_rate,short_total_3d_n,short_total_3d_mean,short_total_3d_median,short_total_3d_win_rate,price_5d_n,price_5d_mean,price_5d_median,price_5d_win_rate,long_total_5d_n,long_total_5d_mean,long_total_5d_median,long_total_5d_win_rate,short_total_5d_n,short_total_5d_mean,short_total_5d_median,short_total_5d_win_rate,price_10d_n,price_10d_mean,price_10d_median,price_10d_win_rate,long_total_10d_n,long_total_10d_mean,long_total_10d_median,long_total_10d_win_rate,short_total_10d_n,short_total_10d_mean,short_total_10d_median,short_total_10d_win_rate,mae_long_5d_median,mae_long_5d_p10,mae_long_5d_p90,mfe_long_5d_median,mfe_long_5d_p10,mfe_long_5d_p90,mae_short_5d_median,mae_short_5d_p10,mae_short_5d_p90,mfe_short_5d_median,mfe_short_5d_p10,mfe_short_5d_p90,mae_long_10d_median,mae_long_10d_p10,mae_long_10d_p90,mfe_long_10d_median,mfe_long_10d_p10,mfe_long_10d_p90,mae_short_10d_median,mae_short_10d_p10,mae_short_10d_p90,mfe_short_10d_median,mfe_short_10d_p10,mfe_short_10d_p90
funding_extreme_negative,15565,363,6,15554,-0.0012083374525674701,-0.0013921657938589793,0.48283399768548285,15554,-0.0004992658992692832,-0.0008433238479218511,0.48952038060948955,15554,0.0004992658992692832,0.0008433238479218511,0.5104796193905105,15535,-0.0023343250199821834,-0.004896710022953332,0.4666237528162214,15535,-0.0003484614145750386,-0.0035997956241317283,0.4777598970067589,15535,0.0003484614145750386,0.0035997956241317283,0.5222401029932411,15518,-0.0039948626518478605,-0.00811724175969969,0.45675989173862613,15518,-0.0009002384470534289,-0.0062616139445770234,0.46616832065987884,15518,0.0009002384470534289,0.0062616139445770234,0.5338316793401211,15476,-0.0076082027433636715,-0.020273637920049048,0.4335099508917033,15476,-0.0020807922341881703,-0.015128417481270579,0.44656241922977513,15476,0.0020807922341881703,0.015128417481270579,0.5534375807702249,-0.04121759782933648,-0.1531765019687395,0.02574464730995969,0.0314646739187725,-0.03544791801184425,0.15185931269012964,-0.0314646739187725,-0.15185931269012956,0.035447918011844305,0.04121759782933648,-0.02574464730995969,0.1531765019687395,-0.07136154156723501,-0.22414668265387694,0.01308402068256336,0.05299392131044334,-0.026410014126452913,0.23334108579283908,-0.05299392131044334,-0.23334108579283902,0.026410014126452948,0.07136154156723501,-0.013084020682563357,0.22414668265387702
funding_extreme_negative+top_gainer_1d,7493,366,6,7490,-0.0012429183245778609,-0.006959492362779263,0.4417890520694259,7490,0.001859399782231218,-0.005622169100197997,0.4534045393858478,7490,-0.001859399782231218,0.005622169100197997,0.5460614152202937,7478,-0.005683221483616335,-0.014147994514943363,0.43073014174913077,7478,0.0009116421176139423,-0.011237576122949929,0.44437015244717837,7478,-0.0009116421176139423,0.011237576122949929,0.5552286707675849,7466,-0.005886346197589623,-0.020283963040206743,0.41789445486204124,7466,0.003234884900722728,-0.01562563245428006,0.43959282078757034,7466,-0.003234884900722728,0.01562563245428006,0.5600053576212162,7436,-0.010462231782018609,-0.03408519589695108,0.4031737493275955,7436,0.0036705819431024243,-0.026438378813840886,0.4242872512103281,7436,-0.0036705819431024243,0.026438378813840886,0.5754437869822485,-0.05746507968469172,-0.19475693292639404,0.030537990774609582,0.029987110169441222,-0.05845242848907496,0.20328511420678338,-0.029987110169441222,-0.20328511420678336,0.05845242848907499,0.05746507968469172,-0.030537990774609565,0.19475693292639407,-0.09226794522025472,-0.26946124986453407,0.013885161624256227,0.05379187593200485,-0.04928849250952828,0.30763840334271497,-0.05379187593200485,-0.30763840334271497,0.04928849250952829,0.09226794522025472,-0.013885161624256155,0.26946124986453407
funding_extreme_negative+top_loser_1d,7411,378,6,7403,-0.0007839437273475074,-0.004768241295187381,0.4598135890855059,7403,0.0012969080313989473,-0.0036286545012165494,0.47007969741996486,7403,-0.0012969080313989473,0.0036286545012165494,0.5297852222072132,7390,-0.002022382088216978,-0.010081185141514737,0.4408660351826793,7390,0.0034326213042052147,-0.006764127844732138,0.46035182679296344,7390,-0.0034326213042052147,0.006764127844732138,0.5395128552097429,7374,-0.0061706864084238085,-0.01732399762520903,0.4258204502305397,7374,0.002216913154906812,-0.012150762466977343,0.44901003525901817,7374,-0.002216913154906812,0.012150762466977343,0.5508543531326282,7334,-0.012636183659927958,-0.03232773636173619,0.4067357512953368,7334,0.0009225806242280283,-0.024361858198390436,0.4299154622307063,7334,-0.0009225806242280283,0.024361858198390436,0.5699481865284974,-0.0527674514663361,-0.1789402115373883,0.0285903430957704,0.03000779423226807,-0.046324857495477295,0.18793236973490823,-0.03000779423226807,-0.18793236973490823,0.04632485749547731,0.0527674514663361,-0.0285903430957704,0.1789402115373883,-0.08700582054577055,-0.2538806977582643,0.014898446625688212,0.05398991397211517,-0.03648034851646398,0.27752068440340044,-0.05398991397211517,-0.27752068440340044,0.036480348516463985,0.08700582054577055,-0.014898446625688197,0.2538806977582643
funding_extreme_positive,18369,391,6,18361,-0.0005708889441091865,-0.0007444168734492829,0.48630248897118894,18361,-0.0008727041491633768,-0.0010497939986330166,0.4843418114481782,18361,0.0008727041491633768,0.0010497939986330166,0.5156581885518218,18346,-0.0018692639280026289,-0.004297911061955928,0.4677313855881391,18346,-0.0026146639607073073,-0.00512233574107456,0.46358879319742724,18346,0.0026146639607073073,0.00512233574107456,0.5364112068025728,18327,-0.0030590077075140745,-0.0076541385135135975,0.4592677470398865,18327,-0.0041832897176630355,-0.008884738121956063,0.4539750095487532,18327,0.0041832897176630355,0.008884738121956063,0.5460249904512468,18285,-0.0061420015439578885,-0.018356278681685434,0.43866557287394037,18285,-0.008065791267775225,-0.020382668039575426,0.43237626469783974,18285,0.008065791267775225,0.020382668039575426,0.5676237353021603,-0.04198070891148764,-0.1562888520513882,0.026196473551637567,0.033373786407767,-0.034756798161623914,0.15631245660909254,-0.033373786407767,-0.15631245660909254,0.034756798161623914,0.04198070891148764,-0.026196473551637567,0.1562888520513882,-0.07158897584212309,-0.22729636949963583,0.012987012987013102,0.05700833031510322,-0.025254940404318305,0.23809523809523814,-0.05700833031510322,-0.23809523809523814,0.025254940404318305,0.07158897584212309,-0.012987012987013102,0.22729636949963583
funding_extreme_positive+top_gainer_1d,7492,359,6,7483,7.84535540224305e-05,-0.004877077734647073,0.44848322865161033,7483,-0.00030938727853135813,-0.00523605854977611,0.446745957503675,7483,0.00030938727853135813,0.00523605854977611,0.553254042496325,7463,-0.0023233006396080856,-0.009915809167446166,0.44620125954709905,7463,-0.0032493408138007706,-0.010937506697624487,0.440707490285408,7463,0.0032493408138007706,0.010937506697624487,0.559292509714592,7451,-0.004623421556814906,-0.014635684049356112,0.43792779492685546,7451,-0.005893824348386505,-0.01576620235287464,0.43323043886726614,7451,0.005893824348386505,0.01576620235287464,0.5667695611327339,7409,-0.009669820538101654,-0.031610223542771765,0.4085571602105547,7409,-0.01136474403654949,-0.033680599863797775,0.40153866918612496,7409,0.01136474403654949,0.033680599863797775,0.598461330813875,-0.05485869729484649,-0.19350494616542951,0.030682834774964543,0.03662411099452023,-0.048034641290819975,0.20461969252817835,-0.03662411099452023,-0.20461969252817833,0.04803464129082,0.05485869729484649,-0.03068283477496454,0.19350494616542951,-0.09148076059290322,-0.2812130933494626,0.012611716512532485,0.06132259321813671,-0.037842278510207474,0.30721600381043107,-0.06132259321813671,-0.30721600381043107,0.03784227851020748,0.09148076059290322,-0.012611716512532477,0.2812130933494626
funding_extreme_positive+top_loser_1d,6999,365,6,6994,-0.0003747735485411343,-0.0031764617636551584,0.4671146697169002,6994,-0.0007230347481407905,-0.003486031057551817,0.46539891335430367,6994,0.0007230347481407905,0.003486031057551817,0.533743208464398,6982,0.001269365185200212,-0.008157781039658252,0.45230592953308507,6982,0.0005234480411154213,-0.008859727929083808,0.44915496992265824,6982,-0.0005234480411154213,0.008859727929083808,0.5501289028931539,6967,-5.670754292714126e-05,-0.01323828920570258,0.4476819290943017,6967,-0.0011043018790833057,-0.014084028996206597,0.4419405770058849,6967,0.0011043018790833057,0.014084028996206597,0.557341753983063,6940,-0.004340386945275652,-0.02604677741862632,0.4229106628242075,6940,-0.005856445943834729,-0.027987566438103753,0.41585014409221904,6940,0.005856445943834729,0.027987566438103753,0.5834293948126801,-0.051411469278447586,-0.18623266596901025,0.031213844330806977,0.036288595057002215,-0.0468698753134044,0.20345087965325995,-0.036288595057002215,-0.20345087965325995,0.04686987531340439,0.051411469278447586,-0.03121384433080698,0.18623266596901022,-0.0879996684489493,-0.26632441960521724,0.016259908460265357,0.06213108049469451,-0.03625410225363648,0.3029885170840241,-0.06213108049469451,-0.3029885170840241,0.03625410225363647,0.0879996684489493,-0.016259908460265364,0.26632441960521724
top_gainer_1d,17875,412,6,17864,-0.0020931385041139373,-0.004100633288557531,0.45152261531571874,17864,-0.0021991459839616756,-0.0043011176799010835,0.4510747872816838,17864,0.0021991459839616756,0.0043011176799010835,0.5445029108822212,17854,-0.003446833647409586,-0.007663092806021454,0.4504312759045592,17854,-0.003766875450366908,-0.008111416374741661,0.44891900974571525,17854,0.003766875450366908,0.008111416374741661,0.5467122213509578,17832,-0.005474804597347943,-0.011023574095648137,0.4424069089277703,17832,-0.005981390657240273,-0.011742780805193743,0.44010767160161507,17832,0.005981390657240273,0.011742780805193743,0.5555181695827726,17786,-0.008202215404503735,-0.020629242081448063,0.43219386033959295,17786,-0.009138487664146147,-0.02203287048246045,0.42820195659507476,17786,0.009138487664146147,0.02203287048246045,0.5674125716855954,-0.04812081739479429,-0.1729890107093694,0.026178467344526057,0.03247361656198278,-0.04407348800180844,0.17097100910967641,-0.03247361656198278,-0.17097100910967633,0.044073488001808464,0.04812081739479429,-0.026178467344526044,0.17298901070936942,-0.07878690703144298,-0.24442275717487166,0.012219154536351785,0.05745559668019917,-0.034206217068979416,0.25573329091090125,-0.05745559668019917,-0.25573329091090113,0.03420621706897942,0.07878690703144298,-0.012219154536351756,0.24442275717487172
top_loser_1d,18450,422,6,18438,-0.00074157677069267,-0.0013911786115662905,0.47987851176917234,18438,-0.0008757440057507022,-0.0015660181470467552,0.4791734461438334,18438,0.0008757440057507022,0.0015660181470467552,0.5180605271721445,18414,-0.002575486918983654,-0.006105990668357819,0.459378733572282,18414,-0.002872632495175683,-0.006752425770445535,0.4574780058651026,18414,0.002872632495175683,0.006752425770445535,0.5397523623330075,18396,-0.005646573786135362,-0.00949416647091067,0.45248967166775383,18396,-0.006059144574350191,-0.010356647687800053,0.4506414437921287,18396,0.006059144574350191,0.010356647687800053,0.5465318547510328,18349,-0.009374526221183618,-0.023821339950372167,0.42443729903536975,18349,-0.01006523756676103,-0.02478271489740082,0.42078587388958527,18349,0.01006523756676103,0.02478271489740082,0.5764346830889967,-0.04622798481658952,-0.17018615411144994,0.0293904623054278,0.034563585132618924,-0.04019510608988332,0.17343442108871662,-0.034563585132618924,-0.17343442108871676,0.0401951060898833,0.04622798481658952,-0.02939046230542781,0.17018615411144994,-0.07908797694447939,-0.24475575540522257,0.013637213184018669,0.059075589762833114,-0.02927936136841497,0.2617892419868399,-0.059075589762833114,-0.26178924198683995,0.02927936136841497,0.07908797694447939,-0.01363721318401867,0.24475575540522257
