factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_notes
rev_3h,reversal,positive,COMPUTED,False,close,3,1h,0.03438465,1h,0.212129,72h,-0.002109,-5.7791,0.5967,3315461,0.000241,KNOWN,DIVERGENT,DIRECTION_REVIEW_REQUIRED,RankIC and long-short spread point in opposite directions. Direction semantics need review.
rev_1h,reversal,positive,COMPUTED,False,close,1,1h,0.03650558,1h,0.230027,72h,-0.0013287,-3.7037,0.6071,3315993,8e-05,KNOWN,DIVERGENT,DIRECTION_REVIEW_REQUIRED,RankIC and long-short spread point in opposite directions. Direction semantics need review.
price_volume_corr_20h,volume_price,conditional,DIRECTION_UNKNOWN,False,close|quote_volume,21,24h,-0.04024845,24h,-0.3481,72h,0.00277108,8.9406,0.4202,3299518,0.005048,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
