factor_id,family,expected_direction,formula_proxy,required_columns,lookback_window,data_availability,coverage,missing_rate,best_horizon,best_adj_ic,best_adj_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,ic_win_rate,monthly_stability_summary,quantile_monotonicity_summary,rankic_longshort_consistency,redundancy_level,nearest_existing_factors,decision_bucket,recommended_action,caveats
rev_1h,reversal,positive,-(close / close_1h_ago - 1); very short-term reversal diagnostic,close,1,EXISTS,3315993,8e-05,1h,0.03650558,0.230027,72h,-0.0013287,-3.7037,0.6071,STABLE (25/25 months positive),NEARLY_MONOTONIC,DIVERGENT,MODERATE_REDUNDANCY,"rsi_7h (|ρ|=0.766, MODERATE_REDUNDANCY); xs_rank_ret_1h (|ρ|=0.665, LOW_REDUNDANCY); price_pos_72h (|ρ|=0.212, LOW_REDUNDANCY)",REVIEW_REQUIRED,Do not promote. Investigate direction semantics.,RankIC-longshort divergence. Direction semantics need review.
rev_3h,reversal,positive,-(close / close_3h_ago - 1); formula is already sign-inverted to represent reversal hypothesis; higher factor_value means stronger prior loser / stronger reversal signal. expected_direction set to positive to avoid double inversion in direction-adjusted IC.,close,3,EXISTS,3315461,0.000241,1h,0.03438465,0.212129,72h,-0.002109,-5.7791,0.5967,STABLE (25/25 months positive),NEARLY_MONOTONIC,DIVERGENT,LOW_REDUNDANCY,"williams_r_14h (|ρ|=0.638, LOW_REDUNDANCY); price_pos_24h (|ρ|=0.525, LOW_REDUNDANCY); rsi_28h (|ρ|=0.372, LOW_REDUNDANCY)",REVIEW_REQUIRED,Do not promote. Investigate direction semantics.,RankIC-longshort divergence. Direction semantics need review.
price_volume_corr_20h,volume_price,conditional,"rolling_corr(ret_1h, pct_change(quote_volume), 20); attention diagnostic",close|quote_volume,21,EXISTS,3299518,0.005048,24h,-0.04024845,-0.3481,72h,0.00277108,8.9406,0.4202,UNSTABLE (2/25 months positive),NEARLY_MONOTONIC,DIVERGENT,LOW_REDUNDANCY,"mom_20h (|ρ|=0.585, LOW_REDUNDANCY); ema_12_26_gap (|ρ|=0.575, LOW_REDUNDANCY); realized_skew_20h (|ρ|=0.551, LOW_REDUNDANCY)",CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
