factor,label,IC_mean,RankIC_mean,spread_mean,IC_sign,RankIC_sign,spread_sign,direction_consistent,notes
mom_20h,ret_fwd_1h,0.0035997301683255442,-0.014668226332313595,0.00028631149190013215,+,-,+,False,IC↔RankIC conflict
mom_20h,ret_fwd_4h,-0.0021960986523711723,-0.021265122735125864,0.0012515822041385257,-,-,+,False,IC↔spread conflict
mom_20h,ret_fwd_24h,0.0021633229427671496,-0.008254324808265255,0.008606254526279215,+,-,+,False,IC↔RankIC conflict
mom_20h,ret_fwd_72h,0.0024618608380161658,0.013038780592158433,0.009273564505392259,+,+,+,True,OK
reversal_5h,ret_fwd_1h,-0.006360949134109348,0.024292656132737848,-0.0002286938921842082,-,+,-,False,IC↔RankIC conflict
reversal_5h,ret_fwd_4h,-0.005904780156161609,0.023821242160656914,-0.0013518438085851478,-,+,-,False,IC↔RankIC conflict
reversal_5h,ret_fwd_24h,0.001666282811596466,0.015572174957241457,-0.005525075751476492,+,+,-,False,IC↔spread conflict
reversal_5h,ret_fwd_72h,-0.0035913456621061773,-0.00038473187454468203,-0.010163509503802886,-,-,-,True,OK
volatility_20h,ret_fwd_1h,0.005645890830617826,-0.016698237218805635,0.0007307185392815935,+,-,+,False,IC↔RankIC conflict
volatility_20h,ret_fwd_4h,0.016905397498029433,-0.01914694240850423,0.0031726490130143826,+,-,+,False,IC↔RankIC conflict
volatility_20h,ret_fwd_24h,0.024529221606722117,-0.017773761798048966,0.016403485530242477,+,-,+,False,IC↔RankIC conflict
volatility_20h,ret_fwd_72h,0.04022309639644769,-0.01770252159679705,0.03984297438616208,+,-,+,False,IC↔RankIC conflict
rsi_14h,ret_fwd_1h,0.009489276035405647,-0.012953286939280221,0.000477729015309244,+,-,+,False,IC↔RankIC conflict
rsi_14h,ret_fwd_4h,0.012548615178813942,-0.01422737343339242,0.0016000740118257489,+,-,+,False,IC↔RankIC conflict
rsi_14h,ret_fwd_24h,0.022360149979616568,-0.0008134419332215259,0.007881099179865174,+,-,+,False,IC↔RankIC conflict
rsi_14h,ret_fwd_72h,0.028618247327779442,0.020265130853030312,0.012401817429716909,+,+,+,True,OK
bb_zscore_20h,ret_fwd_1h,0.0035220251498822635,-0.01852317260365198,0.0003468421181241166,+,-,+,False,IC↔RankIC conflict
bb_zscore_20h,ret_fwd_4h,0.005866185515849472,-0.019979290279841556,0.0013941287268111418,+,-,+,False,IC↔RankIC conflict
bb_zscore_20h,ret_fwd_24h,0.014163052001983374,-0.006392594243551874,0.006307690188414625,+,-,+,False,IC↔RankIC conflict
bb_zscore_20h,ret_fwd_72h,0.011681542319571088,0.007141187011571494,0.00723889943679912,+,+,+,True,OK
mom_6h,ret_fwd_1h,0.007695590326034559,-0.021265798962600186,0.0002116650426435467,+,-,+,False,IC↔RankIC conflict
mom_6h,ret_fwd_4h,0.0061232082343372265,-0.022994495195752907,0.001315674806717729,+,-,+,False,IC↔RankIC conflict
mom_6h,ret_fwd_24h,-0.0028215970896088047,-0.015058778755972923,0.003959461865578875,-,-,+,False,IC↔spread conflict
mom_6h,ret_fwd_72h,0.0024305647418877974,0.0014752371999642553,0.005260534851042306,+,+,+,True,OK
mom_12h,ret_fwd_1h,0.010659726913431686,-0.014785133343855696,0.0004134606414418755,+,-,+,False,IC↔RankIC conflict
mom_12h,ret_fwd_4h,0.005143857240070513,-0.018377159907984192,0.001487425109209959,+,-,+,False,IC↔RankIC conflict
mom_12h,ret_fwd_24h,-0.004313661659666448,-0.018338139722799615,0.005218356602160171,-,-,+,False,IC↔spread conflict
mom_12h,ret_fwd_72h,-0.0005964481227422896,0.00451204134800042,0.006390409263955192,-,+,+,False,IC↔RankIC conflict; IC↔spread conflict
mom_24h,ret_fwd_1h,0.004363701875119122,-0.01364991433417446,0.000251087294660823,+,-,+,False,IC↔RankIC conflict
mom_24h,ret_fwd_4h,0.0006882662102022162,-0.01829619199481991,0.0011925709943518123,+,-,+,False,IC↔RankIC conflict
mom_24h,ret_fwd_24h,0.010221354756712922,0.0016756513881075231,0.00985205842827306,+,+,+,True,OK
mom_24h,ret_fwd_72h,0.004863390786278873,0.018889165166098013,0.010878013606623016,+,+,+,True,OK
mom_72h,ret_fwd_1h,0.011511121809785392,0.0003469278581242274,0.00046360637309236335,+,+,+,True,OK
mom_72h,ret_fwd_4h,0.017110099633290177,0.0013555643559984905,0.0016712590126395674,+,+,+,True,OK
mom_72h,ret_fwd_24h,0.021279029306937376,0.01199812983281925,0.008670238180144977,+,+,+,True,OK
mom_72h,ret_fwd_72h,0.03282122895460877,0.029384192760268966,0.017721661139430276,+,+,+,True,OK
reversal_1h,ret_fwd_1h,0.0077173809180778085,0.030139420528632013,-0.00014093064027064856,+,+,-,False,IC↔spread conflict
reversal_1h,ret_fwd_4h,0.0076330973975879905,0.024956696906408254,-0.0006670020497565885,+,+,-,False,IC↔spread conflict
reversal_1h,ret_fwd_24h,0.0041312533504993965,0.01222139281778329,-0.0020726423646908122,+,+,-,False,IC↔spread conflict
reversal_1h,ret_fwd_72h,-0.0004460313411199143,0.0019108879109630537,-0.006070400608315919,-,+,-,False,IC↔RankIC conflict
reversal_4h,ret_fwd_1h,-0.0012354706416675336,0.025188396858336445,-0.0004133678122594787,-,+,-,False,IC↔RankIC conflict
reversal_4h,ret_fwd_4h,-0.004324776160907086,0.025337847566115717,-0.001285956059621916,-,+,-,False,IC↔RankIC conflict
reversal_4h,ret_fwd_24h,0.0010772778531617515,0.015457002709992968,-0.004773380469650124,+,+,-,False,IC↔spread conflict
reversal_4h,ret_fwd_72h,-0.003095953897482775,0.00014098669521723082,-0.00901519285985343,-,+,-,False,IC↔RankIC conflict
reversal_12h,ret_fwd_1h,-0.010659726913431686,0.014785133343855696,-0.00052081479197504,-,+,-,False,IC↔RankIC conflict
reversal_12h,ret_fwd_4h,-0.005143857240070513,0.018377159907984192,-0.002009442773405802,-,+,-,False,IC↔RankIC conflict
reversal_12h,ret_fwd_24h,0.004313661659666448,0.018338139722799615,-0.007813300519173068,+,+,-,False,IC↔spread conflict
reversal_12h,ret_fwd_72h,0.0005964481227422896,-0.00451204134800042,-0.013071708359390564,+,-,-,False,IC↔RankIC conflict; IC↔spread conflict
reversal_24h,ret_fwd_1h,-0.004363701875119122,0.01364991433417446,-0.0003816446496156597,-,+,-,False,IC↔RankIC conflict
reversal_24h,ret_fwd_4h,-0.0006882662102022162,0.01829619199481991,-0.0018043923459358624,-,+,-,False,IC↔RankIC conflict
reversal_24h,ret_fwd_24h,-0.010221354756712922,-0.0016756513881075231,-0.012954447190336147,-,-,-,True,OK
reversal_24h,ret_fwd_72h,-0.004863390786278873,-0.018889165166098013,-0.0179300000873477,-,-,-,True,OK
volatility_6h,ret_fwd_1h,0.004947510472772604,-0.016184605979938285,0.0007234350377233737,+,-,+,False,IC↔RankIC conflict
volatility_6h,ret_fwd_4h,0.01718985490822098,-0.015423880641809338,0.0029115231507091496,+,-,+,False,IC↔RankIC conflict
volatility_6h,ret_fwd_24h,0.031123963632962697,-0.01046791183087529,0.015406424607395983,+,-,+,False,IC↔RankIC conflict
volatility_6h,ret_fwd_72h,0.0422436921212002,-0.012961267350306909,0.03513920033554079,+,-,+,False,IC↔RankIC conflict
volatility_24h,ret_fwd_1h,0.007197332665154757,-0.01621048242008659,0.0007769283624509776,+,-,+,False,IC↔RankIC conflict
volatility_24h,ret_fwd_4h,0.01696238369724674,-0.018787825220083758,0.0031497355174086405,+,-,+,False,IC↔RankIC conflict
volatility_24h,ret_fwd_24h,0.02260132621236434,-0.01879254709130031,0.01630031367212835,+,-,+,False,IC↔RankIC conflict
volatility_24h,ret_fwd_72h,0.039385844759449014,-0.018261332726037617,0.03985692588261056,+,-,+,False,IC↔RankIC conflict
volatility_72h,ret_fwd_1h,0.002085725544719206,-0.017197585426639645,0.0007402962821414285,+,-,+,False,IC↔RankIC conflict
volatility_72h,ret_fwd_4h,0.0090993971577763,-0.02086744319795752,0.0029980439463724,+,-,+,False,IC↔RankIC conflict
volatility_72h,ret_fwd_24h,0.015135317424260445,-0.019973948763743674,0.016467337796491382,+,-,+,False,IC↔RankIC conflict
volatility_72h,ret_fwd_72h,0.0383246055685166,-0.019934695176729314,0.03942451817936765,+,-,+,False,IC↔RankIC conflict
volume_zscore_20h,ret_fwd_1h,0.0064419392096934916,0.0024127932850091303,0.0003269977632731787,+,+,+,True,OK
volume_zscore_20h,ret_fwd_4h,0.004164966341289671,-0.003302537380138935,0.0007549932202068804,+,-,+,False,IC↔RankIC conflict
volume_zscore_20h,ret_fwd_24h,0.012702379502497519,-0.0030255346080063743,0.0011288071700520936,+,-,+,False,IC↔RankIC conflict
volume_zscore_20h,ret_fwd_72h,0.008716447155204579,-4.18552473397258e-05,0.0003458468850245915,+,-,+,False,IC↔RankIC conflict
volume_ratio_20h,ret_fwd_1h,0.00537803995311619,0.00047295917831577443,0.0003151249887299478,+,+,+,True,OK
volume_ratio_20h,ret_fwd_4h,0.002810777710732129,-0.00520087973476927,0.0005953766627124746,+,-,+,False,IC↔RankIC conflict
volume_ratio_20h,ret_fwd_24h,0.013185120837961613,-0.0009288958456574912,0.00014561286940359332,+,-,+,False,IC↔RankIC conflict
volume_ratio_20h,ret_fwd_72h,0.010626947855617103,0.0042800101088444715,-0.000881419214196192,+,+,-,False,IC↔spread conflict
quote_volume_zscore_20h,ret_fwd_1h,0.006971581829330131,0.002230696509662781,0.00024683396960400295,+,+,+,True,OK
quote_volume_zscore_20h,ret_fwd_4h,0.004247035034065672,-0.00394767760885874,0.0006236686305130835,+,-,+,False,IC↔RankIC conflict
quote_volume_zscore_20h,ret_fwd_24h,0.012077534612156724,-0.003669349277619837,0.0011641746366469054,+,-,+,False,IC↔RankIC conflict
quote_volume_zscore_20h,ret_fwd_72h,0.008449903666013527,-0.00012579579154398883,0.0004733660845789104,+,-,+,False,IC↔RankIC conflict
hl_range_20h,ret_fwd_1h,0.006618352407982133,-0.017235795725456863,0.000764320438828648,+,-,+,False,IC↔RankIC conflict
hl_range_20h,ret_fwd_4h,0.01683958245819996,-0.021482883591453103,0.003114142455283843,+,-,+,False,IC↔RankIC conflict
hl_range_20h,ret_fwd_24h,0.025819018125812717,-0.0182433374035052,0.017751022282578455,+,-,+,False,IC↔RankIC conflict
hl_range_20h,ret_fwd_72h,0.04354219632934189,-0.013308448032566741,0.046070053541696014,+,-,+,False,IC↔RankIC conflict
close_to_high_20h,ret_fwd_1h,-0.004871014885207022,-0.001428525420286226,-0.0002766507618470852,-,-,-,True,OK
close_to_high_20h,ret_fwd_4h,-0.01652967288371098,4.6458542995011843e-05,-0.0015369808543550668,-,+,-,False,IC↔RankIC conflict
close_to_high_20h,ret_fwd_24h,-0.026039453019591458,0.003897315253319379,-0.01016409649118559,-,+,-,False,IC↔RankIC conflict
close_to_high_20h,ret_fwd_72h,-0.03190857595072529,0.015611738737144295,-0.023621590676810664,-,+,-,False,IC↔RankIC conflict
close_to_low_20h,ret_fwd_1h,0.005698473538735323,-0.026388349788402616,0.0006797498793806659,+,-,+,False,IC↔RankIC conflict
close_to_low_20h,ret_fwd_4h,0.010213295485552621,-0.03019365953706395,0.002702905831101851,+,-,+,False,IC↔RankIC conflict
close_to_low_20h,ret_fwd_24h,0.017981895327965403,-0.024009070859611382,0.014878050927465936,+,-,+,False,IC↔RankIC conflict
close_to_low_20h,ret_fwd_72h,0.03571656285090453,-0.011926687649715745,0.035035604220566514,+,-,+,False,IC↔RankIC conflict
atr_14h,ret_fwd_1h,0.005383180123405076,-0.01777385515383141,0.0007878491755572987,+,-,+,False,IC↔RankIC conflict
atr_14h,ret_fwd_4h,0.016756051238552224,-0.022544179600538478,0.003099470740273629,+,-,+,False,IC↔RankIC conflict
atr_14h,ret_fwd_24h,0.026991344983263856,-0.018766762672683502,0.01675918555795013,+,-,+,False,IC↔RankIC conflict
atr_14h,ret_fwd_72h,0.04445621017741691,-0.01380767177023645,0.0440435552303783,+,-,+,False,IC↔RankIC conflict
ma_gap_20h,ret_fwd_1h,0.006572804852666389,-0.021318532347485535,0.0002508568429246169,+,-,+,False,IC↔RankIC conflict
ma_gap_20h,ret_fwd_4h,0.00017625969681668634,-0.02578343043182357,0.0010905847666358504,+,-,+,False,IC↔RankIC conflict
ma_gap_20h,ret_fwd_24h,-0.006666065407234625,-0.01942966521301374,0.00572008277103964,-,-,+,False,IC↔spread conflict
ma_gap_20h,ret_fwd_72h,-0.0008900287485764096,0.005181648397020331,0.006176977598182619,-,+,+,False,IC↔RankIC conflict; IC↔spread conflict
