signal_id,symbol,side,mode,signal_ts,signal_confirmed_at,bar_key,entry_ts,entry_price,entry_fee_bps,entry_maker,paper_trade_state,status,exit_ts,exit_price,exit_reason,mark_ts,mark_price,gross_ret,net_ret,mark_gross_ret,mark_net_ret,paper_effective_gross_ret,paper_effective_net_ret,hold_minutes,target_hit,stop_hit,timeout_hit,same_bar_conflict,barrier_type,atr14,tp_atr_mult,sl_atr_mult,timeout_15m,max_concurrent_positions,exit_monitor_interval_minutes,trade_ts,notional_usdt,live_like_pnl_usdt,effective_net_ret,month
rank32b-bchusdt-d94f283034b61fbe,BCHUSDT,long,official_close,2026-02-05T07:15:00Z,2026-02-05T07:30:00Z,BCHUSDT|2026-02-05T07:15:00Z,2026-02-05T07:30:00Z,531.72,6.0,0,closed,realized,2026-02-05T07:57:59Z,526.4857142857143,stop_1m,,,-0.009844064007909714,-0.01103189467496335,,,-0.009844064007909714,-0.01103189467496335,27,0,1,0,0,atr,5.23428571428572,1.75,1.0,8,3,1,2026-02-05T07:57:59Z,100.0,-1.103189467496335,-0.01103189467496335,2026-02
rank32b-tradoorusdt-7a5077201fdc5e13,TRADOORUSDT,long,official_close,2026-02-05T07:45:00Z,2026-02-05T08:00:00Z,TRADOORUSDT|2026-02-05T07:45:00Z,2026-02-05T08:00:00Z,0.928,6.0,0,closed,realized,2026-02-05T08:04:59Z,0.9172142857142858,stop_1m,,,-0.011622536945812834,-0.012808234085591286,,,-0.011622536945812834,-0.012808234085591286,4,0,1,0,0,atr,0.010785714285714296,1.75,1.0,8,3,1,2026-02-05T08:04:59Z,40.0,-0.5123293634236514,-0.012808234085591286,2026-02
rank32b-solusdt-9df1da55ea4ac8c7,SOLUSDT,short,official_close,2026-02-05T10:00:00Z,2026-02-05T10:15:00Z,SOLUSDT|2026-02-05T10:00:00Z,2026-02-05T10:15:00Z,91.99,6.0,0,closed,realized,2026-02-05T10:52:59Z,90.42875,target_1m,,,0.01697195347320357,0.015751953238938965,,,0.01697195347320357,0.015751953238938965,37,1,0,0,0,atr,0.8921428571428578,1.75,1.0,8,3,1,2026-02-05T10:52:59Z,100.0,1.5751953238938965,0.015751953238938965,2026-02
rank32b-actusdt-f680172d543e4534,ACTUSDT,short,official_close,2026-02-05T14:45:00Z,2026-02-05T15:00:00Z,ACTUSDT|2026-02-05T14:45:00Z,2026-02-05T15:00:00Z,0.01574,6.0,0,closed,realized,2026-02-05T15:10:59Z,0.0153775,target_1m,,,0.023030495552731844,0.02180322724904693,,,0.023030495552731844,0.02180322724904693,10,1,0,0,0,atr,0.00020714285714285713,1.75,1.0,8,3,1,2026-02-05T15:10:59Z,40.0,0.8721290899618772,0.02180322724904693,2026-02
rank32b-dogeusdt-69b5afd615923a34,DOGEUSDT,short,official_close,2026-02-06T06:15:00Z,2026-02-06T06:30:00Z,DOGEUSDT|2026-02-06T06:15:00Z,2026-02-06T06:30:00Z,0.09228,6.0,0,closed,realized,2026-02-06T07:08:59Z,0.09065000000000001,target_1m,,,0.017663632423060127,0.016442802423059844,,,0.017663632423060127,0.016442802423059844,38,1,0,0,0,atr,0.0009314285714285701,1.75,1.0,8,3,1,2026-02-06T07:08:59Z,100.0,1.6442802423059844,0.016442802423059844,2026-02
rank32b-xrpusdt-ef82fa668745ed17,XRPUSDT,short,official_close,2026-02-06T08:15:00Z,2026-02-06T08:30:00Z,XRPUSDT|2026-02-06T08:15:00Z,2026-02-06T08:30:00Z,1.2886,6.0,0,closed,realized,2026-02-06T08:55:59Z,1.3066428571428572,stop_1m,,,-0.014001906831334177,-0.015184749583823098,,,-0.014001906831334177,-0.015184749583823098,25,0,1,0,0,atr,0.0180428571428572,1.75,1.0,8,3,1,2026-02-06T08:55:59Z,100.0,-1.5184749583823098,-0.015184749583823098,2026-02
rank32b-solusdt-084c1dfbd4b57150,SOLUSDT,short,official_close,2026-02-06T10:45:00Z,2026-02-06T11:00:00Z,SOLUSDT|2026-02-06T10:45:00Z,2026-02-06T11:00:00Z,80.73,6.0,0,closed,realized,2026-02-06T11:37:59Z,81.64214285714286,stop_1m,,,-0.01129868521172872,-0.012484770857001393,,,-0.01129868521172872,-0.012484770857001393,37,0,1,0,0,atr,0.9121428571428599,1.75,1.0,8,3,1,2026-02-06T11:37:59Z,100.0,-1.2484770857001393,-0.012484770857001393,2026-02
rank32b-pippinusdt-ec6f6eef31166b0b,PIPPINUSDT,long,official_close,2026-02-06T23:00:00Z,2026-02-06T23:15:00Z,PIPPINUSDT|2026-02-06T23:00:00Z,2026-02-06T23:15:00Z,0.18415,6.0,0,closed,realized,2026-02-06T23:44:59Z,0.18900625000000001,target_1m,,,0.0263711648112952,0.025139888907140806,,,0.0263711648112952,0.025139888907140806,29,1,0,0,0,atr,0.002775000000000002,1.75,1.0,8,3,1,2026-02-06T23:44:59Z,40.0,1.0055955562856322,0.025139888907140806,2026-02
rank32b-zecusdt-ec814f8de4947ab3,ZECUSDT,short,official_close,2026-02-07T00:15:00Z,2026-02-07T00:30:00Z,ZECUSDT|2026-02-07T00:15:00Z,2026-02-07T00:30:00Z,234.52,6.0,0,closed,realized,2026-02-07T00:34:59Z,237.30785714285716,stop_1m,,,-0.011887502741161349,-0.013072882017373,,,-0.011887502741161349,-0.013072882017373,4,0,1,0,0,atr,2.787857142857149,1.75,1.0,8,3,1,2026-02-07T00:34:59Z,100.0,-1.3072882017373,-0.013072882017373,2026-02
rank32b-turbousdt-5cd29889c4156bfb,TURBOUSDT,short,official_close,2026-02-07T06:45:00Z,2026-02-07T07:00:00Z,TURBOUSDT|2026-02-07T06:45:00Z,2026-02-07T07:00:00Z,0.0010977,6.0,0,closed,realized,2026-02-07T07:15:59Z,0.0010825875,target_1m,,,0.013767422793112938,0.012551266842033337,,,0.013767422793112938,0.012551266842033337,15,1,0,0,0,atr,8.635714285714267e-06,1.75,1.0,8,3,1,2026-02-07T07:15:59Z,40.0,0.5020506736813335,0.012551266842033337,2026-02
