month,trade_count,pnl_usdt,cum_pnl_usdt,win_rate,avg_net_ret,trade_sharpe
2025-04,307,-38.666479806379975,-38.666479806379975,0.36807817589576547,-0.0018551249398196534,-2.109392115936409
2025-05,337,-63.07043609780642,-101.73691590418639,0.34718100890207715,-0.002965164526525427,-3.6409883690074247
2025-06,251,-14.969196761156052,-116.70611266534245,0.4063745019920319,-0.0015189859661300042,-2.0325734068959913
2025-07,307,-41.037814122931955,-157.7439267882744,0.36156351791530944,-0.0019746092016953943,-2.5707953250101325
2025-08,236,-19.867346659083694,-177.6112734473581,0.3855932203389831,-0.0010419323672037962,-1.5167173199190342
2025-09,236,-41.4719745657987,-219.08324801315678,0.3474576271186441,-0.003410937312259645,-3.8272637556478926
2025-10,284,-33.530553437834016,-252.6138014509908,0.3626760563380282,-0.0010796481729655146,-0.9761613502294718
2025-11,381,13.571178644369816,-239.04262280662098,0.4409448818897638,0.0010560856626600364,1.0204251210842659
2025-12,346,-13.996284013303306,-253.03890681992428,0.41040462427745666,-0.0007231053218854483,-0.47518639212255814
2026-01,300,2.6535001381933263,-250.38540668173096,0.41333333333333333,0.00021817711615588543,0.23981431660057342
2026-02,334,-26.614327514599506,-276.99973419633045,0.4041916167664671,-0.000611301880924347,-0.6776179578152485
2026-03,345,-28.167508582807642,-305.16724277913806,0.4115942028985507,-0.0008441599639817184,-0.8798611699536568
2026-04,38,0.6654005398136569,-304.5018422393244,0.4473684210526316,0.0006245031266287907,0.15555592226569395
