proxy,mode,hold_h,cost_bps,n,gross_bps,net_bps,gross_sharpe,net_sharpe,turn
BTC,cont,1,4,891,-0.9968533838967713,-8.996853383896772,-2.554576056343055,-23.055693653854007,2.0
BTC,cont,1,6,891,-0.9968533838967713,-12.99685338389677,-2.554576056343055,-33.306252452609485,2.0
BTC,cont,1,8,891,-0.9968533838967713,-16.996853383896774,-2.554576056343055,-43.55681125136497,2.0
BTC,cont,4,4,888,-2.8328670455190363,-10.832867045519038,-1.7325188235442408,-6.625141867847571,2.0
BTC,cont,4,6,888,-2.8328670455190363,-14.83286704551903,-1.7325188235442408,-9.071453389999233,2.0
BTC,cont,4,8,888,-2.8328670455190363,-18.832867045519038,-1.7325188235442408,-11.517764912150902,2.0
BTC,cont,8,4,884,-7.860289639097032,-15.860289639097031,-2.4154779859453708,-4.873889160954289,2.0
BTC,cont,8,6,884,-7.860289639097032,-19.860289639097033,-2.4154779859453708,-6.10309474845875,2.0
BTC,cont,8,8,884,-7.860289639097032,-23.860289639097033,-2.4154779859453708,-7.3323003359632075,2.0
BTC,cont,24,4,868,-27.965063778155265,-35.96506377815526,-2.8462983495193908,-3.6605423997669035,2.0
BTC,cont,24,6,868,-27.965063778155265,-39.965063778155255,-2.8462983495193908,-4.0676644248906575,2.0
BTC,cont,24,8,868,-27.965063778155265,-43.96506377815527,-2.8462983495193908,-4.474786450014416,2.0
BTC,rev,1,4,891,0.9968533838967713,-7.00314661610323,2.554576056343055,-17.9465415411679,2.0
BTC,rev,1,6,891,0.9968533838967713,-11.003146616103225,2.554576056343055,-28.197100339923363,2.0
BTC,rev,1,8,891,0.9968533838967713,-15.00314661610323,2.554576056343055,-38.447659138678844,2.0
BTC,rev,4,4,888,2.8328670455190363,-5.167132954480966,1.7325188235442408,-3.16010422075909,2.0
BTC,rev,4,6,888,2.8328670455190363,-9.167132954480962,1.7325188235442408,-5.606415742910754,2.0
BTC,rev,4,8,888,2.8328670455190363,-13.167132954480962,1.7325188235442408,-8.052727265062417,2.0
BTC,rev,8,4,884,7.860289639097032,-0.13971036090296887,2.4154779859453708,-0.04293318906354847,2.0
BTC,rev,8,6,884,7.860289639097032,-4.139710360902964,2.4154779859453708,-1.2721387765680066,2.0
BTC,rev,8,8,884,7.860289639097032,-8.13971036090297,2.4154779859453708,-2.5013443640724677,2.0
BTC,rev,24,4,868,27.965063778155265,19.965063778155276,2.8462983495193908,2.03205429927188,2.0
BTC,rev,24,6,868,27.965063778155265,15.965063778155265,2.8462983495193908,1.6249322741481234,2.0
BTC,rev,24,8,868,27.965063778155265,11.965063778155262,2.8462983495193908,1.2178102490243672,2.0
BTC+ETH,cont,1,4,891,-1.5221684010279446,-9.522168401027946,-4.004972100524049,-25.053744879249074,2.0
BTC+ETH,cont,1,6,891,-1.5221684010279446,-13.522168401027942,-4.004972100524049,-35.57813126861158,2.0
BTC+ETH,cont,1,8,891,-1.5221684010279446,-17.522168401027944,-4.004972100524049,-46.1025176579741,2.0
BTC+ETH,cont,4,4,888,-4.502976915966945,-12.502976915966947,-2.857236021633344,-7.933408651347652,2.0
BTC+ETH,cont,4,6,888,-4.502976915966945,-16.502976915966943,-2.857236021633344,-10.471494966204803,2.0
BTC+ETH,cont,4,8,888,-4.502976915966945,-20.502976915966947,-2.857236021633344,-13.009581281061962,2.0
BTC+ETH,cont,8,4,884,-10.203842696430714,-18.203842696430716,-3.269503927222577,-5.832855028953102,2.0
BTC+ETH,cont,8,6,884,-10.203842696430714,-22.203842696430712,-3.269503927222577,-7.1145305798183625,2.0
BTC+ETH,cont,8,8,884,-10.203842696430714,-26.203842696430712,-3.269503927222577,-8.396206130683623,2.0
BTC+ETH,cont,24,4,868,-29.3654508042373,-37.365450804237305,-3.093921296529903,-3.936795139579087,2.0
BTC+ETH,cont,24,6,868,-29.3654508042373,-41.365450804237305,-3.093921296529903,-4.358232061103679,2.0
BTC+ETH,cont,24,8,868,-29.3654508042373,-45.365450804237305,-3.093921296529903,-4.77966898262827,2.0
BTC+ETH,rev,1,4,891,1.5221684010279446,-6.477831598972055,4.004972100524049,-17.043800678200974,2.0
BTC+ETH,rev,1,6,891,1.5221684010279446,-10.477831598972053,4.004972100524049,-27.568187067563482,2.0
BTC+ETH,rev,1,8,891,1.5221684010279446,-14.477831598972054,4.004972100524049,-38.09257345692599,2.0
BTC+ETH,rev,4,4,888,4.502976915966945,-3.4970230840330556,2.857236021633344,-2.2189366080809645,2.0
BTC+ETH,rev,4,6,888,4.502976915966945,-7.497023084033051,2.857236021633344,-4.757022922938115,2.0
BTC+ETH,rev,4,8,888,4.502976915966945,-11.497023084033055,2.857236021633344,-7.2951092377952715,2.0
BTC+ETH,rev,8,4,884,10.203842696430714,2.203842696430714,3.269503927222577,0.7061528254920546,2.0
BTC+ETH,rev,8,6,884,10.203842696430714,-1.7961573035692828,3.269503927222577,-0.5755227253732058,2.0
BTC+ETH,rev,8,8,884,10.203842696430714,-5.796157303569286,3.269503927222577,-1.8571982762384687,2.0
BTC+ETH,rev,24,4,868,29.3654508042373,21.36545080423731,3.093921296529903,2.2510474534807203,2.0
BTC+ETH,rev,24,6,868,29.3654508042373,17.36545080423731,3.093921296529903,1.829610531956129,2.0
BTC+ETH,rev,24,8,868,29.3654508042373,13.365450804237303,3.093921296529903,1.4081736104315363,2.0
