proxy,hold_h,delay,cost_bps,n,net_bps,gross_bps,net_sharpe,turn_per_bar,first_half_net_bps,second_half_net_bps,first_half_sharpe,second_half_sharpe
BTC,16,1,4,554,0.2204281179198127,0.47699195119844745,11.567084642817202,0.06414095831965867,-0.016284548205281257,0.45714078404490655,-0.8063461863278779,26.093832953605833
BTC,16,1,6,554,0.09214620128049537,0.47699195119844745,4.850572220581473,0.06414095831965867,-0.14058714091942623,0.3248795434804171,-6.983908641855339,18.589038474304566
BTC,16,1,8,554,-0.03613571535882209,0.47699195119844745,-1.9064402071297901,0.06414095831965867,-0.2648897336335714,0.19261830291592727,-13.19055182499112,11.036832142937241
BTC,24,1,4,554,0.3254291569137343,0.4964717124328241,19.772740049151395,0.04276063887977245,0.15719679764706915,0.49366151618039944,8.934210722895015,32.78875140519194
BTC,24,1,6,554,0.23990787915418946,0.4964717124328241,14.610486896254253,0.04276063887977245,0.07432840250430588,0.4054873558040731,4.23792923886038,26.952776639372917
BTC,24,1,8,554,0.15438660139464447,0.4964717124328241,9.419089030896174,0.04276063887977245,-0.008539992638457582,0.31731319542774655,-0.48824094652059763,21.09515121368579
BTC,32,1,4,554,0.38920255908805224,0.5174844757273697,26.347757348004823,0.032070479159829336,0.23601151354983144,0.5423936046262731,14.188385434658311,43.54809208725039
BTC,32,1,6,554,0.3250616007683937,0.5174844757273697,22.039335844307153,0.032070479159829336,0.17386021719275893,0.4762629843440283,10.473786956519223,38.24454523051734
BTC,32,1,8,554,0.2609206424487349,0.5174844757273697,17.711050045920377,0.032070479159829336,0.11170892083568643,0.41013236406178355,6.741593667593964,32.92299558680024
BTC+ETH,16,1,4,554,0.10022172824623068,0.35678556152486546,6.397281641967723,0.06414095831965867,-0.25304202124667513,0.4534854777391365,-17.030533025790277,29.127357616336525
BTC+ETH,16,1,6,554,-0.028060188393086574,0.35678556152486546,-1.7968603210157603,0.06414095831965867,-0.37734461396082014,0.3212242371746469,-25.500134466476677,20.662361894345512
BTC+ETH,16,1,8,554,-0.15634210503240406,0.35678556152486546,-10.030271468056014,0.06414095831965867,-0.5016472066749653,0.18896299661015717,-33.98583679204759,12.157104255098416
BTC+ETH,24,1,4,554,0.16478758313156497,0.3358301386506548,12.514013442731361,0.04276063887977245,-0.1402898153096028,0.46986498157273276,-11.488317783174613,35.318610292902136
BTC+ETH,24,1,6,554,0.07926630537202009,0.3358301386506548,6.033214265805561,0.04276063887977245,-0.2231582104523662,0.38169082119640635,-18.354844440021463,28.68296945644557
BTC+ETH,24,1,8,554,-0.006254972387524873,0.3358301386506548,-0.4767717663164148,0.04276063887977245,-0.30602660559512956,0.2935166608200799,-25.256197283822136,22.033930148035033
BTC+ETH,32,1,4,554,0.19961145178016854,0.32789336841948585,17.04431883469495,0.032070479159829336,-0.11243693434093253,0.5116598379012696,-9.901149399467638,46.034383776046056
BTC+ETH,32,1,6,554,0.13547049346050985,0.32789336841948585,11.582321750444065,0.032070479159829336,-0.17458823069800494,0.4455292176190247,-15.414961876196674,40.04218567133769
BTC+ETH,32,1,8,554,0.0713295351408511,0.32789336841948585,6.10264442147578,0.032070479159829336,-0.23673952705507767,0.37939859733677983,-20.944125981265692,34.041571721061395
