proxy,cost_bps,spec,delay,hold_h,n,net_bps,gross_bps,turn_per_bar,first_half_net_bps,second_half_net_bps,gate
BTC,6,baseline,2,24,594,-0.22456651758635754,0.024928431908591966,0.04158249158249158,-0.2250815177037408,-0.22405151746897423,all
BTC,6,rescope_session_07_20utc,2,24,594,-0.2521193814574971,-0.03671534105345674,0.0359006734006734,-0.2655008744441089,-0.2387378884708853,"7,8,9,10,11,12,13,14,15,16,17,18,19,20"
BTC,8,baseline,2,24,594,-0.30773150075134065,0.024928431908591966,0.04158249158249158,-0.30948106876995857,-0.30598193273272284,all
BTC,8,rescope_session_07_20utc,2,24,594,-0.32392072825884394,-0.03671534105345674,0.0359006734006734,-0.33761086322076445,-0.31023059329692354,"7,8,9,10,11,12,13,14,15,16,17,18,19,20"
BTC+ETH,6,baseline,2,24,594,-0.2596710374229046,-0.012785515537382766,0.04114758698092032,-0.22715003028538952,-0.29219204456041975,all
BTC+ETH,6,rescope_session_07_20utc,2,24,594,-0.2448673444939229,-0.02895825358483199,0.03598484848484849,-0.26640130154747,-0.22333338744037579,"7,8,9,10,11,12,13,14,15,16,17,18,19,20"
BTC+ETH,8,baseline,2,24,594,-0.3419662113847453,-0.012785515537382766,0.04114758698092032,-0.3110445308465568,-0.3728878919229338,all
BTC+ETH,8,rescope_session_07_20utc,2,24,594,-0.3168370414636199,-0.02895825358483199,0.03598484848484849,-0.33884799066082577,-0.294826092266414,"7,8,9,10,11,12,13,14,15,16,17,18,19,20"
