factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha83,wq101,conditional,24h,0.00375025,0.00375025,0.11447965,0.11447965,0.032759,0.032759,0.032759,4.3678,0.5119,0.5119,17777,185.7,3305599,6.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))",high|low|close|volume|quote_volume,7,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))",-5.017e-05,-5.937e-05,9.2e-06,0.0594,0.5031,0.00119605,-0.0260988,0.00414323,-0.00522148,0.68,25,per_bar_mean_x_bars_per_year
wq101_alpha83,wq101,conditional,72h,-0.00021642,-0.00021642,0.11180495,0.11180495,-0.001936,-0.001936,-0.001936,-0.2577,0.497,0.497,17729,185.7,3305599,6.7e-05,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))",high|low|close|volume|quote_volume,7,"WorldQuant 101 Alpha#83: rank(delay((high-low)/(sum(close,5)/5),2))*rank(rank(volume)) / (((high-low)/(sum(close,5)/5))/(vwap-close))",-0.00035102,-0.00020848,-0.00014254,-0.4843,0.4993,0.00201038,-0.02887993,0.00696417,-0.01053796,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha85,wq101,conditional,1h,0.00022227,0.00022227,0.10165633,0.10165633,0.002187,0.002187,0.002187,0.2915,0.5058,0.5058,17768,185.1,3289574,0.004914,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))",high|low|close|volume,39,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))",1.997e-05,-2.632e-05,4.629e-05,1.6985,0.5022,0.00015997,0.47247557,0.00055417,-0.00023842,0.56,25,per_bar_mean_x_bars_per_year
wq101_alpha85,wq101,conditional,4h,-4.761e-05,-4.761e-05,0.10429852,0.10429852,-0.000456,-0.000456,-0.000456,-0.0608,0.4998,0.4998,17766,185.1,3289574,0.004914,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))",high|low|close|volume,39,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))",2.97e-06,-7.902e-05,8.199e-05,1.4934,0.5055,0.00066113,0.26273995,0.00229022,-0.00171303,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha85,wq101,conditional,24h,-0.00488367,-0.00488367,0.10719863,0.10719863,-0.045557,-0.045557,-0.045557,-6.0689,0.4838,0.4838,17746,185.1,3289574,0.004914,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))",high|low|close|volume,39,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))",1.138e-05,-0.00016575,0.00017713,1.2323,0.4989,0.00198005,0.10436429,0.0068591,-0.00755097,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha85,wq101,conditional,72h,-0.00576867,-0.00576867,0.10202308,0.10202308,-0.056543,-0.056543,-0.056543,-7.5221,0.4792,0.4792,17698,185.1,3289574,0.004914,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))",high|low|close|volume,39,"WorldQuant 101 Alpha#85: rank(correlation(high/close blend,adv30,10)) ^ rank(correlation(ts_rank(mid,4),ts_rank(volume,10),7))",0.00017423,-0.00079527,0.0009695,3.4155,0.5054,0.00391916,0.1187007,0.01357635,-0.00909792,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha86,wq101,conditional,1h,0.01161036,0.01161036,0.10133336,0.10133336,0.114576,0.114576,0.114576,15.264,0.551,0.551,17748,185.4,3291192,0.004425,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula",open|close|volume|quote_volume,58,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula",1.096e-05,-3.901e-05,4.997e-05,2.1136,0.5097,0.00012552,0.46945955,0.0004348,-0.00033989,0.76,25,per_bar_mean_x_bars_per_year
wq101_alpha86,wq101,conditional,4h,0.00786476,0.00786476,0.10329354,0.10329354,0.07614,0.07614,0.07614,10.1429,0.5303,0.5303,17746,185.4,3291192,0.004425,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula",open|close|volume|quote_volume,58,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula",-5.628e-05,-6.827e-05,1.2e-05,0.2538,0.5063,0.00038803,0.00522588,0.00134416,-0.00177659,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha86,wq101,conditional,24h,0.00204194,0.00204194,0.10333737,0.10333737,0.01976,0.01976,0.01976,2.6308,0.5055,0.5055,17726,185.4,3291192,0.004425,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula",open|close|volume|quote_volume,58,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula",-0.0004474,-0.0003441,-0.00010331,-0.8285,0.5004,0.00163138,-0.02981436,0.00565125,-0.00812129,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha86,wq101,conditional,72h,0.00061213,0.00061213,0.1014094,0.1014094,0.006036,0.006036,0.006036,0.8026,0.5047,0.5047,17678,185.4,3291192,0.004425,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula",open|close|volume|quote_volume,58,"WorldQuant 101 Alpha#86: -1*(ts_rank(correlation(close,sum(adv20,15),6),20) < rank(close-vwap)); boolean panel formula",-0.00125067,-0.00123648,-1.419e-05,-0.0601,0.5063,0.00518653,0.00633309,0.01796666,-0.02660754,0.56,25,per_bar_mean_x_bars_per_year
