symbol,interval,lookback_days,history_days,horizon_bars,branch,trades,avg_bps,median_bps,win_rate
BTCUSDT,15m,10,120,24,max_branch,20,35.04990655548879,-0.7183437917607227,0.5
BTCUSDT,15m,10,120,24,min_branch,22,-75.64709303344422,-38.63317532929067,0.36363636363636365
BTCUSDT,15m,10,120,24,combined,42,-22.93423608633327,-18.106657715701303,0.42857142857142855
BTCUSDT,15m,10,120,36,max_branch,17,19.578963206267584,11.24111998980215,0.5294117647058824
BTCUSDT,15m,10,120,36,min_branch,20,-27.435286054960486,8.364413343270872,0.5
BTCUSDT,15m,10,120,36,combined,37,-5.834144502504343,11.24111998980215,0.5135135135135135
BTCUSDT,5m,10,120,36,max_branch,26,2.7010655316539456,-18.155487171100937,0.38461538461538464
BTCUSDT,5m,10,120,36,min_branch,33,11.558887710940445,14.258140927005947,0.5757575757575758
BTCUSDT,5m,10,120,36,combined,59,7.655440648881987,-4.980096363749187,0.4915254237288136
ETHUSDT,15m,10,120,24,max_branch,18,63.270555442262946,39.711833006012,0.7222222222222222
ETHUSDT,15m,10,120,24,min_branch,24,-43.36490356921421,-41.82451337815418,0.375
ETHUSDT,15m,10,120,24,combined,42,2.33600743570457,7.985236850444055,0.5238095238095238
ETHUSDT,15m,10,120,36,max_branch,16,9.293695897163376,21.91699031866556,0.5625
ETHUSDT,15m,10,120,36,min_branch,23,35.565756510993666,4.11095885337609,0.5217391304347826
ETHUSDT,15m,10,120,36,combined,39,24.787475233524827,19.270162068600882,0.5384615384615384
ETHUSDT,5m,10,120,36,max_branch,22,19.985434421877706,20.541929248730774,0.5454545454545454
ETHUSDT,5m,10,120,36,min_branch,34,55.83263971119121,46.720790147032346,0.6470588235294118
ETHUSDT,5m,10,120,36,combined,56,41.74980906181805,35.333871189049404,0.6071428571428571
SOLUSDT,15m,10,120,24,max_branch,19,-19.3459194804878,14.725872224738978,0.5263157894736842
SOLUSDT,15m,10,120,24,min_branch,31,-15.159264670294213,70.81996237689569,0.5806451612903226
SOLUSDT,15m,10,120,24,combined,50,-16.750193498167775,24.242260035266526,0.56
SOLUSDT,15m,10,120,36,max_branch,17,-35.46850890204815,12.883668056082875,0.5294117647058824
SOLUSDT,15m,10,120,36,min_branch,27,9.661291578673413,63.468814841938226,0.5925925925925926
SOLUSDT,15m,10,120,36,combined,44,-7.7752222434235545,49.87172645942284,0.5681818181818182
SOLUSDT,5m,10,120,36,max_branch,26,-33.3811075902987,-31.125336326126018,0.34615384615384615
SOLUSDT,5m,10,120,36,min_branch,38,-29.29107197501449,-11.363409415078296,0.4473684210526316
SOLUSDT,5m,10,120,36,combined,64,-30.9526489437237,-12.991154169042506,0.40625
