factor_name,category,expected_direction,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,raw_rank_ic_std,direction_adjusted_rank_ic_std,raw_icir,direction_adjusted_icir,icir,t_stat,ic_win_rate_raw,ic_win_rate_adjusted,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,formula_proxy,required_columns,lookback_window,notes,top_bucket_mean_return,bottom_bucket_mean_return,long_short_spread_mean,long_short_spread_t_stat,long_short_win_rate,long_short_spread_std,long_short_spread_annualized_return,long_short_spread_annualized_vol,long_short_spread_max_drawdown,long_short_spread_positive_period_rate,n_monthly_periods,annualization_method
wq101_alpha29,wq101,conditional,1h,0.00728415,0.00728415,0.11425628,0.11425628,0.063753,0.063753,0.063753,8.5045,0.525,0.525,17795,186.2,3313300,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#29: nested close-delta rank scale plus ts_rank(delay(-returns,6),5); panel rank semantics preserved",close,11,"WorldQuant 101 Alpha#29: nested close-delta rank scale plus ts_rank(delay(-returns,6),5); panel rank semantics preserved",-4.15e-06,-3.2e-06,-9.5e-07,-0.0333,0.4975,0.00013966,-0.03774593,0.00048379,-0.00117626,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha29,wq101,conditional,4h,0.01168478,0.01168478,0.11751031,0.11751031,0.099436,0.099436,0.099436,13.2638,0.5439,0.5439,17793,186.2,3313300,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#29: nested close-delta rank scale plus ts_rank(delay(-returns,6),5); panel rank semantics preserved",close,11,"WorldQuant 101 Alpha#29: nested close-delta rank scale plus ts_rank(delay(-returns,6),5); panel rank semantics preserved",-4.284e-05,1e-06,-4.383e-05,-0.7516,0.5052,0.00048991,-0.16468378,0.00169711,-0.00373379,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha29,wq101,conditional,24h,0.00590621,0.00590621,0.12119136,0.12119136,0.048735,0.048735,0.048735,6.4971,0.5251,0.5251,17773,186.2,3313300,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#29: nested close-delta rank scale plus ts_rank(delay(-returns,6),5); panel rank semantics preserved",close,11,"WorldQuant 101 Alpha#29: nested close-delta rank scale plus ts_rank(delay(-returns,6),5); panel rank semantics preserved",-0.0004766,0.00043862,-0.00091522,-5.9254,0.4829,0.00252375,-0.41343996,0.00874253,-0.0323974,0.32,25,per_bar_mean_x_bars_per_year
wq101_alpha29,wq101,conditional,72h,-0.0013343,-0.0013343,0.11814295,0.11814295,-0.011294,-0.011294,-0.011294,-1.5036,0.4973,0.4973,17725,186.2,3313300,0.0,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#29: nested close-delta rank scale plus ts_rank(delay(-returns,6),5); panel rank semantics preserved",close,11,"WorldQuant 101 Alpha#29: nested close-delta rank scale plus ts_rank(delay(-returns,6),5); panel rank semantics preserved",-0.00139359,0.00129455,-0.00268814,-9.1374,0.4742,0.00610802,-0.34616357,0.02115881,-0.07449411,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha31,wq101,conditional,1h,0.00615513,0.00615513,0.10762635,0.10762635,0.05719,0.05719,0.05719,7.6249,0.5234,0.5234,17776,185.6,3299292,0.004228,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#31: triple-ranked decayed close-delta branch plus short delta rank and sign(scale(correlation(adv20,low,12)))",close|low|volume,31,"WorldQuant 101 Alpha#31: triple-ranked decayed close-delta branch plus short delta rank and sign(scale(correlation(adv20,low,12)))",-3.63e-06,-1.864e-05,1.501e-05,0.5803,0.499,0.00014,0.14030015,0.00048499,-0.00093106,0.52,25,per_bar_mean_x_bars_per_year
wq101_alpha31,wq101,conditional,4h,0.0064566,0.0064566,0.10990224,0.10990224,0.058749,0.058749,0.058749,7.8323,0.5252,0.5252,17774,185.6,3299292,0.004228,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#31: triple-ranked decayed close-delta branch plus short delta rank and sign(scale(correlation(adv20,low,12)))",close|low|volume,31,"WorldQuant 101 Alpha#31: triple-ranked decayed close-delta branch plus short delta rank and sign(scale(correlation(adv20,low,12)))",-1.967e-05,-2.46e-06,-1.721e-05,-0.3232,0.4987,0.0004398,-0.02225306,0.00152353,-0.00331785,0.48,25,per_bar_mean_x_bars_per_year
wq101_alpha31,wq101,conditional,24h,-0.0063232,-0.0063232,0.11170409,0.11170409,-0.056607,-0.056607,-0.056607,-7.5425,0.4769,0.4769,17754,185.6,3299292,0.004228,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#31: triple-ranked decayed close-delta branch plus short delta rank and sign(scale(correlation(adv20,low,12)))",close|low|volume,31,"WorldQuant 101 Alpha#31: triple-ranked decayed close-delta branch plus short delta rank and sign(scale(correlation(adv20,low,12)))",-0.00020656,5.06e-05,-0.00025716,-1.8662,0.4907,0.00150958,-0.11931922,0.00522932,-0.01094914,0.44,25,per_bar_mean_x_bars_per_year
wq101_alpha31,wq101,conditional,72h,-0.01157381,-0.01157381,0.10551794,0.10551794,-0.109686,-0.109686,-0.109686,-14.5952,0.4523,0.4523,17706,185.6,3299292,0.004228,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#31: triple-ranked decayed close-delta branch plus short delta rank and sign(scale(correlation(adv20,low,12)))",close|low|volume,31,"WorldQuant 101 Alpha#31: triple-ranked decayed close-delta branch plus short delta rank and sign(scale(correlation(adv20,low,12)))",-0.00099273,0.00010234,-0.00109507,-4.0203,0.4864,0.00314973,-0.12466194,0.010911,-0.03388211,0.36,25,per_bar_mean_x_bars_per_year
wq101_alpha36,wq101,conditional,1h,0.01311715,0.01311715,0.10463249,0.10463249,0.125364,0.125364,0.125364,16.6343,0.5542,0.5542,17606,184.8,3253684,0.017993,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#36: weighted blend of candle/volume correlation, return rank, VWAP/ADV correlation, and close mean state",open|close|volume|quote_volume,200,"WorldQuant 101 Alpha#36: weighted blend of candle/volume correlation, return rank, VWAP/ADV correlation, and close mean state",4.345e-05,-4.867e-05,9.212e-05,3.5241,0.5133,0.00011112,0.76600116,0.00038495,-0.00018054,0.8,25,per_bar_mean_x_bars_per_year
wq101_alpha36,wq101,conditional,4h,0.01703736,0.01703736,0.10491779,0.10491779,0.162388,0.162388,0.162388,21.5456,0.5651,0.5651,17604,184.8,3253684,0.017993,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#36: weighted blend of candle/volume correlation, return rank, VWAP/ADV correlation, and close mean state",open|close|volume|quote_volume,200,"WorldQuant 101 Alpha#36: weighted blend of candle/volume correlation, return rank, VWAP/ADV correlation, and close mean state",6.152e-05,-9.337e-05,0.00015489,2.9262,0.5148,0.00032172,0.28872099,0.00111447,-0.00058923,0.76,25,per_bar_mean_x_bars_per_year
