factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_notes
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,COMPUTED,False,volume,112,72h,0.06835423,72h,0.442282,72h,0.00173454,5.0068,0.6993,3304826,0.704513,KNOWN,CONSISTENT,STRONG_DIAGNOSTIC_CANDIDATE,Strong RankIC and significant long-short spread. Consistent signals.
a101_vol_xs_z_product_112h,alpha101_curated_volume_regime,conditional,DIRECTION_UNKNOWN,False,volume,112,72h,0.05671747,72h,0.4487,24h,-0.00043134,-2.4525,0.7072,3304826,0.704513,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
a101_volume_low_alpha_min_84_120,alpha101_curated_volume_price_regression,conditional,DIRECTION_UNKNOWN,False,volume|low,203,72h,0.06247263,72h,0.478071,72h,0.00114623,4.2304,0.7087,3253246,0.795791,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
a101_volume_high_alpha_min_84_84,alpha101_curated_volume_price_regression,conditional,DIRECTION_UNKNOWN,False,volume|high,167,72h,0.05851328,72h,0.448195,72h,0.00207477,7.5731,0.7024,3262930,0.795183,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,Conditional direction but shows IC signal strength.
