factor_id,family,expected_direction,formula_proxy,required_columns,lookback_window,data_availability,coverage,missing_rate,best_horizon,best_adj_ic,best_adj_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,ic_win_rate,monthly_stability_summary,quantile_monotonicity_summary,rankic_longshort_consistency,redundancy_level,nearest_existing_factors,decision_bucket,recommended_action,caveats
a101_volume_xs_z_mean_neg_112h,alpha101_curated_volume_crowding,positive,"-rolling_mean(xs_zscore(volume), 112); low relative-volume / low crowding; migrated from alpha101 volume_zscore_mean_neg_28",volume,112,EXISTS,3304826,0.704513,72h,0.06835423,0.442282,72h,0.00173454,5.0068,0.6993,STABLE (24/25 months positive),NEARLY_MONOTONIC,CONSISTENT,MODERATE_REDUNDANCY,"a101_vol_xs_z_product_112h (|ρ|=0.801, MODERATE_REDUNDANCY); xs_rank_vol (|ρ|=0.607, LOW_REDUNDANCY); a101_volume_high_alpha_min_84_84 (|ρ|=0.461, LOW_REDUNDANCY)",PASS_DIAGNOSTIC,Candidate for future signal research. Not auto-promoted.,
a101_vol_xs_z_product_112h,alpha101_curated_volume_regime,conditional,"rolling_product(xs_zscore(volume), 112); nonlinear persistent volume-regime detector; mathematically awkward; migrated from alpha101 vol_zscore_product_28",volume,112,EXISTS,3304826,0.704513,72h,0.05671747,0.4487,24h,-0.00043134,-2.4525,0.7072,STABLE (22/25 months positive),NEARLY_MONOTONIC,DIVERGENT,MODERATE_REDUNDANCY,"a101_volume_xs_z_mean_neg_112h (|ρ|=0.801, MODERATE_REDUNDANCY); xs_rank_vol (|ρ|=0.438, LOW_REDUNDANCY); a101_volume_high_alpha_min_84_84 (|ρ|=0.319, LOW_REDUNDANCY)",CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
a101_volume_low_alpha_min_84_120,alpha101_curated_volume_price_regression,conditional,"rolling_min(ts_alpha(volume, xs_winsorize(low), 84), 120); volume-adjusted low-price stress; migrated from alpha101 volume_low_alpha_min_21_30",volume|low,203,EXISTS,3253246,0.795791,72h,0.06247263,0.478071,72h,0.00114623,4.2304,0.7087,STABLE (25/25 months positive),NEARLY_MONOTONIC,CONSISTENT,LOW_REDUNDANCY,"xs_rank_vol (|ρ|=0.550, LOW_REDUNDANCY); tech_atr (|ρ|=0.440, LOW_REDUNDANCY); mom_120h (|ρ|=0.194, LOW_REDUNDANCY)",CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
a101_volume_high_alpha_min_84_84,alpha101_curated_volume_price_regression,conditional,"rolling_min(ts_alpha(volume, high, 84), 84); volume-adjusted high-price compression; migrated from alpha101 volume_high_alpha_min_21_21",volume|high,167,EXISTS,3262930,0.795183,72h,0.05851328,0.448195,72h,0.00207477,7.5731,0.7024,STABLE (24/25 months positive),NON_MONOTONIC (2 sign changes),CONSISTENT,MODERATE_REDUNDANCY,"xs_rank_vol (|ρ|=0.805, MODERATE_REDUNDANCY); tech_atr (|ρ|=0.663, LOW_REDUNDANCY); a101_volume_xs_z_mean_neg_112h (|ρ|=0.461, LOW_REDUNDANCY)",CONDITIONAL_DIRECTION_REVIEW,Keep for diagnostic. Do not promote without direction analysis.,Conditional direction — no expected sign to adjust IC.
